Stage	Date band	Airframe/block	Institutional status	Propulsion	Primary capability allocation	Known/working physical anchors	Military judgment	Production status
R	1931-33	E4 twin universal systems aircraft	Company research with military access	2x E4 jet	instrumentation; twin handling; radio/photo; maintenance	3.6-4.0t; ~380-405 km/h	Worth specifying further; not service aircraft	1 reusable test asset
R→M	1933-35	E4 requested-test configurations	Military structured test requests	E4 variants	one-engine; radio/photo; fuel; representative payload	No new type required	Next airframe must answer military requirements	Modification/test program
M	1935H2-36H1	E5 twin requirement	Military technical-prototype requirement	E5 planned	speed + useful mission equipment + fuel + one-engine + maintainability	Final role intentionally open	Build militarily realistic prototype	Prototype contract
M	1937 Q1-Q2 onward	E5 Twin No.1 J-C	Military technical prototype config	2x E5-J pure jet	maximum speed/climb; light fuel	2x430-470kgf; 3.5-4.0t; upper ~510-560km/h working envelope	Tests interceptor/heavy-fighter speed space	Prototype configuration
M	1937	E5 Twin No.1 J-R	Military technical prototype config	2x E5-J pure jet	fuel + photo/radio + radius	middle/lower of same speed envelope	Fast reconnaissance may be more valuable than record speed	Prototype configuration
M	1937	E5 Twin No.1 J-W	Military technical prototype config	2x E5-J pure jet	weapon/mission-bay integration	Representative payload/CG/recoil tests	Defines cost of heavy-fighter/light-strike fit	Prototype configuration
M	1937 Q4 onward	E5 Twin No.2 JF	Second military development prototype	2x E5 aft-fan	static thrust; climb; range; go-around; repeated mission	mature anchor 515-545kgf installed each; BPR .8-1.0; TSFC -15-18% vs E5 pure	Practical-mission alternative, not exotic sideline	Prototype
M→S-eval	1938	E5 evaluation block	Limited military development/service evaluation	mixed J/JF	unit maintenance; crew; mission cycle; field support	6-10 aircraft-class program working	Buy operating knowledge before E6	Limited evaluation batch
M/S	1939	E6 Twin Block J	Military next-block prototype	2x E6 pure jet	speed/climb/interception	~850-900kgf each engine-side; aircraft measured speed open	Specialized speed knife; production only for real interception need	Flight test
M/S	1939	E6 Twin Block JF	Military next-block prototype	2x E6 aft-fan	static thrust; climb; range; repeated mission	~950-1000kgf each; +~21% static thrust and ~17% lower static TSFC vs same-condition E6 pure	Stronger practical-main-block candidate	Comparative flight test
