id	label	status	prime	length_m	span_or_rotor_diam_m	wing_area_m2	overall_height_m	max_fuselage_width_m	max_fuselage_height_m	wing_or_rotor_architecture	root_chord_m	tip_chord_m	reference_AR	reference_MAC_m	quarter_chord_sweep_deg	dihedral_deg	washout_deg	root_t_c_pct	tip_t_c_pct	wing_root_LE_x_m	wing_root_z_m	tailplane_span_m	tailplane_area_m2	tailplane_LE_x_m	tailplane_z_m	fin_height_m	fin_area_m2	gear	main_track_m	wheelbase_m	main_wheel_diameter_m	nose_or_tail_wheel_diameter_m	propulsion_visual	canopy_cabin	visual_notes
P1	P1 practical turboprop	PHYSICAL / VISUAL-LOCK	Asai/partner product line	9.15	11.80	23.50	3.55	1.32	1.48	high strut-braced	2.550	1.433	5.925	2.044	0.5	2.0	-1.0	16.0	13.0	2.35	0.58	3.85	6.00	7.35	0.30	1.55	2.05	fixed tailwheel	3.40	5.55	0.72	0.30	4-blade CS/feathering, D=3.10 m	high cabin glazing; 1-2 cockpit seats; 4-5 person practical cabin	simple slotted flap; no full-span slat; P2 is a new STOL OML, not a kit conversion
P2	P2 STOL utility turboprop	PHYSICAL / VISUAL-LOCK	Asai/partner product line	10.00	13.00	27.00	3.65	1.38	1.55	high strut-braced	2.680	1.474	6.259	2.135	0.0	2.0	-1.5	16.5	13.0	2.50	0.63	4.25	7.00	8.05	0.33	1.70	2.35	fixed wide-track tailwheel	3.85	6.05	0.82	0.34	4-blade CS/feathering, D=3.25 m	side-by-side cockpit; broad glazed cabin; 5-7 occupants; large starboard utility door	fixed full-span slat; inboard Fowler/slotted flap; drooping aileron; long-stroke rough-field gear; deck hook only on temporary demonstrator
Material-1	Material No.1 low-speed structural A/B	PHYSICAL / VISUAL-LOCK	Asai research	10.00	13.00	27.00	3.65	1.38	1.55	P2 OML exact A/B control	2.680	1.474	6.259	2.135	0.0	2.0	-1.5	16.5	13.0	2.50	0.63	4.25	7.00	8.05	0.33	1.70	2.35	P2 fixed wide-track tailwheel	3.85	6.05	0.82	0.34	P2 E5-S-T installation, D=3.25 m	P2 OML; research interior	EXTERNAL OML IDENTICAL TO P2 for A/B comparison; visual difference is bonded/sandwich skin, fewer rivet rows, coupon/inspection patches and research markings
Material-2	Material No.2 high-q structural jet	PHYSICAL / VISUAL-LOCK	Asai research	8.60	7.60	9.50	2.75	1.10	1.10	straight mid-wing	1.750	0.750	6.080	1.317	2.0	3.0	-1.0	12.0	9.0	3.05	0.00	3.10	4.00	7.15	0.25	1.38	1.65	retractable tricycle	2.65	4.25	0.55	0.38	none; rear E5-J	single-seat forward bubble/frames; large instrument nose	bulky 1.10 m sandwich fuselage is deliberate; cheek inlets; no armament; stiffness/high-q article, not fighter
E5-future	E5 future-form single research aircraft	PHYSICAL / VISUAL-LOCK	Asai research	8.75	9.80	15.50	3.05	1.02	1.18	low-mid straight tapered	2.150	1.013	6.196	1.650	2.5	4.0	-1.0	13.0	9.5	2.65	-0.18	3.45	4.70	7.30	0.38	1.42	1.75	retractable tricycle	2.95	4.55	0.58	0.38	none; central/rear E5-J	single-seat forward framed canopy; clean removable instrument nose	cheek/side inlet architecture reference; high-set tailplane clears rear jet; unarmed company architecture testbed
Ki-42	Ki-42 / E5 Single visual service reference	PHYSICAL / VISUAL-LOCK	company/military development	8.55	10.25	15.80	3.02	1.04	1.20	low-mid tapered	2.100	0.983	6.650	1.609	3.0	4.5	-1.2	13.0	9.5	2.55	-0.20	3.55	4.90	7.05	0.37	1.45	1.82	retractable tricycle	3.00	4.42	0.60	0.39	none; rear E5-J	single-seat service canopy, forward of side inlets	visual OML closure only, not a recovered factory drawing; clean default nose. Fighter/recon service-local nose-port/camera variants stay inside same removable nose volume
HS-2	HS-2 compressibility research aircraft	PHYSICAL / VISUAL-LOCK	Asai research	8.55	8.80	13.00	2.95	0.92	1.10	thin mid-wing	1.950	1.005	5.957	1.528	5.0	3.0	-0.8	10.5	7.5	2.85	0.00	3.25	4.20	7.12	0.48	1.40	1.70	retractable tricycle	2.70	4.30	0.54	0.36	none; E6-S-J	single-seat low framed canopy; long removable instrument/pitot nose	cheek inlets; high tailplane over exhaust axis; no weapons; intentionally thin wing and sparse service fittings
E5-Twin	E5 Twin J/JF common airframe	PHYSICAL / VISUAL-LOCK	Asai/company military development	10.15	12.00	22.80	3.25	1.15	1.30	low tapered	2.650	1.150	6.316	1.999	3.0	4.0	-1.2	13.0	9.5	3.15	-0.22	4.05	6.30	8.35	0.28	1.62	2.25	retractable tricycle	4.45	5.05	0.64	0.40	none; 2x E5-J or JF	two-seat tandem framed canopy; pilot forward, observer/mission aft	central light mission bay retained; J and JF share wing/fuselage OML; JF nacelle aft section is longer/full-bodied; service gun apertures are local variant, not base OML
E6-Single	E6 Single service airframe	PHYSICAL / VISUAL-LOCK	Asai/company military development	9.20	10.25	17.50	3.25	1.08	1.23	low-mid tapered	2.400	1.015	6.004	1.801	4.0	4.0	-1.2	12.5	9.0	3.05	-0.20	3.70	5.20	7.65	0.43	1.52	1.95	retractable tricycle	3.18	4.72	0.64	0.42	none; rear/central E6-M-J	single-seat forward service canopy; cheek inlets behind cockpit	free solid nose retained. CG fighter visual module = two large + two small generic blast apertures; recon module = clean nose/camera windows. Exact service gun models remain local
E6-Twin	E6 Twin J/JF common service airframe	PHYSICAL / VISUAL-LOCK	Asai/company military development	9.95	10.90	19.00	3.15	1.10	1.25	low tapered	2.450	1.036	6.253	1.839	4.0	4.0	-1.1	12.5	9.0	3.15	-0.23	3.85	5.60	8.18	0.30	1.55	2.05	retractable tricycle; mains into nacelle/wing-root bays	4.10	4.90	0.62	0.40	none; 2x E6-M-J/JF	two-seat tandem low-drag canopy	six-port common fighter nose envelope: 2 large cannon-class lower/inner + 4 small MG-class upper/outer. Central ~0.40 t mission bay. JF nacelles add aft fan/stator length while preserving common hard points
E6-B	E6-B fast-heavy twin	PHYSICAL / VISUAL-LOCK	Kawasaki airframe prime	11.60	13.50	28.00	3.75	1.28	1.55	low-mid tapered	3.050	1.098	6.509	2.227	4.5	4.0	-1.3	13.5	9.5	3.75	-0.22	4.65	8.40	9.45	0.36	1.82	2.85	retractable tricycle; mains into nacelles	5.10	5.85	0.78	0.48	none; 2x E6-M-JF	three-crew low-drag arrangement: pilot upper-forward, bombardier/navigator low-forward, observer/radio aft	limited flat lower-nose glazing, not greenhouse; no large turret. ~2.6 m flush internal bomb bay. Aft observer uses flush side blisters and retractable/socket defensive fit without changing OML
X-TP	X-TP carrier-fighter research reference configuration	RESEARCH FAMILY / VISUAL-REFERENCE LOCK	Navy air-arsenal research with Asai powerplant support	9.35	11.40	23.00	3.65	1.06	1.30	low tapered	2.700	1.335	5.650	2.094	2.0	5.0	-1.4	14.5	10.5	2.82	-0.20	4.00	6.40	7.55	0.27	1.58	2.15	retractable tailwheel	3.35	5.55	0.68	0.30	4-blade E5-S-T research prop, D=3.25 m	single-seat framed carrier-research canopy	representative test-family OML, not a military designation. Small upward-folding outer tips optional on carrier-test airframes; no 1938 mass-fighter identity
A7M-Gaifu	A7M Gaifu E6 carrier fighter	PHYSICAL / VISUAL-LOCK	Mitsubishi	9.65	12.00	25.00	3.75	1.08	1.33	low tapered carrier wing	2.900	1.267	5.760	2.190	3.0	5.5	-1.5	14.5	10.5	3.05	-0.22	4.35	7.20	7.82	0.30	1.68	2.55	retractable inward-folding mains + tailwheel	3.55	5.80	0.72	0.31	4-blade CS/feathering, D=3.35 m, spinner D~0.72 m	single-seat Mitsubishi-style framed bubble/raised rear transparency	outer 0.55 m per wing folds upward at y=5.45 m; folded horizontal span ~10.90 m. Automatic outer slats + inboard Fowler/slotted flaps. 2x20 mm wing + 2x7.7 mm nose CG default; 4x20 growth is a later variant
A8N-Sakufu	A8N Sakufu JF carrier prototype	PHYSICAL / VISUAL-LOCK	Nakajima	11.40	13.20	31.00	3.65	1.18	1.38	low two-segment carrier wing	3.450	1.150	5.621	2.532	2.5	3.0	-1.5	13.5	9.5	3.25	-0.20	4.80	8.30	9.25	0.36	1.80	2.85	retractable tricycle carrier gear; mains into nacelle/wing bays	4.65	5.55	0.70	0.46	none; 2x E6-M-JF	single-seat forward canopy with long solid gun nose	major fold at y=3.50 m; outer panels fold upward, folded width ~7.0 m. Full leading-edge slats except nacelle interruptions; large inboard Fowler flaps; drooping ailerons. 4x20 mm nose target. JF lower-bypass cascade only; core exhaust never vectors
Ki-40	Ki-40 E6 TP high-altitude reconnaissance	PHYSICAL / VISUAL-LOCK	Mitsubishi	10.50	15.00	28.00	3.75	0.98	1.20	low high-aspect-ratio tapered wing	2.550	1.183	8.036	1.950	1.0	5.0	-1.4	13.5	9.5	3.20	-0.18	4.50	7.40	8.55	0.34	1.65	2.45	retractable inward-folding mains + tailwheel	3.70	6.15	0.70	0.30	4-blade CS/feathering, D=3.55 m, spinner D~0.70 m	two-seat tandem pressure cabin with compact heavy framing/seals; no open gun position	unarmed visual baseline; one vertical + paired oblique camera windows aft. Clean narrow nose/side exhausts and small chin intake; no fighter gun ports
AT-3	Material No.3 / AT-3 1941 formal-design OML	DESIGN-FREEZE / NO 1941 FLIGHT	large-transport design consortium; Asai materials/power integration	35.50	48.00	240.00	10.70	4.10	4.55	high cantilever transport wing	7.200	2.800	9.600	5.323	3.0	4.0	-2.0	16.0	11.0	10.50	1.78	14.80	45.00	29.20	2.45	6.00	22.00	retractable tricycle; fuselage-side multiwheel main bogies	7.10	15.80	1.05	0.78	4x 4-blade CS/feathering, D=3.80 m	multi-crew flight deck; broad multi-pane windscreen; non-pressurized cargo fuselage	1941 formal-design CG authority only. Rear lower ramp + upper cargo door, external fuselage-side gear sponsons, 8 main wheels total + dual nose wheels. No bomber conversion implied
