topic	status	note
China replay Aug-Nov 1940	CLOSED	Hundred Regiments + counter-sweeps captured at operational level; exact casualties intentionally not fixed
China peace Nov 1940-May 1941	CLOSED-WORKING	Chronology and core terms closed; exact implementation schedule by division remains open
Wannan/New Fourth Army	CLOSED-WORKING	Historical large-scale destruction avoided; local movement/friction still replayable
1941 cancelled China campaigns	CLOSED	Central Hubei/South Henan/Shanggao/Zhongyuan not launched in branch
Japan domestic end-war narrative	WORKING-CLOSE	Punitive/settlement success framing; cost-benefit remains unresolved
US oil policy	WORKING	Conditional/reversible normalization central branch; not final
DEI oil trade	WORKING	Normal commerce can continue absent coercion/southern escalation
Middle-distillate military use	CLOSED-INHERITED	V16 physical doctrine and stocks retained
Soviet-Japanese Neutrality Pact	CLOSED	1941-04-13 retained historical event
Nomonhan 1939 physical delta	CLOSED-INHERITED	V10 revised final close retained
Kwantung 1941 OOB	OPEN-HIGHEST	Next audit
Soviet Far East 1941 OOB/transfers	OPEN-HIGHEST	Next audit
Barbarossa downstream effect	OPEN-NEXT	Do not preselect outcome
