Category	Aircraft/line	1939-09 status	Ownership/business mode	Primary purpose	Disposition
Sales	Small E5 TP utility/STOL family	LOW-RATE SALEABLE	Asai sale/lease + customer evaluation	survey/courier/liaison/rough-field/medical/training	retain in-house 6-12/y planning scale; partner above sustained ~24/y
Service	Flying Laboratory / Flight-Test Service	NEW BUSINESS	Asai-owned aircraft, customer flight-hour/joint-test contracts	installation/instrumentation/data reduction	expand
Research/dual	Utility/STOL demonstrator(s)	DUAL ROLE	Asai/customer eval	long-hour TBO + field operability	retain and rotate into customer trials
Research	Early E4/E5 TP conversion testbed	LEGACY	Asai	prop/reduction/control correlation	retain 0-1 representative; retire oldest
Research	E5 single future-form	RESEARCH ONLY	Asai	inlet/CG/controls/high-speed installation	retain 1; no sales batch
Research	E5 Twin No.1 pure jet	RESEARCH ONLY	Asai/joint technical use	pure-jet reference / single-engine / instrumentation	retain 1
Research	E5 Twin No.2 aft-fan	PRIMARY ADVANCED LAB	Asai/joint technical use	endurance/mission/fuel-control/E6 requirement	retain 1; highest flight-test priority
Research	Material No.1	MATERIAL LAB	Asai	materials/repair/moisture/vibration/process	retain 1
Research	Small helicopter	RESEARCH ONLY	Asai	rotor/transmission/autorotation/vibration	retain 2
Propulsion	E6 service aircraft	NOT YET	none	next-generation service propulsion	do not sell/promote as available aircraft before qualification
