rule_id	family	scope	current_ruling	forbidden_shortcut	primary_authority	status
CR-001	CAPABILITY_DATE	all technical	historical dates are anchors not capability ceilings; identify physical/industrial gate	too advanced for year therefore impossible	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	CLOSED-RULE
CR-002	IDEA_PHYSICAL_GATES	CD0 technical work	foreknowledge strongly opens idea/search-order gate; physical/industrial gate remains	Asai knows answer therefore endurance/yield/defects disappear	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	CLOSED-RULE
CR-003	PREPAYMENT	long-lead development	long clocks may start early only with causal reason/resources; elapsed test/training time still paid	future knowledge instantly matures materials/life/training	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	CLOSED-RULE
CR-004	NO_DOUBLE_CHEAT	all technical	accepted rebaselined values receive no second generic reincarnator multiplier	apply cheat bonus again after V8/V9 rebaseline	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	CLOSED-RULE
CR-005	COMPUTATION_CAUSALITY	engineering computation	credit named search/test/error/QC/schedule channel only	Asai computation means generic +X% performance	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	CLOSED-RULE
CR-006	PHYSICAL_TIME	development	calculation time may shrink; machining/endurance/flight/sea/field clocks remain unless capacity is separately paid	development time scales inversely with computer speed	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-RULE
CR-007	REALIZATION_CHAIN	all technical/service	capability, integration, article, qualification, adoption, serial/refit, allocation, serviceable, forward, combat and observed effect are separate gates	technical feasibility creates deployed combat effect	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	CLOSED-RULE
CR-008	DIFFERENCE_LED_HISTORY	worldline replay	use prior/historical state -> causal delta -> new state; preserve unaffected structure	full rebuild or historical copy without causal audit	10-CURRENT-1937-1938/01-METHOD-AND-CAUSAL-GUARD-V7.md	CLOSED-RULE
CR-009	NO_BACKFLOW	time/state	later success/qualification/field result does not propagate to earlier checkpoint	future technical or combat result exists earlier	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	CLOSED-RULE
CR-010	EXTERNAL_DIFFUSION	enemy/other organizations	technology/lesson transfer requires observation/channel/recognition/development/production delay	zero-lag enemy or customer copy	71-CURRENT-TECHNICAL-CONTROL-V9/08-CHEAT-RULE-COMPENDIUM-V9.md	CLOSED-RULE
