topic	status	next_gate
Exact 1941 theater/unit allocation and losses	HISTORY OPEN	combat replay only
Formal designation of 75 mm emergency turret tank	NAME OPEN	formal Army type/year gate
23-25 t next-medium production date and exact service specification	DEVELOPMENT/HISTORY OPEN	enemy-threat + trials + production gate
770-800 m/s 75 mm exact penetration table	MEASUREMENT OPEN	instrumented firing calibration
25-27 t mature growth model adoption	FUTURE CONDITIONAL	continued threat/trials/logistics
30 t+ heavy tank	DORMANT / NO AUTO-PROGRAM	only if common heavy-threat requirement appears
Ho-Ha 1942+ quantity	POLICY OPEN	mechanized-infantry priority
Model-by-model national truck/tractor production	DETAIL OPEN	industrial ledger if needed
Ka-Mi / heavy-Daihatsu / amphibious cargo 1942+ quantities	FUTURE OPEN	Navy/Army landing policy and trials
Selected turbo 6x4 armored-car exact identity crosswalk	DETAIL OPEN	identity/name audit
