issue	pre_audit_status	progression_by_1937_11_12	new_treatment
E5 pure-jet installed value	OPEN	No procurement decision depends on exact 430-470 kgf shadow yet	Keep OPEN physics audit
Old E5 dedicated recon/Ki-40 adoption history	ARCHIVED/OPEN	No requirement justifies revival	Do not revive
1937 GT125 / turbo1300 demand basis	WORKING	Customer/financial audit supports factory-completion interpretation	RESOLVED-WORKING: GT ~125 factory-completed; turbo ~1,300 factory-completed
GT/turbo capacity interpretation	WORKING	Gross machine-hour ceiling separated from sustained actual output	Q-008 remains open; Q-009 clarified
Type 96 24 cm howitzer	HIGH-OPEN	Practical procurement question closes even though exact fault cause does not	CLOSED-PROCUREMENT / OPEN-CAUSE
Type 97 20 mm automatic cannon	HOLD-HISTORICAL	8-prototype 1937 -> 50-trial 1938 path preserved	CLOSED-PACE; penetration OPEN
Type 96 LMG ramp	HIGH-OPEN	Direction closes; exact 1937 monthly output does not	CLOSED-DIRECTION / OPEN-NUMBER
Type 96 25 mm firing-pin improvement	HIGH-OPEN	Operational use + Asai heat-treatment/QC make earlier component fix plausible	LIKELY-HIGH; exact fleet retrofit date OPEN
Small GT mobile power	CURRENT-BRANCH-WORKING	War demand moves it from demonstration to limited operational trial	A3 WORKING; exact unit assignments OPEN
Helicopter military use	OPEN	No 1937 military requirement strong enough for procurement	A1 observation only
Aircraft GT mass-production proposal timing	Current history: strong late-1937 proposal	Conflicts with capacity pull and short-war expectation	Supersede: internal contingency study in Nov; external mass-supply proposal deferred to late-Dec 1937/early-1938 gate
Dense-core AP penetration	OPEN	No new combat evidence sufficient to close	Keep OPEN
