date	event	matched-history anchor	Asai/worldline ruling	status
1938-05-21/24	Lanfeng fighting intensifies; Japanese 14th Division penetrates and takes Lanfeng sector	Chinese campaign chronologies	Same date band; Japanese artillery/transport readiness raises local staying power, not a strategic date shift	CLOSED-SAME-BAND
1938-05-25/27	Chinese counterattack retakes Lanfeng/rail points and compresses 14th Division	Chinese campaign chronologies	Same date band; counterattack slightly more costly because 14th Division F/M/S is healthier	CLOSED-SAME-BAND
1938-05-28/30	Japanese 14th counteraction + relief pressure from east weakens Chinese encirclement	campaign chronologies	Same sequence; Asai improves Japanese endurance/recovery by hours	CLOSED-SAME
1938-05-31/06-01	Chinese command ends attempt to annihilate 14th Division and withdraws west; dike-breach decision becomes active	campaign / flood scholarship	Same date band. Prior Shanghai preservation doctrine makes withdrawal concept familiar; Taierzhuang prestige and Lanfeng failure create urgency	CLOSED-SAME-BAND
1938-06-04	Zhaokou dike excavation/blast attempts begin	Muscolino/DisasterHistory: attempts June 4-6	Same day; no mechanical Japanese advantage can mobilize Chinese hydraulic engineering much earlier	CLOSED-SAME-DATE
1938-06-04/06	Two major Zhaokou attempts fail	Muscolino/DisasterHistory	Same failures: dike structure, water level and river course dominate	CLOSED-SAME-FAILURE
1938-06-06	Kaifeng occupied around noon	FRUS June 7	Same date; possible hour-scale local acceleration is not enough to move capture to June 5	CLOSED-SAME-DATE
1938-06-06/08	Chinese shifts breach work to Huayuankou	Muscolino/DisasterHistory	Same date band; urgency may accelerate work by several hours only	CLOSED-SAME-BAND
1938-06-09	Yellow River begins spilling through Huayuankou breach	Muscolino/DisasterHistory	Same date; allow 0-8 h earlier working sensitivity, hydrological path effectively unchanged	CLOSED-SAME-DATE
1938-06-10/15	Flood expands southeast; Japanese westward drive toward Zhengzhou progressively checked	DisasterHistory / FRUS June 15	Same strategic effect	CLOSED-SAME-OUTCOME
1938-06-15	Japanese spokesman acknowledges advance on Zhengzhou completely checked	FRUS June 15	Same date	CLOSED-SAME
1938-06-20/28	Japanese operational emphasis shifts away from Chengzhou/Pinghan direct route; some forces reoriented east/south	FRUS June 28	Same strategic reorientation; Asai cannot make mechanized movement across flood plain practical	CLOSED-SAME-STRATEGY
