authority_rank	status	role	pointer	supersession_note
0	PACKAGE-CONTROL	package metadata/control	00-START-HERE-2026-08-30-FULL-V5.md	
90	BASE/SOURCE	V4 preserved package; apply its internal authority plus V5 precedence	01-BASE-V4/00-START-HERE-2026-08-30-FULL-V4.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/00-START-HERE.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/01-GLOBAL-RAW-SOURCE-INDEX.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/02-TOPIC-SOURCE-MAP.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/03-CURRENT-BRANCH-INDEX.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/04-CURRENT-BRANCH-HISTORY-1903-1937-SUMMER.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/05-CURRENT-CLOSED-PRODUCT-WEAPON-LEDGER.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/06-CONFLICT-AND-REVIEW-QUEUE.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/07-SESSION-DELTA-2026-08-30.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/08-MILITARY-DELIVERY-LEDGER-1937-SUMMER.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/09-MILITARY-DELIVERY-LEDGER-1937-SUMMER.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/10-WEAPON-IMPACT-LEDGER-1937-SUMMER.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/10-WEAPON-IMPACT-LEDGER-1937-SUMMER.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/11-MATERIAL-TOOL-WEAPON-IMPACT-AUDIT-1937-SUMMER.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/11-MATERIAL-TOOL-WEAPON-IMPACT-AUDIT-1937-SUMMER.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/12-MACHINE-INTEGRITY-AUDIT.json	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/12-MACHINE-INTEGRITY-AUDIT.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/13-FILE-MANIFEST-SHA256.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/14-URANIUM-ROUTE-ECONOMIC-AUDIT-1937.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/14-URANIUM-ROUTE-ECONOMIC-AUDIT-1937.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/15-URANIUM-TUNGSTEN-DENSE-MATERIALS-AUDIT-1937.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/16-DENSE-CORE-AMMUNITION-MILITARY-IMPACT-1937.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/17-DENSE-MATERIAL-AMMUNITION-SUPPLY-AUDIT-1937.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/18-1937-07-07-EVENT-GATE.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/18-1937-07-07-EVENT-GATE.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/19-1937-07-07-08-INITIAL-RESPONSE-GATE.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/19-1937-07-07-08-INITIAL-RESPONSE-GATE.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/20-1937-07-08-FIRST-COMBAT-GATE-0530-0600.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/20-1937-07-08-FIRST-COMBAT-GATE-0530-0600.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/21-1937-07-08-MORNING-GATE-0600-1200.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/21-1937-07-08-MORNING-GATE-0600-1200.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/22-1937-07-08-AFTERNOON-GATE-1200-1830.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/22-1937-07-08-AFTERNOON-GATE-1200-1830.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/23-1937-07-08-09-EVENING-OVERNIGHT-GATE-1830-0210.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/23-1937-07-08-09-EVENING-OVERNIGHT-GATE-1830-0210.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/24-1937-07-09-WITHDRAWAL-COMMS-FAILURE-GATE-0210-0710.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/24-1937-07-09-WITHDRAWAL-COMMS-FAILURE-GATE-0210-0710.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/25-1937-07-09-WITHDRAWAL-SECURITY-FORCE-GATE-0710-1600.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/25-1937-07-09-WITHDRAWAL-SECURITY-FORCE-GATE-0710-1600.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/26-1937-07-09-10-DEESCALATION-PREPARATION-GATE-1600-1600.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/27-1937-07-10-LONGWANGMIAO-SECOND-BATTLE-GATE-1600-2115.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/28-1937-07-11-LOCAL-SETTLEMENT-CENTRAL-DISPATCH-GATE-0500-2000.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/29-1937-07-11-13-SETTLEMENT-MOBILIZATION-GATE-2000-2000.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/30-1937-07-13-17-REINFORCEMENT-LOCAL-CLASH-LUSHAN-GATE-2000-1800.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/31-1937-07-17-20-LOCAL-COMPLIANCE-RENEWED-FIGHTING-GATE-1800-2100.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/32-1937-07-21-22-WITHDRAWAL-RAIL-TRANSPORT-GATE.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/33-1937-07-23-24-COMPLIANCE-SEMANTIC-BREAKDOWN-GATE.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/34-1937-07-25-26-LANGFANG-COMMS-LINE-INCIDENT-GATE.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.md	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/35-1937-07-26-27-GUANGANMEN-CONVOY-DELAY-GATE.tsv	
5	BASE-CURRENT	V4 base current branch	01-BASE-V4/01-CURRENT-BRANCH/99-NEXT-CHAT-HANDOFF.md	
90	BASE/SOURCE	V4 preserved package; apply its internal authority plus V5 precedence	01-BASE-V4/90-SOURCE-QUARANTINE/00-QUARANTINE-POLICY.md	
90	BASE/SOURCE	V4 preserved package; apply its internal authority plus V5 precedence	01-BASE-V4/90-SOURCE-QUARANTINE/2026-08-29-FULL-V3/00-START-HERE-2026-08-29-FULL-V3.md	
90	BASE/SOURCE	V4 preserved package; apply its internal authority plus V5 precedence	01-BASE-V4/90-SOURCE-QUARANTINE/2026-08-29-FULL-V3/archive-previous-overlay/CURRENT-HANDOFF-NOTES-2026-08-29-pre-naval-integration.md	
