aircraft	period_or_variant	historical_exhaust_state	asai_worldline_state	full_EX0_to_EX2_delta_kmh	residual_EX2_to_EX3_delta_kmh	adoption_or_retrofit_semantics	confidence	double_count_guard
Ki-27	late production / 1939 service	EX0 collector	EX2 late-production; overhaul retrofit	5-8	NA	1937 test; late-1938 production standard; REPLAY3 closes 24th Sentai current Nomonhan pool at EX2 x15 / EX0 x4; other units remain local gates	B+	full delta only for actual EX0 airframe; 24th unit mix authority=60/05-06
Ki-15-II	1939 production	EX0	EX2/early EX3	6-9	NA	new production favored; reconnaissance mission high priority	B	use full delta only versus EX0 anchor
C5M1	1938 small lot	EX0 probable	mixed EX0/EX2	5-8	NA	small lot; no forced fleet retrofit	C+	variant-specific engine/install required
C5M2	1940	EX0 probable	EX2 standard likely	5-8	NA	new Sakae installation; separate from C5M1	C+	do not inherit Ki-15-II number blindly
A5M4	late production	EX0 exhaust ring	EX2 selected new build/major overhaul	5-7	NA	legacy fleet retrofit low priority	B	remaining service life is adoption gate
B5N2	1939-41	EX0 collector ring	progressive EX2	4-6	NA	old E1=0 ruling superseded	B+	full delta restored; no double count with later EX2 if separately anchored
D3A1	1940+	EX0 collector ring	progressive EX2	4-6	NA	initial lots may remain EX0	B	fixed-gear drag limits tactical impact
A6M2	1940	EX0	EX2/EX3 design standard	6.4-10.1	NA	existing Zero A0 rebaseline retained	A	A6M5 full-card repeat prohibited
Ki-21-IIa	1940+	EX0	EX2 with redesign	6-9	NA	engine redesign is integration gate	B+	later historical IIb EX2 is catch-up evidence
G3M2	1939-40+	EX0 collector ring	EX2 new build/major overhaul	4-6	NA	fleet retrofit selective	B	cruise/fuel margin may absorb gain
Ki-43-I	1941	EX0	EX2/EX3 production	5.8-9.0	NA	A0 existing band retained	A	do not add full card to historical late EX2 Ki-43
Ki-44-I	1941-42	EX0	EX2/EX3 production	6.5-11	NA	A0 existing band retained	A-	full shadow is design sensitivity not extra late-war card
Ki-45 Kai	1941+	EX0 early	EX2/EX3 redesign	6-10	NA	historical late thrust exhaust proves suitability	B+	variant timing matters
