field	value
package	ASAI-WORLDLINE-HANDOFF-2026-09-05-FULL-V9-NOMONHAN-CLOSED-CHINA-JUN20
state_semantics	NOMONHAN campaign closed; CHINA active replay current 1939-06-20 24:00
current_revalidated_combat_checkpoint	CHINA 1939-06-20 24:00
nomonhan_status	CLOSED through 1939-08-31 stabilization/central stop; postwar allocation flows future/open
china_status	ACTIVE_COMBAT_REPLAY
next_chronological_combat_gate_if_resumed	1939-06-21 Shantou/Swatow landing + Wutaishan phase4 close + Guangdong security-gap reaction
highest_restart	70-CURRENT-2026-09-05-SESSION-CLOSE/00-SESSION-HANDOFF-V9.md
current_master_index	CURRENT-MASTER-FILE-INDEX-V9.tsv
current_precedence	PRECEDENCE-2026-09-05-FULL-V9.tsv
current_terminology_supersession_guard	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv
current_decision_intent_index	DECISION-INTENT-INDEX-V9.tsv
current_china_state	70-CURRENT-2026-09-05-SESSION-CLOSE/08A-CHINA-1939-06-20-STATE-V9.tsv
next_gate	70-CURRENT-2026-09-05-SESSION-CLOSE/09-NEXT-GATE-SWATOW-1939-06-21-V9.md
cross_theater_guard	70-CURRENT-2026-09-05-SESSION-CLOSE/07-CHINA-CROSS-THEATER-ALLOCATION-GUARD-V9.md
nomonhan_closure	70-CURRENT-2026-09-05-SESSION-CLOSE/01-NOMONHAN-CLOSURE-CANON-V9.md
nomonhan_loss_ledger	70-CURRENT-2026-09-05-SESSION-CLOSE/02-NOMONHAN-LOSS-LEDGER-V9.tsv
nomonhan_air_ammo_correction	70-CURRENT-2026-09-05-SESSION-CLOSE/03-NOMONHAN-AIR-SPECIAL-AMMO-CORRECTION-V9.md
nomonhan_air_ammo_working_ledger	70-CURRENT-2026-09-05-SESSION-CLOSE/03A-NOMONHAN-AIR-SPECIAL-AMMO-WORKING-V9.tsv
nomonhan_replacement_pipeline	70-CURRENT-2026-09-05-SESSION-CLOSE/04-NOMONHAN-REINFORCEMENT-PIPELINE-V9.md
nomonhan_replacement_working_ledger	70-CURRENT-2026-09-05-SESSION-CLOSE/04A-NOMONHAN-REINFORCEMENT-PIPELINE-V9.tsv
