ledger_id	region	customer_or_group	product_or_capability	1937_quantity_low	1937_quantity_high	unit	status	confidence	canonical_treatment	notes
J-COMP-01	Japan	central statistics / tax / customs / economic ministries	office-statistical machine workload	8	12	FSE	WORKING-AUDIT	medium-high	Do not close exact agency supplier shares	Baseline Japan already used imported PCS; Asai difference is domestic lease/service/refurbishment and cheaper expansion.
J-COMP-02	Japan	Ministry of Railways HQ / regional bureaus / major shops	office-statistical machine workload	10	16	FSE	WORKING-AUDIT	high	Strong restore candidate	Historical Ministry of Railways was an early PCS adopter; quarantine also names Railways as a core Asai public customer.
J-COMP-03	Japan	Army arsenals / naval arsenals / yards / technical departments	office-statistical + engineering computation workload	12	20	FSE	WORKING-AUDIT	high	Generic category may be elevated; exact sites remain gated	Historical Kure adopted card systems; current V4 already supports arsenal/large-firm technical-calculation diffusion.
J-COMP-04	Japan	large private firms: insurance / shipbuilding / engines / mining / utilities / shipping	office-statistical machine workload	25	40	FSE	WORKING-AUDIT	high	Category-level working range	Mitsubishi/Nakajima major engine divisions reach U4 in current branch; private PCS adoption is historically attested.
J-COMP-05	Japan	prefectural / municipal / public-utility users	office-statistical machine workload	8	15	FSE	WORKING-AUDIT	medium	Keep below central/rail penetration	Mostly own small installations or service-bureau use; do not assume universal prefectural adoption.
J-COMP-06	Japan	Asai-owned service bureaus / pooled centers	office-statistical machine workload	8	12	FSE	WORKING-AUDIT	high	Provider-owned, not customer-installed	Important for smaller customers and peak workloads.
M-COMP-01	Manchuria	SMR / General Railway Bureau / railway operations	office-statistical machine workload	6	10	FSE	RESTORE-CANDIDATE	high	Name-specific adoption remains WORKING	SMR already sophisticated; main Asai value is interoperability/code/form standardization, not inventing modern management.
M-COMP-02	Manchuria	major mines / industrial combines / ports / utilities	office-statistical machine workload	8	14	FSE	RESTORE-CANDIDATE	medium-high	Good candidate for used/refurbished leases	Quarantine explicitly sends returned older machines to Manchuria and stresses item/factory/material coding.
M-COMP-03	Manchuria	Manchukuo ministries / Industrial Affairs / customs / tax / planning	office-statistical machine workload	5	8	FSE	RESTORE-CANDIDATE	medium	1937 July direct GDP effect must remain small	Industrial Affairs Department only began 1937-07-01; pre-existing administration and 1938 income survey provide the absorptive logic.
M-COMP-04	Manchuria	Asai branch / service bureau / refurbished lease pool	office-statistical machine workload	6	10	FSE	RESTORE-CANDIDATE	high	Provider-owned stock	Matches quarantine business model of refurbished low-price secondary leases in Manchuria.
J-TECHCALC-01	Japan	Mitsubishi / Nakajima major engine divisions	technical calculation process	2	2	major corporate systems	CURRENT-CLOSED	high	Retain current U4 by 1935-37	U4 is process maturity, not a large electronic computer count.
J-TECHCALC-02	Japan	military evaluation organizations / large yards	technical calculation process	6	12	sites	WORKING-AUDIT	medium-high	Keep at U3-ish where current branch supports it	Includes in-house safe sections plus contracted calculations.
J-TECHCALC-03	Japan	other major industrial design offices	technical calculation process	6	8	sites	WORKING-AUDIT	medium	Do not spread U4 nationally	High-end relay/scientific rooms remain rare.
