domain	Asai capability / asset	prewar/current foundation	1938-06-30 working state	effect strength	main affected systems	continuation status	confidence
Materials	AH high-speed/tool steels	1917-19 mature external product	War-priority production continues; military allocation remains above peacetime mix; exact 1938 tonnage not yet closed	S	guns, diesels, aircraft engines, bearings, firing pins, tooling	CONTINUE; 1938 corporate/material tonnage audit still needed	HIGH direction / MEDIUM quantity
Tools	Kongo carbide / finished cutting tools	1926 mature product	Heavy war demand; tool life and machining rate remain one of the broadest Asai channels	S	gun barrels/breeches, engine parts, vehicle repair, jigs	CLOSED-DIRECTION	HIGH
Production/QC	jigs, limit gauges, heat-treatment records, metrology	1928+ broad customer/arsenal support	Embedded in Army/Navy arsenals and prime contractors; effect is variance/reject reduction rather than magic tolerances	S	Type96 LMG, 25mm, mortars, vehicle/aircraft engines, artillery	CLOSED-METHOD	HIGH
Computation	card/technical computation and process feedback	1923+; Mitsubishi/Nakajima U4 by 1935-37	Military-priority workload expands; working +10-20 FSE equivalent above peacetime allocation, mostly production/logistics/engine/artillery work	A	aircraft-engine development, inventory/repair, artillery tables, production planning	CONTINUATION CREATED	MEDIUM
Exhaust turbo	diesel exhaust turbocharger	commercial since 1925; ~1300 factory completions/y in 1937	H1-1938 Army heavy-vehicle deliveries working ~210-280, centered on new installs + replacement/repair; civilian/marine business continues	S	6x4 trucks, artillery tractors, recovery/workshop vehicles, marine diesels	CONTINUATION CREATED	MEDIUM
Industrial GT	E4 ~500 kW independent GT	saleable 1932-33	H1-1938 military fixed/emergency deliveries working ~15-25 new sets; rear bases/airfields/arsenals	A	base power, pumping, repair, communications	CONTINUATION CREATED	MEDIUM
Mobile power	small GT/APU mobile power	limited military use by 1937	H1-1938 ~8-12 additional small sets; cumulative operational/evaluation population ~15-25 working; large E4 towed sets remain ~1-3 special trials	A	field workshops, airfields, HQ, pumps, flood-edge engineering	CONTINUATION CREATED	MEDIUM-LOW
Aviation GT	E5 7.6 kg/s ~950-1060 hp core family	upstream closed; aviation application A2	H1 evaluation lot ~24 authorized; ~18-24 flight-grade cores completed/delivered working; no operational series order	A (future)	E5 twin/single, aft-fan research, future E6	CONTINUATION CREATED	MEDIUM
Resins/electrical	epoxy adhesive, potting, impregnation, sealing	small commercial product mid-1930s	Wartime use expands in high-value sealing/insulation/repair; June flood creates an emergency boat/electrical repair niche	A local / B systemic	electrical boxes, cable joints, pumps, boats, aircraft secondary structures	CONTINUATION CREATED	MEDIUM
Plant composites	plant-fiber epoxy / paper honeycomb	secondary/semi-structural by 1937	Small TP uses partial composite; Material No.1 dedicated test airframe under construction; no primary-structure release	B	small TP, material testbeds, fairings/doors/floors/ducts	CONTINUE	HIGH direction
Dense metals	natural-U dense metal + W heavy materials	1937 specialty-metal and special-AP evaluation	1938 limited reserve/proving allocation continues; no broad China-front issue; W saving redirected to tools/carbide	A potential / C current combat	Type94 37mm special AP, Type97 20mm trials, resource allocation	CONTINUATION CREATED	MEDIUM
Aircraft R&D	E4/E5 fixed-wing experimental ecosystem	TP/jet flight chain closed; current-only branches defined	E5 twin No.1 mature; No.2 building; E5 single flying; small TP field evaluation; no service jet order	A technology / low current combat	future high-speed reconnaissance/interceptor requirements	CONTINUE	MEDIUM-HIGH
Rotorcraft	small helicopter program	free flight 1936; Asai 180-200 hp engine in 1937	Two development airframes; durability/autorotation/transmission work; no military procurement	B technology / none current combat	future observation/transport rotorcraft	CONTINUE	MEDIUM
Marine R&D	marine GT / emergency GT / propulsion test ship	E5 marine A2; Hiei emergency GT overlay; 1938 test-ship requirement	Hiei integration still engineering/procurement; marine GT comparative studies continue; propulsion-test-ship requirement opened, no hull yet	B technology	naval power, future marine GT qualification	CONTINUATION CREATED	MEDIUM
Manchuria/service network	Dairen/Mukden service, turbo/GT/computation	~400 staff, ~100 turbo/y and ~10 GT/y broad 1937 zone	Military/service importance rises; exact 1938 revenue/headcount/site throughput not yet re-audited	A enabling	North China vehicle support, industrial maintenance, future dense-AP reserve	NEEDS 1938 BRANCH AUDIT	MEDIUM
Corporate capacity	~10k employees, ¥25m sales, heavy 1936-38 capex in 1937 baseline	1937 closeout audited	1938 war mix shifts toward tools/turbo/power; second turbine capacity is in installation/qualification, but 1938 P&L/headcount not yet closed	S enabling	all branches	NEEDS 1938 CORPORATE CLOSEOUT	HIGH 1937 / OPEN 1938 exact
