priority	scope	file_or_tree	note
-6	current combat checkpoint	60-CURRENT-1939-COMBAT-REPLAY/10-1939-08-20-STATE-LEDGER-V8.tsv	NOMONHAN-A2 current clock 1939-08-20 24:00
-5	current Aug20 combat gate	60-CURRENT-1939-COMBAT-REPLAY/09-1939-08-20-SOVIET-OFFENSIVE-DAY1-GATE-V8.md	supersedes front-only chat branch with absent tank regiments
-4	reinforcement / HOT reserve	50-CURRENT-1939-1941-AIRPOWER-AUDIT/54-NOMONHAN-REINFORCEMENT-HOT-RESERVE-CANON-V8.md	First Tank Group return and Aug19 readiness/allocation authority
-3	aerial photo / deep fire	50-CURRENT-1939-1941-AIRPOWER-AUDIT/53-AERIAL-PHOTO-RECON-DEEP-FIRE-INTEGRATION-CANON-V8.md	Ki40/photo/deep-fire 1939 authority over older generic photo-run wording where stated
-2	relative mobility / geometry	50-CURRENT-1939-1941-AIRPOWER-AUDIT/52-RELATIVE-MOBILITY-GEOMETRY-TIMING-CANON-V8.md	Chi-Ha trajectory/mobility authority; no historical kill copy by identity alone
-13	current combat gate / Nomonhan May11-Jun27	60-CURRENT-1939-COMBAT-REPLAY/05-1939-05-11-06-27-NOMONHAN-OPENING-PHASE-GATE-V8.md	REPLAY3 highest chronological combat authority through 1939-06-27 24:00
-12	current Nomonhan event ledger	60-CURRENT-1939-COMBAT-REPLAY/05A-1939-05-11-06-27-NOMONHAN-EVENT-LEDGER-V8.tsv	machine-readable May11-Jun27 closures
-11	current Jun27 state ledger	60-CURRENT-1939-COMBAT-REPLAY/06-1939-06-27-STATE-LEDGER-V8.tsv	current state / next-gate authority
-2.5	current fire-control/sighting/bombing canon	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md	FIREOPTICS1 same-weapon != same-fire-effect chain; 1939 closures and no-double-count rules
-2.4	current fire-control application ledger	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51A-FIRE-CONTROL-SIGHTING-APPLICATION-LEDGER-V8.tsv	machine-readable FCS0-FCS4 applications/guards
