path	layer	authority_status	domain_guess	size_bytes	first_heading
00-START-HERE-2026-08-29-FULL-V3.md	late-2026-08-29-resume	CURRENT	cross-domain	1008	浅井世界線 — FULL HANDOFF 2026-08-29 V3
ASAI-E3-E4-JET-FLIGHT-ORIGIN-V12.md	late-2026-08-29-resume	CURRENT	aviation;gas-turbine	10080	浅井世界線：E3→E4 初期GT航空実証の再試算 V12
ASAI-EPOXY-FRP-CAPABILITY-LEDGER-V1.xlsx	late-2026-08-29-resume	CURRENT	materials	26296	
ASAI-EPOXY-FRP-CAPABILITY-LEDGER-V2-COST.xlsx	late-2026-08-29-resume	CURRENT	materials	33240	
ASAI-GT-FRONT-SCALE-RATING-PRODUCTS-V14-COST.xlsx	late-2026-08-29-resume	CURRENT	gas-turbine	46505	
ASAI-SINGLE-REAR-JET-SIZING-V11.md	late-2026-08-29-resume	CURRENT	aviation	8161	浅井世界線：単発中央後部GT機 一次サイジング V11
CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md	late-2026-08-29-resume	CURRENT	company	9710	浅井世界線 handoff notes — 2026-08-29 FULL V3
CURRENT-PRECEDENCE-2026-08-29-FULL-V3.tsv	late-2026-08-29-resume	CURRENT	cross-domain	1429	
CURRENT-STATE-2026-08-29-FULL-V3.json	late-2026-08-29-resume	CURRENT	cross-domain	1242	schema=asai-worldline-handoff-current-state-v3
OPEN-QUEUE-2026-08-29-FULL-V3.md	outer-package	SUPPORT	cross-domain	1270	Open Queue — 2026-08-29 FULL V3
PACKAGE-INVENTORY-2026-08-29-FULL-V3.tsv	outer-package	SUPPORT	cross-domain	1932	
SHA256SUMS-2026-08-29-FULL-V3.txt	outer-package	SUPPORT	cross-domain	4283	
archive-previous-overlay/CURRENT-HANDOFF-NOTES-2026-08-29-pre-naval-integration.md	archive-overlay	ARCHIVE	marine;company	3710	浅井世界線 handoff notes — 2026-08-29
archive-previous-overlay/CURRENT-PRECEDENCE-2026-08-29.tsv	archive-overlay	ARCHIVE	cross-domain	2298	
archive-previous-overlay/CURRENT-STATE-2026-08-29.json	archive-overlay	ARCHIVE	cross-domain	2492	schema=asai-worldline-handoff-current-state-v1
archive-previous-overlay/DATA-ISSUE-REGISTER-2026-08-29.tsv	archive-overlay	ARCHIVE	cross-domain	2067	
asai-worldline-20260828-v48r3-marine-gt-processed-handoff-v10.zip	outer-package	SUPPORT	marine;gas-turbine;company	7354483	
nested/asai-worldline-v48r3-source-restored/00-START-HERE-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	cross-domain	2390	浅井世界線・完全版入口 — semantic v48 / machine v48r3
nested/asai-worldline-v48r3-source-restored/01-MATERIALS-MASTER-INDEX-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	materials	16265	材料マスター索引（2026-08-22）
nested/asai-worldline-v48r3-source-restored/02-COMPUTATION-MASTER-INDEX-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	computation	14341	計算機・計算文化マスター索引（2026-08-22）
nested/asai-worldline-v48r3-source-restored/03-OPEN-ISSUES-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	cross-domain	3094	OPEN ISSUES — post-v48r3 source-restored
nested/asai-worldline-v48r3-source-restored/04-INTEGRATION-AUDIT-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	cross-domain	8473	計算機史統合リファクタリング監査（2026-08-22 / v4）
nested/asai-worldline-v48r3-source-restored/05-AIRCRAFT-SHADOW-AUDIT-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	aviation	9045	航空機 C/M/E/P/I/A 影機監査——v4入口（2026-08-22）
nested/asai-worldline-v48r3-source-restored/06-AIRCRAFT-REBASELINE-P0-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	aviation	6857	航空機史再基底化 P0 —— E共通帳簿・史実H→A・零戦第1号
nested/asai-worldline-v48r3-source-restored/07-ENGINE-COMPUTATION-ORIGIN-P0-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	computation	1600	発動機計算再基底化 P0-1（1923–28 浅井内部）
nested/asai-worldline-v48r3-source-restored/08-ENGINE-COMPUTATION-EXTERNALIZATION-P0-2026-08-22.md	semantic-v48-support	BASE-SUPPORT	computation	1560	P0監査要約——1928–34 発動機計算の外販・吸収
nested/asai-worldline-v48r3-source-restored/09-ENGINE-COMPUTATION-MATURATION-P0-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	computation	3951	P0監査要約——1934–37 発動機計算文化の成熟と系列分岐
nested/asai-worldline-v48r3-source-restored/10-ENGINE-COMPETITION-ZUISEI-SAKAE-P0-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	cross-domain	4290	P0監査要約——1937–41 瑞星 vs 栄、零戦顧客下の発動機競争
nested/asai-worldline-v48r3-source-restored/100-CAPABILITY-CONVERGENCE-METHOD-REBASELINE-V38-2026-08-26.md	machine-v48r3	MACHINE-CURRENT	cross-domain	846	100 — Capability Convergence / Long-Clock Rebaseline v38
nested/asai-worldline-v48r3-source-restored/101-POST-V38-OPEN-AUDIT-V38R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	491	101 — Post-v38 Open Audit
nested/asai-worldline-v48r3-source-restored/102-MACHINE-LAYER-REFRESH-V38R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	587	102 — Machine Layer Refresh v38r1
nested/asai-worldline-v48r3-source-restored/103-PACKAGE-QA-V38R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	805	103 — Package QA v38r1
nested/asai-worldline-v48r3-source-restored/104-E4-E5-HOT-SECTION-COMPONENT-LIFE-REBASELINE-V39-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	gas-turbine	22138	104 — E4/E5 Hot-section Component / Life Rebaseline — v39
nested/asai-worldline-v48r3-source-restored/105-POST-V39-OPEN-AUDIT-V39R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1833	105 — post-v39 open audit — v39r1
nested/asai-worldline-v48r3-source-restored/106-MACHINE-LAYER-REFRESH-V39R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1034	106 — Machine-layer refresh — v39r1
nested/asai-worldline-v48r3-source-restored/107-PACKAGE-QA-V39R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	921	107 — Package QA — v39r1
nested/asai-worldline-v48r3-source-restored/108-E4-E5-INSTALLED-CYCLE-REBASELINE-V40-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	gas-turbine	984	108 — E4/E5 installed-cycle rebaseline — v40
nested/asai-worldline-v48r3-source-restored/109-POST-V40-OPEN-AUDIT-V40R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	2037	109 — post-v40 open audit — v40r1
nested/asai-worldline-v48r3-source-restored/11-ZERO-ZUISEI-A0-P0-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	aviation	1576	P0監査要約——1939 十二試艦上戦闘機（A6M1）瑞星900/940馬力枝を機体へ戻す
nested/asai-worldline-v48r3-source-restored/110-MACHINE-LAYER-REFRESH-V40R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	938	110 — Machine-layer refresh v40r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/111-PACKAGE-QA-V40R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1114	111 — Package QA v40r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/112-E4-E5-PRODUCT-MASSFLOW-SIZE-REBASELINE-V41-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	gas-turbine	1334	112 — E4/E5 product mass-flow / size rebaseline — v41
nested/asai-worldline-v48r3-source-restored/113-POST-V41-OPEN-AUDIT-V41R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1803	113 — post-v41 open audit — v41r1
nested/asai-worldline-v48r3-source-restored/114-MACHINE-LAYER-REFRESH-V41R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1015	114 — Machine-layer refresh v41r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/115-PACKAGE-QA-V41R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1141	115 — Package QA v41r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/116-E4-REGENERATION-INSTALLED-REBASELINE-V42-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	gas-turbine	1356	116 — E4 regeneration installed rebaseline — v42
nested/asai-worldline-v48r3-source-restored/117-POST-V42-OPEN-AUDIT-V42R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1698	117 — post-v42 open audit — v42r1
nested/asai-worldline-v48r3-source-restored/118-MACHINE-LAYER-REFRESH-V42R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1003	118 — Machine-layer refresh v42r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/119-PACKAGE-QA-V42R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1608	119 — Package QA v42r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/12-ZERO-A6M2-MATURATION-P0-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	aviation	1863	P0監査要約——A6M1→零式艦上戦闘機一一/二一型（A6M2）の成熟日程
nested/asai-worldline-v48r3-source-restored/120-E5-E6-COMPRESSOR-OPERABILITY-REBASELINE-V43-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	gas-turbine	1452	120 — E5/E6 compressor operability rebaseline — v43
nested/asai-worldline-v48r3-source-restored/121-POST-V43-OPEN-AUDIT-V43R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1599	121 — post-v43 open audit — v43r1
nested/asai-worldline-v48r3-source-restored/122-MACHINE-LAYER-REFRESH-V43R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1132	122 — Machine-layer refresh v43r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/123-PACKAGE-QA-V43R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1546	123 — Package QA v43r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/124-E6-INSTALLED-CYCLE-PRODUCT-POWER-REBASELINE-V44-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	gas-turbine	8094	124 — E6 installed-cycle / product-power rebaseline — v44
nested/asai-worldline-v48r3-source-restored/125-POST-V44-OPEN-AUDIT-V44R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1725	125 — post-v44 open audit — v44r1
nested/asai-worldline-v48r3-source-restored/126-MACHINE-LAYER-REFRESH-V44R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1349	126 — Machine-layer refresh v44r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/127-PACKAGE-QA-V44R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1736	127 — Package QA v44r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/128-E6-S-AIRCRAFT-H-TO-A-REBASELINE-V45-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	aviation;gas-turbine	7400	128 — E6-S aircraft H→A rebaseline — v45
nested/asai-worldline-v48r3-source-restored/129-POST-V45-OPEN-AUDIT-V45R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	991	129 — Post-v45 open audit — v45r1
nested/asai-worldline-v48r3-source-restored/13-ZERO-FUEL-HISTORY-P0-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	aviation	3933	P0監査要約——栄一二型 vs 瑞星940馬力級の燃費/温度と初期零戦史料揺れ
nested/asai-worldline-v48r3-source-restored/130-MACHINE-LAYER-REFRESH-V45R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1198	130 — Machine-layer refresh v45r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/131-PACKAGE-QA-V45R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1503	131 — Package QA v45r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/132-E6-M-JF-INSTALLED-THRUST-REBASELINE-V46-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	gas-turbine	1739	132 — E6-M-J / JF installed-thrust rebaseline — v46
nested/asai-worldline-v48r3-source-restored/133-POST-V46-OPEN-AUDIT-V46R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1054	133 — Post-v46 open audit — v46r1
nested/asai-worldline-v48r3-source-restored/134-MACHINE-LAYER-REFRESH-V46R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1573	134 — Machine-layer refresh v46r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/135-PACKAGE-QA-V46R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1659	135 — Package QA v46r1 — 2026-08-26
nested/asai-worldline-v48r3-source-restored/138-AVIATION-HISTORY-RESET-CORE-REPOSITION-V48-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	aviation;gas-turbine	1046	v48 航空史リセット／コア再配置
nested/asai-worldline-v48r3-source-restored/139-POST-V48-OPEN-AUDIT-V48R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	3020	OPEN ISSUES — post-v48r1
nested/asai-worldline-v48r3-source-restored/14-ZERO-A6M3-ENGINE-STRUCTURE-P0-2026-08-23.md	semantic-v48-support	BASE-SUPPORT	aviation	2266	P0監査要約——1941 A6M3 発動機競争・高速構造・量産形
nested/asai-worldline-v48r3-source-restored/140-MACHINE-LAYER-REFRESH-V48R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	910	v48r1 machine-layer refresh
nested/asai-worldline-v48r3-source-restored/141-PACKAGE-QA-V48R1-2026-08-26.md	semantic-v48-support	BASE-SUPPORT	cross-domain	1431	v48r1 package QA
