category	item	1940-07-31-state	status_note
CLOCK	China replay	1940-07-31 24:00	CURRENT
CENTRAL_CHINA	Yichang	Japanese-held; forward aviation base operational	13th Division hold burden remains
CENTRAL_CHINA	South-bank heights	Japanese-held after late-June assault	Airfield direct threat substantially reduced
CENTRAL_CHINA	Hankou	Main GT aviation hub / deep maintenance	Still more important than Yichang for sustainment
AIR	E6 Twin Central China	~18 assigned-class planning anchor	Split Hankou/Yichang; ready count lower
AIR	E6 Single Central China	~12 assigned-class planning anchor	Split Hankou/Yichang; ready count lower
AIR	A6M	Small-scale China operational trial begun	Default major air-combat anchor remains 1940-09-13
AIR	E6 irreversible losses in China	Twin 1 write-off recorded through replay	Other temporary groundings/repairs not irreversible
NORTH_CHINA	Wuyuan	Chinese-held	After March temporary seizure/counterattack/withdrawal cycle
SOUTH_CHINA	Nanning	Japanese-held	Stable forward enclave
SOUTH_CHINA	Binyang / Kunlun area	Chinese-held	After February Japanese thrust and withdrawal
MANCHURIA	4th Division	Remains in Manchuria	Historical July 1940 China transfer not used
MANCHURIA	Northern posture	Credible anti-Soviet pressure retained	Kwantung rebuild stronger than historical psychological baseline
POLITICS	Nanjing regime	Exists since 1940-03-30	Rear administration/security/transport support beginning; not field-army equivalent
SUPPLY	French Indochina route	Effectively suppressed	Japanese political pressure successful
SUPPLY	Burma Road	Temporarily closed	Political success but temporary
US	Export controls	Tightening	Aviation gasoline/scrap/strategic export licensing pressure increasing
CCP	Hundred Regiments preparation	Underway, operational scale not yet detected	Next gate
HELICOPTER	Combat contribution	0	H1 development only; H2 not yet free-flying
