topic	current_authority	intent_guard	status
package restart	00-START-HERE-CURRENT.md	read V9 control plane first; older START-HERE files are provenance	CURRENT-HIGHEST
machine current state	PACKAGE-STATE-V9.tsv	machine-readable cross-check of theater clocks, next gate and current pointers; narrative authority remains the referenced V9 files	CURRENT-HIGH
simulation method	10-CURRENT-1937-1938/01-METHOD-AND-CAUSAL-GUARD-V7.md	difference-led, physical constraints, no ghosts, enemy feedback; retained unless later authority narrows it	RETAINED-FALLBACK
terminology / supersession	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv	global no-backflow and identity/adoption/double-count guard; use before V7 decision-intent fallback	CURRENT-HIGH
capability preflight	50-CURRENT-1939-1941-AIRPOWER-AUDIT/00A-MANDATORY-CHEAT-CAPABILITY-PREFLIGHT-CANON-V8.md	mandatory before capability changes; historical dates are not capability ceilings	CURRENT-HIGH
state machine / replay semantics	50-CURRENT-1939-1941-AIRPOWER-AUDIT/10-HANDOFF-STATE-MACHINE-CANON-V8.md	retain rollback/replay/open-state semantics unless V9 explicitly supersedes	CURRENT-HIGH
historical designation identity	50-CURRENT-1939-1941-AIRPOWER-AUDIT/50-HISTORICAL-DESIGNATION-NOT-IDENTICAL-HARDWARE-GUARD-V8.md	same designation does not authorize copying historical hardware/performance/ready rate	CURRENT-HIGH
China current replay state	70-CURRENT-2026-09-05-SESSION-CLOSE/08A-CHINA-1939-06-20-STATE-V9.tsv	current China checkpoint is 1939-06-20 24:00	CURRENT-HIGHEST
China next gate	70-CURRENT-2026-09-05-SESSION-CLOSE/09-NEXT-GATE-SWATOW-1939-06-21-V9.md	resume at 1939-06-21 Shantou/Swatow with concurrent Wutaishan phase-4 close and Guangdong security-gap reaction	CURRENT-HIGHEST
China cross-theater allocation	70-CURRENT-2026-09-05-SESSION-CLOSE/07-CHINA-CROSS-THEATER-ALLOCATION-GUARD-V9.md	historical China baseline already contains historical northward drains; apply only proven worldline-only extra drain; saved Nomonhan capital is not an instant China plus	CURRENT-HIGHEST
China Apr20-Jun20 catch-up	70-CURRENT-2026-09-05-SESSION-CLOSE/08-CHINA-CATCHUP-1939-04-20-06-20-V9.md	Suixian-Zaoyang and May25-Jun20 closure are already backfilled; do not replay them as missing events	CURRENT-HIGH
Nomonhan campaign outcome	70-CURRENT-2026-09-05-SESSION-CLOSE/01-NOMONHAN-CLOSURE-CANON-V9.md	combat branch closed through Aug31 stabilization/central stop; do not auto-copy historical Aug22-31 pocket annihilation	CURRENT-HIGHEST
Nomonhan terminal losses	70-CURRENT-2026-09-05-SESSION-CLOSE/02-NOMONHAN-LOSS-LEDGER-V9.tsv	campaign terminal working loss ledger	CURRENT-HIGH
Nomonhan air / EX2 / special ammo narrative	70-CURRENT-2026-09-05-SESSION-CLOSE/03-NOMONHAN-AIR-SPECIAL-AMMO-CORRECTION-V9.md	Soviet air superiority is not total suppression; Ki-27 EX2 adoption is absorbing; Aug19 AT37/TANK37 issue basis superseded to 912/288 working centers	CURRENT-HIGH
Nomonhan air / EX2 / special ammo ledger	70-CURRENT-2026-09-05-SESSION-CLOSE/03A-NOMONHAN-AIR-SPECIAL-AMMO-WORKING-V9.tsv	machine-readable working values supporting file 03	CURRENT-HIGH
Nomonhan replacement pipeline narrative	70-CURRENT-2026-09-05-SESSION-CLOSE/04-NOMONHAN-REINFORCEMENT-PIPELINE-V9.md	avoid China double count; saved replacement pressure first remains Home/Manchuria/central	CURRENT-HIGH
Nomonhan replacement pipeline ledger	70-CURRENT-2026-09-05-SESSION-CLOSE/04A-NOMONHAN-REINFORCEMENT-PIPELINE-V9.tsv	machine-readable working replacement/saved-pool ledger supporting file 04	CURRENT-HIGH
Nomonhan actor lessons / Soviet threat	70-CURRENT-2026-09-05-SESSION-CLOSE/05-NOMONHAN-ACTOR-LESSONS-THREAT-ESTIMATE-V9.md	postbattle interpretation authority; do not substitute generic Soviet incompetence or Japanese magic multiplier	CURRENT-HIGH
