case	kind	TIT_C	bleed_pct	flow_kg_s	bpr	fpr	thrust_kgf	tsfc_kg_kgfh	fuel_kg_h	fan_power_kW	free_turbine_power_kW
E5-J-Q-nonNi-765	pure-J	765	4.0	8.4			426.10954725534054	0.8376795441507859	356.94325130315144		
E5-J-N-nonNi-800	pure-J	800	6.0	8.4			451.4076210333318	0.8265563575458889	373.1138390097657		
E5-J-Ni-800-life-hot-high	pure-J	800	4.0	8.4			450.8418786975788	0.845201941820337	381.05243132912244		
E5-J-M-selected-Ni-830-short-shadow	pure-J	830	4.0	8.4			471.2931274235244	0.8523728002911316	401.71744277995464		
E5-JF-Q-BPR-0.8	aft-fan	765	4.0	8.4	0.8	1.3	506.1721618725867	0.7051815137020533	356.94325130315144	189.25779332004598	195.11112713406803
E5-JF-Q-BPR-0.9	aft-fan	765	4.0	8.4	0.9	1.3	515.7032760590704	0.6921485045254318	356.94325130315144	212.91501748505172	219.50001802582653
E5-JF-Q-BPR-1.0	aft-fan	765	4.0	8.4	1.0	1.3	525.1097853356896	0.6797497614236355	356.94325130315144	236.57224165005746	243.888908917585
E5-JF-N-BPR-0.8	aft-fan	800	6.0	8.4	0.8	1.3	532.567727739535	0.7005941584057942	373.1138390097657	189.25779332004598	195.11112713406803
E5-JF-N-BPR-0.9	aft-fan	800	6.0	8.4	0.9	1.3	542.540467598018	0.6877161452336403	373.1138390097657	212.91501748505172	219.50001802582653
E5-JF-N-BPR-1.0	aft-fan	800	6.0	8.4	1.0	1.3	552.4118703995098	0.6754269033718012	373.1138390097657	236.57224165005746	243.888908917585
