domain	item	date_or_variant	fcs_state	historical_hardware_anchor	worldline_delta	allowed_effect	forbidden_inference	adoption_state	cross_reference	confidence
AIR-GENERAL	fixed forward aircraft guns	1937-45	FCS1 default when Asai-exposed production/support is established	historical sight/gun/caliber retained	optical acceptance; boresight; mount/alignment; sync; ammo-lot QC; re-zero workflow	fewer systematic alignment failures / more repeatable first burst	no generic hit-rate or kill multiplier; no terminal-effect change	TYPE/LOT/UNIT adoption still local	47;50;51	A
ARMY-AIR	Ki-27 Type 97 fighter	1939-05/06 Nomonhan	FCS1	Type 89 telescopic sight retained	boresight/optical/mount/sync/ammo-lot/maintenance re-zero improved	small gunnery-quality gain when geometry already favorable	NO blanket reflector sight; NO gyro lead; NO fixed +kill%	CLOSED through 1939-06-27	47;49;50;51	A
ARMY-AIR	Ki-27 reflector-sight retrofit	through 1939-06-27	FCS2 candidate only	historical Army telescopic installation current	industrial capability exists but unit retrofit/adoption not closed	none in current replay	do not infer Navy reflector-sight capability -> Army fleet retrofit	NOT ADOPTED / OPEN future gate	51	A
ARMY-AIR	Ki-30 Type 97 light bomber	1939	FCS1 + limited FCS2 workflow	historical bombsight architecture/airframe station	instrument calibration; ballistic tables; release-delay acceptance; wind/setting cards	well-briefed daylight area bombing concentration +5-10% working band	no future analog computer; no universal CEP/hit-rate multiplier	CLOSED method; unit result event-dependent	47;50;51	A-
ARMY-AIR	Ki-21-I Type 97 heavy bomber	1939	FCS1 + limited FCS2 workflow	historical 1939 bombsight architecture retained	same calibration/table/release workflow improvements as 51	well-briefed daylight area bombing concentration +5-10% working band	do not import Ki-21-II exhaust or future bombing computer	CLOSED method; event-dependent	47;49;50;51	A-
ARMY-AIR	Ki-15-I reconnaissance	1939	FCS1 photo chain	historical camera/sight architecture	lens/camera calibration; distortion correction; metadata/map registration	faster/more repeatable usable target folders	do not count photo-target gain twice as bombsight gain	CLOSED method	47;49;50;51	A
NAVY-AIR	fighter reflector-sight installations	1938-41	FCS1/FCS2 type-dependent	historical fitted reflector sight retained where actually fitted	residual optical/QC/boresight integration	better repeatability/serviceability	do not add full reflector conversion again; no Army auto-transfer	TYPE/LOT gate	50;51	A-
NAVY-AIR	B5N2 torpedo attack	1939-41	FCS1 early; FCS2 when dedicated mechanical lead aid adopted	historical torpedo sight/attack method retained by date	sight calibration; gyro/heading/instrument QC; torpedo envelope tables	reduced systematic attack-setting error	no auto tracking/release; later electrical aids date-gated	DATE/LOT gate	49;50;51;aviation-torpedo parent	A-
NAVY-AIR	D3A1 dive bombing	1940-41	FCS1/FCS2	historical dive sight/release architecture anchor	sight/release calibration; dive-angle/airspeed/drop tables	more repeatable release geometry	no fixed combat hit percentage	TYPE/UNIT gate	50;51	A-
AIR-RECON	photogrammetry / target folders	1938-45	FCS1/FCS2 support	historical cameras and reconnaissance aircraft remain type anchors	lens calibration; distortion correction; stereo/map registration; metadata discipline	shorter photo-to-target-information cycle	do not double-count again as weapon-sight bonus	CLOSED method; capacity event-dependent	51	A
GROUND	Type 94 37 mm infantry rapid-fire gun	1939	FCS1	historical gun/sight retained	zero/bore relation; sight mount; ammo-lot consistency; range tables	first-round/re-zero repeatability improved	penetration unchanged unless ammunition changes; not tank-gun round	CLOSED method	41;50;51	A
GROUND	Type 94 37 mm tank gun / Ha-Go	1939	FCS1	historical tank gun/sight retained	zero/return-to-battery/ammo-lot/crew re-zero QC	repeatability improvement only	complete round not interchangeable with infantry 37 mm; no AP inheritance	CLOSED method	50;51;replay05	A
GROUND	Type 97 Chi-Ha 57 mm	1939	FCS1	historical low-velocity 57 mm and sight retained	sight zero/mount/QC and crew re-zero	better consistency	does not create high-velocity AT performance	CLOSED method	47;50;51	A
GROUND	field artillery fire preparation	1938-45	FCS1/FCS2 support	historical guns remain anchors	ballistic tables; survey/QC; fire-plan processing; communications support where available	shorter/repeatable preparation when observers/met/comms permit	no generic artillery accuracy scalar	LOCAL gate	51	A-
NAVY-SHIP	capital-ship main battery fire control	1938-45	FCS1/FCS2 residual	historical mechanical FC remains strong anchor	stable vertical/servo/switchboard/target designation/reset/QC improvements if adopted	mainly lower delay/re-setting burden	no generic accuracy/ROF/range bonus; local ship audit	LOCAL adoption gate	50;51	A-
NAVY-SHIP	medium-caliber AA fire control	1938-45	FCS2/FCS3 potential	historical director/gun installation date-specific	continuous tracking/angle transmission/fuze-setter/follow-up integration has high potential	lower follow-up/reset delay where weapon mechanism supports	no automatic new gun/director/radar; mount/fuze/feed remain gates	LOCAL adoption gate	50;51	A-
NAVY-SHIP	25 mm-class AA	1939-45	FCS1/FCS2 limited	historical mount/feed/sight limits retained	sight/director/QC improvements possible	some aiming/workflow benefit	calculator cannot erase traverse/elevation/feed/ROF limits	LOCAL adoption gate	50;51	A
NAVY-SHIP	torpedo fire-control	1938-45	FCS1/FCS2	historical launcher/torpedo/director anchors retained	target-motion calculation; gyro-angle setting; transmission/QC	reduced setting/reset error	torpedo hardware/warhead/speed unchanged unless separate card	LOCAL adoption gate	50;51	A-
COMBAT	1939-06-27 Tamsag airfield attack bombing chain	1939-06-27	FCS1 + limited FCS2 workflow	same sortie scale/bombs/attack framework as closed replay	pre-recon target folders; calibration; ballistic/release workflow	+5-8% effective target-area bomb concentration vs matched package; disruption/repair burden favored	do not multiply permanent aircraft destroyed; loss closure unchanged	CLOSED retrospective	51;60/05-06	A-
