old_or_ambiguous_item	V9_ruling	status
V6 current clock 1939-09-01	furthest prior explored only; V9 uses theater-local clocks: CHINA current replay checkpoint 1939-06-20 24:00; NOMONHAN combat CLOSED through 1939-08-31 stabilization/central stop	SUPERSEDED-AS-CURRENT
HOLD_FOR_AVIATION_AUDIT / READY_TO_RESUME_COMBAT_REPLAY	V9 state is CHINA ACTIVE_COMBAT_REPLAY at 1939-06-20 24:00; NOMONHAN CLOSED through 1939-08-31; technical audit remains ON_DEMAND unless a gate explicitly reopens it	SUPERSEDED
Type97 Chi-Ha 180PS continuous/200PS max	200hp continuous/220hp short from later v27 tank parent for ordinary 1938-39 production calculations	SUPERSEDED
post-Nomonhan dense-core AP FIELD VALIDATED	Apr20 proof/range qualification alone must not be back-propagated as field validation; for the Nomonhan 37mm special-ammo branch V8/V9 replay establishes limited release from May29 and combat validation by Jul3; other dense-core applications still require local adoption/field-validation closure	PARTLY-SUPERSEDED
post-Nomonhan flexible spall-liner fitted counts	Apr20 pre-field engineering-ready only; V8 Jun27 and Aug19 replay states keep spall-liner combat fit/forward count at 0; do not create fitted counts without a later explicit adoption/fielding authority	CURRENT-GUARD
E6 Twin/Single/HS-2 later first-flight result	REPLAY2 closes E6 Twin No.1 first airframe flight Apr29 and HS-2 first flight May4; E6 Single remains unflown at May10	PARTLY-SUPERSEDED
historical dates as capability ceilings	forbidden under mandatory cheat/capability preflight	SUPERSEDED-METHOD
Apr20 current checkpoint	historical/company physical restart baseline only; V9 theater-local current states are CHINA 1939-06-20 24:00 and NOMONHAN CLOSED through 1939-08-31 stabilization/central stop	SUPERSEDED-AS-CURRENT
B5N2 historical individual exhaust / E1=0	EXHAUST1 treats historical B5N2 as collector-ring EX0; full ~+4-6 km/h collector-to-thrust-stack shadow restored when anchor is truly EX0	SUPERSEDED
historical individual/thrust exhaust exists -> Asai exhaust delta always zero	use EX0/EX1/EX2/EX3 state differential; EX2 historical anchors retain only EX2->EX3 residual, thermal/life/QC benefits	SUPERSEDED-METHOD
A6M5/J2M2-N1K-Ki84 production historical speed + full collector-to-stack exhaust card	full EX0->EX2 card already consumed in historical EX2 anchor; only residual EX2->EX3 plus other package effects may be added	FORBIDDEN-DOUBLE-COUNT
D4Y/Ki61 + full collector-to-individual exhaust card	DB601-derived installations already start near EX2; only residual exhaust optimization plus separate radiator/heat-recovery card	FORBIDDEN-DOUBLE-COUNT
historical designation/name implies identical worldline hardware	forbidden; resolve ID0-ID5/IDH in 50/50A before copying historical specification, lot mix or ready rate	SUPERSEDED-METHOD
bare A7M / A7M2 interpreted as historical Reppu inside current V8	worldline A7M=Gaifu; historical A7M Reppu is an H-anchor whose worldline designation is A9M; V9 does not change this identity rule	FORBIDDEN-DESIGNATION-CONFLATION
old B6A Aichi Tenzan	B6N Nakajima Tenzan historical lineage restored; B7A Ryusei remains independent Aichi design	SUPERSEDED
old Ki-64 P-47-class single-engine turbo production concept	current Ki-64 is Kawasaki tandem-Ha-40 experimental heavy-fighter lineage; old production concept must not re-enter by name	SUPERSEDED
historical OOB count -> historical configuration/ready-rate copy	retain count only unless replay changes it; resolve worldline lot/config -> serviceable -> forward -> combat separately	FORBIDDEN-METHOD
Asai machinery/QC exists -> existing carrier gets generic shp/knot/range bonus	historical main-plant/hull headline remains anchor unless local ship audit closes redesign/installation; QC mostly changes repeatability/availability	FORBIDDEN-METHOD
~21 kt converted/merchant carrier + GT boost -> fleet carrier	GT boost is only conditional short-duration WOD aid after full intake/exhaust/reducer/shaft/salt/fuel integration; deck/protection/seakeeping/cycle remain	FORBIDDEN-METHOD
carrier historical aircraft capacity -> worldline serviceable/deck-ready/sortie count	separate physical stowage -> embarked -> serviceable -> spotted/deck-ready -> launch/recovery/rearm cycle	FORBIDDEN-METHOD
same Navy aircraft designation -> automatic carrier compatibility	close elevator size/load, hangar clearance, deck strength, arresting loads, deck run and WOD for the actual worldline aircraft state	FORBIDDEN-METHOD
aircraft electronics/radar progress -> automatic shipboard radar/director fit	ship fit, antenna, power, director integration, quantity and doctrine are local adoption gates	FORBIDDEN-METHOD
better pumps/electrical/QC -> automatic USN-style carrier damage control	compartmentation, aviation-fuel layout, fire mains, redundancy, training and doctrine remain separate gates	FORBIDDEN-METHOD
same aircraft/weapon designation -> copy historical hit rate / bombing CEP / fire effect	resolve FCS chain in 51/51A: observation -> sight -> calculation -> boresight/release -> ammo -> crew -> environment; same hardware name may have different realization	FORBIDDEN-METHOD
Asai computation/optics capability -> automatic reflector/gyro sight or bombing computer retrofit	technical capability != adoption; 1939 Ki-27 remains Type89 telescopic in current replay; later/director states need type/lot procurement gate	FORBIDDEN-METHOD
better boresight/QC -> generic projectile penetration or explosive-effect bonus	FCS1 changes alignment/repeatability/lot variance only; penetration/warhead effect belongs to gun/ammunition card	FORBIDDEN-METHOD
better photo target folder + better bombsight workflow counted as one bonus twice	target-information and weapon-aim/release are separate stages; each may be credited once only	FORBIDDEN-DOUBLE-COUNT
1939-06-27 Tamsag bombing workflow = fully historical	FIREOPTICS1 applies +5-8% effective target-area concentration to temporary ground/repair burden; no proportional permanent-aircraft kill bonus	SUPERSEDED-METHOD
V8 terminology/supersession guard omitted from a V9 index -> V8 guard expired	forbidden; V9 explicitly retains V8 technical guards unless superseded. Use TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv as the current consolidated no-backflow guard	FORBIDDEN-METHOD
DECISION-INTENT-INDEX-V7.tsv treated as current decision authority	use DECISION-INTENT-INDEX-V9.tsv first; V7 decision-intent rows are provenance/fallback only where no V8/V9 authority supersedes them	FORBIDDEN-METHOD
China and Nomonhan checkpoints merged into one global combat clock	forbidden; V9 maintains theater-local replay clocks: China active at 1939-06-20 24:00 while Nomonhan is closed through 1939-08-31	FORBIDDEN-METHOD
historical China baseline transfer drain subtracted again as a worldline Nomonhan penalty	forbidden double count; historical China baselines already include historical China-to-Manchuria/Nomonhan transfers; subtract only proven worldline-only additional China-sourced drains	FORBIDDEN-DOUBLE-COUNT
post-Nomonhan saved manpower/equipment -> immediate China bonus	forbidden; saved pool first resides in Home/Manchuria/central reserve and affects China only after an explicit reassignment/allocation event	FORBIDDEN-METHOD
Asai computation capability -> generic +X% weapon/engine/ship performance	forbidden; credit only a named causal channel such as design-space search, test reduction, error separation, integration/QC or schedule; physical qualification/adoption remain separate	FORBIDDEN-METHOD
large central computation machine exists -> same machine installed aboard ship/aircraft	forbidden; fielded computation is dedicated mechanical/electromechanical/electrical/analog equipment with local weight/power/environment/production/adoption gates	FORBIDDEN-METHOD
mechanized cryptanalysis capability -> enemy cipher is readable / operational SIGINT advantage	forbidden; close collection, traffic analysis, cryptanalytic insight/key recovery, throughput, translation, fusion, dissemination and exploitation for the named target/date	FORBIDDEN-METHOD
FCS3 technical capability -> every ship has modernized director/FCS	forbidden; FCS0-FCS4 technical-chain maturity, R0-R3 ship integration depth and ship/class/date adoption are three separate questions	FORBIDDEN-METHOD
R0-R3 integration depth treated as another name for FCS0-FCS4	forbidden; R-level is installation depth, FCS-level is fire-control technical-chain maturity	FORBIDDEN-TERMINOLOGY
70-CURRENT-2026-09-05-SESSION-CLOSE/10-OPEN-ISSUES-V9.tsv treated as exhaustive technical-open list	forbidden; use 71-CURRENT-TECHNICAL-CONTROL-V9/02-TECHNICAL-ISSUE-REGISTER-V9.tsv for technical OPEN/CLOSED status	FORBIDDEN-METHOD
old nested computation master index used as current technical router	use 71-CURRENT-TECHNICAL-CONTROL-V9/01-TECHNICAL-DISCUSSION-INDEX-V9.tsv; old master is provenance only	SUPERSEDED-AS-ROUTER
99-SUPPORT-CURRENT copy of computation/naval parent treated as current solely because its internal title says current authority	use promoted 71/90-RETAINED-PARENTS copy plus V9 technical index; later local V8/V9 canon controls conflicts	SUPERSEDED-AS-ROUTING
