key	value	status	authority
PACKAGE_VERSION	V11	CURRENT	00-START-HERE-CURRENT.md
V11_REVISION	AIRCRAFTDEV1 + INDUSTRY1 + QUARANTINE1	CURRENT	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/00-AIRCRAFT-DEVELOPMENT-HANDOFF-V11.md
V11_SCOPE	aircraft development/performance working closure + industrial feasibility + hard quarantine; no combat-clock advance	CLOSED	00-START-HERE-CURRENT.md
CURRENT_INTEGRITY_MANIFEST	FULL-PACKAGE-MANIFEST-SHA256-V11.tsv + SHA256SUMS-V11.txt	CURRENT	MACHINE-INTEGRITY-AUDIT-V11.md
DATAFIX_SCOPE	integrity/provenance metadata only; no worldline fact, OOB, clock, production, equipment-performance, or combat-result change	CLOSED	MACHINE-INTEGRITY-AUDIT-V10.md
CHINA_CLOCK	1939-12-31 24:00	CLOSED	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-CHINA-1939-12-19-31-WINTER-OFFENSIVE-CENTRAL-NORTH-KUNLUN-V2.md
NOMONHAN_CLOCK	1939-08-31 24:00	REVISED-CLOSED	73-CURRENT-NOMONHAN-REVISED-V10/ASAI-NOMONHAN-1939-08-24-31-FINAL-REVISION-V8.md
NEXT_COMBAT_CLOCK	1940-01-01 00:00	HOLD UNTIL WEAPON REVIEW	77-CURRENT-2026-09-07-SESSION-CLOSE/01-NEXT-GATE-1940-WEAPONS-REVIEW-V10.md
E5_OLD_REGULAR_COMBAT_FLEET	~0	SUPERSEDED OLD BASELINE	72-CURRENT-RETRO-AIRPOWER-1938-1939/ASAI-1939-09-17-AIRPOWER-OPENING-RECONCILIATION-V1.md
KI42_OLD_REGULAR_COMBAT_FLEET	0	SUPERSEDED OLD BASELINE	72-CURRENT-RETRO-AIRPOWER-1938-1939/ASAI-1939-09-17-AIRPOWER-OPENING-RECONCILIATION-V1.md
CENTRAL_CHINA_E5_1939-09-17	30 assigned / 23-25 ready	CLOSED	72-CURRENT-RETRO-AIRPOWER-1938-1939/ASAI-1939-09-17-FIRST-CHANGSHA-AIRPOWER-OOB-V1.md
CENTRAL_CHINA_KI42_1939-09-17	20 assigned / 15-17 ready	CLOSED	72-CURRENT-RETRO-AIRPOWER-1938-1939/ASAI-1939-09-17-FIRST-CHANGSHA-AIRPOWER-OOB-V1.md
NOMONHAN_JAPAN_COMBAT_LOSS	~9.6k class; band 9.35-9.85k	REVISED-CLOSED	73-CURRENT-NOMONHAN-REVISED-V10/ASAI-NOMONHAN-1939-08-24-31-FINAL-REVISION-V8.md
NOMONHAN_USSR_MONGOLIA_LOSS	~23.8k class; band 23.4-24.2k	REVISED-CLOSED	73-CURRENT-NOMONHAN-REVISED-V10/ASAI-NOMONHAN-1939-08-24-31-FINAL-REVISION-V8.md
NOMONHAN_TANK_RECOVERABLE	56-59	REVISED-CLOSED	73-CURRENT-NOMONHAN-REVISED-V10/ASAI-NOMONHAN-1939-08-24-31-FINAL-REVISION-V8.md
POST_NOMONHAN_E5_REALLOCATION_CHINA	+8 total (+6 Central +2 North)	CLOSED	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-1939-09-10-31-POST-NOMONHAN-CHINA-REALLOCATION-CLOSEOUT-V2.md
POST_NOMONHAN_KI42_REALLOCATION_CHINA	+6 total (+4 Central +2 North)	CLOSED	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-1939-09-10-31-POST-NOMONHAN-CHINA-REALLOCATION-CLOSEOUT-V2.md
SOVIET_CAUSED_CHINA_DELTA	0	CLOSED	74-CURRENT-CHINA-1939-REPLAY-V10/ASAI-1939-09-10-31-POST-NOMONHAN-CHINA-REALLOCATION-CLOSEOUT-V2.md
CHIHA_1939_WORLDLINE	15.3-15.6t; 200hp continuous / 220hp short; WET1; ~1m ford	CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1939-WET-WEATHER-RIVER-CROSSING-HEAVY-MOBILITY-CHIHA-CLOSEOUT-V1.md
E5_AUX_FUEL	M300 internal + D200x2 external	CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-KI42-AUX-FUEL-DROP-TANK-CLOSEOUT-1937-1939-V1.md
KI42_AUX_FUEL	D130x2 external	CLOSED	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-KI42-AUX-FUEL-DROP-TANK-CLOSEOUT-1937-1939-V1.md
MOBILE_GT_1939-12-31	68-86 field-capable sets	CLOSED-WORKING	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1939-WINTER-GT-COLD-START-HEAT-SUPPORT-CLOSEOUT-V1.md
GT_HEAT_KITS_1939-12-31	40-55	CLOSED-WORKING	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-1939-WINTER-GT-COLD-START-HEAT-SUPPORT-CLOSEOUT-V1.md
1940_WEAPON_LEDGER	planning/appearance only	NEXT-GATE	76-CURRENT-1940-WEAPON-GATE-V10/ASAI-1940-WEAPON-APPEARANCE-FIELDING-LEDGER-V1.md
1940_Q1_WORKING_CLOSEOUT	NOT CURRENT	QUARANTINED	90-PROVENANCE-SUPERSEDED-POST-V9/ASAI-1940-Q1-WORKING-CLOSEOUT.md
TECHNICAL_REVISION	B6NAUDIT1	CURRENT	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-B6N-TENZAN-PISTON-E6ST-E7M-TP-COMPARATIVE-OUTLOOK-1939-1942-V1.md
E6_TWIN_1940_STATUS	JF A service-production main block with concurrent proving; J B specialized service-production; Single A/B separate under E6SINGLE1	REBASED-E6SINGLE1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md
E6_TWIN_1940_PLANNING	144 firm-order class +72 option posture; 120-156 accepted Twin center ~144; JF 85-90%; exact date/month/allocation replay-local	NEXT-GATE-PLANNING	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-COST-PROCUREMENT-REBASELINE-1939-1940-V1.md
E6_D320F	300-350L each; center 320Lx2; flax/hemp-epoxy; ~490-505kg usable fuel/pair; ~42-53kg empty installed pair	TECH-DESIGN-CLOSED-BAND	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-J-JF-PERFORMANCE-FUEL-FRP-REBASELINE-1939-1940-V1.md
E6_TWIN_COST	E5 JF ~184-204kY vs E6 JF ~240-267kY mission-equipped planning bands; E6 whole-aircraft premium ~28-35%	H->A COST REBASE	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-COST-PROCUREMENT-REBASELINE-1939-1940-V1.md
E6_TWIN_PROCUREMENT_POSTURE	144 common Twin firm-order class + 72 option; first 12-24 are lead service-production proving aircraft, not pre-adoption evaluation	NEXT-GATE-PLANNING	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-COST-PROCUREMENT-REBASELINE-1939-1940-V1.md
E6_TWIN_COMMON_CREW	2-seat common airframe for J/JF; J interception may fly rear station empty	CLOSED-E6MISSION1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-MISSION-ARMAMENT-HIGHSPEED-RELEASE-CLOSURE-1939-1940-V1.md
E6_TWIN_MISSION_BAY	~0.40t internal mission load; camera/strike/courier interchangeable near CG	CLOSED-E6MISSION1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-MISSION-ARMAMENT-HIGHSPEED-RELEASE-CLOSURE-1939-1940-V1.md
E6_TWIN_ARMAMENT_ENVELOPE	2x20mm-class +4x7.7mm-class concentrated nose; exact service gun mark local	CLOSED-AIRFRAME-ENVELOPE	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-MISSION-ARMAMENT-HIGHSPEED-RELEASE-CLOSURE-1939-1940-V1.md
E6_HSR_50_100	old 50/100kg shorthand	SUPERSEDED-E6FRPORD1	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-CLOSURE-1939-1940-V1.md
E6_HSC_100F	~96-102kg nominal modular dispersal/harassment carrier; ~12-18kg plant-FRP outer carrier+metal spine; one/two-store recon or up to four-position S4 strike	LATE1939-TECH-1940Q1-SERVICE-GATE	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-FRP-ORDNANCE-CARRIAGE-HIGHSPEED-STORE-CLOSURE-1939-1940-V1.md
