scope	date	function	technical_fcs_band	integration_depth_R	adoption_state	V9_closure	remaining_gate	authority
TAXONOMY	all	integration depth	n/a	R0	DEFINED	calibration/function package	none; taxonomy only	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
TAXONOMY	all	integration depth	n/a	R1	DEFINED	transmitters/wiring/synchronization	none; taxonomy only	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
TAXONOMY	all	integration depth	n/a	R2	DEFINED	directors/AA FCS/switchboard	none; taxonomy only	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
TAXONOMY	all	integration depth	n/a	R3	DEFINED	complete architecture plus structural foundations	none; taxonomy only	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
NAVY-SHIP-GENERAL	1938-45	capital-ship main battery	FCS1/FCS2 residual	LOCAL-UNASSIGNED	LOCAL adoption gate	historical mechanical FC remains strong anchor; main benefit is delay/reset/calibration/integration if adopted	ship/class/date R-level and equipment list	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51A-FIRE-CONTROL-SIGHTING-APPLICATION-LEDGER-V8.tsv
NAVY-SHIP-GENERAL	1938-45	medium-caliber AA	FCS2/FCS3 potential	LOCAL-UNASSIGNED	LOCAL adoption gate	continuous tracking/transmission/fuze-setter/follow-up has high potential	director/gun/date/R-level; mount/fuze/feed capacity	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51A-FIRE-CONTROL-SIGHTING-APPLICATION-LEDGER-V8.tsv
NAVY-SHIP-GENERAL	1939-45	25mm-class AA	FCS1/FCS2 limited	LOCAL-UNASSIGNED	LOCAL adoption gate	aiming/workflow can improve; mount/feed limits remain	specific director/sight fit and R-level	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51A-FIRE-CONTROL-SIGHTING-APPLICATION-LEDGER-V8.tsv
NAVY-SHIP-GENERAL	1938-45	torpedo fire control	FCS1/FCS2	LOCAL-UNASSIGNED	LOCAL adoption gate	target-motion/gyro-angle/transmission/QC can reduce setting/reset error	launcher/director/date/R-level	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51A-FIRE-CONTROL-SIGHTING-APPLICATION-LEDGER-V8.tsv
LARGE-SHIP-TECH	1938-40	dedicated analog/electrical computation module	FCS2/FCS3 technical capability	not an installed-state claim	TECH CAPABILITY ONLY	fixed-function large-ship/AA test modules are technically plausible; not a shipboard general-purpose computer	specific equipment, qualification and adoption	71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md
Akagi/Kaga	1939	ship FCS integration	use function-specific FCS band	SEE-07A	CLOSED-CLASS-BASELINE	see 07A class-specific split: Kaga R1 + selected R2 AA; Akagi R1 + selected R2 AA/target-allocation	individual exception / later refit / specific equipment event	71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv
Soryu/Hiryu	1939	ship FCS integration	use function-specific FCS band	SEE-07A	CLOSED-CLASS-BASELINE	see 07A class-specific split: both R1 general + selected R2; Hiryu later-cycle execution	individual exception / later refit / specific equipment event	71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv
Shokaku class	1939-41	ship FCS integration	use function-specific FCS band	SEE-07A	CLOSED-CLASS-BASELINE	R3 infrastructure at design/build stage; equipment still type/date gated	individual exception / later refit / specific equipment event	71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv
Hosho/Ryujo/small carriers	1939	ship FCS integration	use function-specific FCS band	SEE-07A	CLOSED-CLASS-BASELINE	see 07A split: Hosho R0 + selected R1; Ryujo selected R1	individual exception / later refit / specific equipment event	71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv
Yamato/A-140	1937-41	design-stage FCS/electrical integration	use function-specific FCS band	SEE-07A	CLOSED-CLASS-BASELINE	R3 infrastructure at design/build stage; no operational 1939/radar inference	individual exception / later refit / specific equipment event	71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv
destroyer/cruiser classes	1939	ship FCS integration	use function-specific FCS band	SEE-07A	CLOSED-CLASS-BASELINE	see 07A cohort baselines; modern cohorts generally R1, selected R2 only with actual equipment	individual exception / later refit / specific equipment event	71-CURRENT-TECHNICAL-CONTROL-V9/07A-NAVAL-FCS-CLASS-LEDGER-V9.tsv
shipboard radar/director interface	1939-45	radar-FCS integration	LOCAL	LOCAL-UNASSIGNED	OPEN-LOCAL	aircraft electronics/computation does not auto-install ship radar/director	antenna/power/director/quantity/doctrine/ship fit	TERMINOLOGY-AND-SUPERSESSION-GUARD-V9.tsv
