aircraft	generation_C	propeller	E1_thrust_exhaust	standard_exhaust_turbo	calendar_closure	performance_number_status	status_note
A6M1	STRONG design-origin	3-blade constant-speed from first worldline flight CLOSED	YES design-origin	NO standard	worldline first flight 1939-03-24..26 CLOSED; Q2 measured test event pending	Q2 PHYSICAL-MEASUREMENT EVENT; archived 520-529 REFERENCE only	Z-900N central initial engine; historical H used 2-blade first, branch intentionally does not
D3A1	TRANSITION U2+/U3->U3	3-blade line supply improved; exact installation historical-near	YES modified/prod-development presumption	NO	H first flight 1938-01-06 unchanged; technical release Oct/early-Nov 1939; formal order target 1939-11-15..12-01	E1 old +4.4..6.4 = C shadow	physical dive/stability service trials retained; exact future order day event-dependent
B5N1/B5N2	TRANSITION; B5N2 re-engine strong integration	production supply improved	B5N2 historical baseline already individual/straight stacks; optimize only	NO	no large B5N1 change; B5N2 integration may tighten weeks but formal event remains 1939	default E1 delta = 0; old +4.3..6.2 C shadow retired	historical B5N2 E1 architecture closes exhaust ambiguity
Ki-21	TRANSITION	production supply improved	1939 new-build trial; H2 target if pass	NO standard	production calendar near historical; QC/ramp faster	old +5.9..9.0 = C shadow	late historical family proves concept
Ki-30	TRANSITION	historical-near	selected trial/overhaul only	NO	first flight/adoption unchanged	no hard E1 credit	production/QC effect dominates
Ki-43	STRONG structured candidate loop	P1 3-blade/constant-speed comparison in development series; not auto-adopted	YES development-series/production target	NO	first 3 prototypes Jan-Feb-Mar 1939 retained; redesign subcycle -25..35%	archived 503-508 REFERENCE only	pilot handling remains physical gate
Ki-44	STRONG design-origin	3-blade variable-pitch geometry CLOSED; CS/governor optimization comparison	YES design-origin	NO standard	H first flight Aug-1940; worldline target Jul-Aug 1940; <=3..6wk lead	archived 597-601 not measured	600-km/h-class requirement is historical, not Asai-generated
Ki-45	U3 project	comparison on Ha-25 redesigned nacelle	YES on Ha-25 redesign	NO	Jan-1939 failed prototypes retained; Ha-25 branch authorize Q3-1939; flight target Q4-1939..Q1-1940	no closed speed	key acceleration is earlier branch decision, not magic Ha-20 improvement
Ki-46	STRONG design-origin	high-priority constant-speed installation	YES first/earliest prototype	PARALLEL EXPERIMENTAL branch MANDATORY	first-flight target late-Oct..early-Nov 1939; conventional #1 first; turbo comparison branch proceeds regardless	CONVENTIONAL + TURBO PHYSICAL-MEASUREMENT EVENTS; E1 expectation ~8..12 km/h B-calibration	turbo provisions designed in; exact conventional/turbo performance remains physical-test event
Ki-48	U3 project	3-blade Hamilton-family supply/ramp improved	YES preproduction/production target	NO standard	H first flight Jul-1939 CLOSED; worldline target late-Jun..first-half-Jul; flutter fix target Sep-Oct; production authorization target Oct-Nov	old +5.7..8.7 = C shadow	May date rejected as outlier; flutter remains physical detection gate
Ki-49	STRONG design-origin	constant-speed pulled into early prototype/preproduction evaluation	YES comparison	NO standard	H first flight Aug-1939; worldline target late-Jul..Aug; <=2..3wk lead	FUTURE PHYSICAL-MEASUREMENT EVENT; no prewritten speed	self-sealing tanks/armor historical requirement; exact future day event-dependent
Ki-51	STRONG design-origin	3-blade Hamilton-family supply/ramp improved	YES service-trial/series target	NO	first prototype target late-May..early-Jun; second Jul..early-Aug; future physical events	no hard E1 km/h	6mm armor moved one stage earlier
Ki-55	DERIVATIVE U2+/U3	inherit/evaluate only	inherit/evaluate only	NO	H first flight Sep-1939 CLOSED; worldline target late-Aug..early-Sep; <=2..3wk lead	no hard speed delta	derivative; production/QC effect dominates
Ki-15-II	TRANSITION/high-value recon	historical-near	YES later new-build from 1938	NO standard	trial/adoption folded into 1938 install revision	no hard speed delta	contributor to existing recon quality edge
G4M	STRONG design-origin	3-blade variable/constant-speed normal high-value installation	YES design-origin likely production target	NO standard	H first flight 1939-10-23; worldline target 1939-10-02..16	FUTURE PHYSICAL-MEASUREMENT EVENT; no prewritten speed	range/protection Pareto quantified but Navy requirement not overridden
D4Y	STRONG Navy-Air-Arsenal project	3-blade constant-speed metal propeller CLOSED geometry/system	YES mandatory comparison	NO standard	H first flight Dec-1940; worldline target Oct-Nov 1940; post-detection flutter fix -3..6mo planning	no hard speed delta	liquid-cooling E2/radiator integration explicit; physical dive/flutter gate retained
H8K	Navy-supported U3	multi-engine prop system physical gate	E1 evaluate	NO standard	H first flight Jan-1941; worldline target Dec-1940..Jan-1941; hull-fix -4..8wk after detection	no hard speed delta	hydrodynamic hull problem cannot be computed away
E13A	Aichi U3-ish via Navy	production supply effect later	E1 not priority closure	NO	post-second-E13K-loss: sole production-development candidate unless own tests fail; technical selection Q4-1939..Q1-1940; formal adoption target Q2-Q3 1940	no hard speed delta	production engineering may begin H2-1939 after competitor removal
J1N1	STRONG Nakajima but requirement-conflicted	3-blade constant-speed handed/opposite-rotating pair CLOSED	YES mandatory design comparison; preferred if thermal/maintenance pass	NO standard	no prewritten early cancellation; constrain sunk-cost until flight evidence	no hard performance delta	C flags Pareto conflict; original escort prototype still requires flight evidence; no turbo standard
Ki-57	DERIVATIVE	production/commonality effect	low-priority evaluate	NO	H first flight Jul-1940; worldline target Jun-Jul 1940; <=2..4wk lead	no hard speed delta	logistics/training multiplier, not performance showcase
