domain	item	historical_1937_summer	historical_note	current_branch_effect	performance_delta	production_development_delta	status	next_audit
陸軍・車両	軍用重6×4貨物車	量産・実戦配備	1930年代半ばに軍用ディーゼル化が進む。史実諸型の性能幅は大きい	浅井低圧ターボを1934–37に量産横展開。1937年新造装着の主力用途	大。既存70hp級なら80–90hp級を目安。高地・積載・登坂の持続出力差が実用上大きい	史実より過給車が明確に多い。1937年率で重車両全体250–330基程度のターボ新造装着枠の一部	CLOSED-DIRECTION	型式別生産数・配備先をcrosswalk
陸軍・車両	九二式5t/8t・九五式13t級牽引車	量産・配備	砲兵機械化の既存系列	低圧ターボ、冷却・吸気・QCを優先投入	大。+15–25%級の持続出力余地。最高速より牽引・登坂・高温高地で効く	史実より稼働率・牽引能力と台数立上げが有利	CLOSED-DIRECTION	型式ごとの史実台数、浅井ターボ装着率
陸軍・車両	九二式/九四式系回収・工作・特殊車	少量	各種支援車は存在するが系譜が散在	過給ディーゼル・電源・工具を載せやすい最重要波及先	中～大。牽引余力・現場電力・工具能力	台数が少なくても作戦効果が大きい	OPEN-HOLE	1937年の史実回収/工作車を型式別に洗う
陸軍・車両	通信・指揮車	少量～拡大	無線車・発電装備は史実にも存在	浅井カード/電装/移動電源/過給車両の交点	中。通信そのものより電源安定・車両機動力	支援装備として史実より早く「まとまったシステム」化し得る	OPEN-HOLE	史実無線車とのcrosswalk
陸軍・車両	小GT移動電源車	史実に同型なし	野戦発電機・発電車という用途自体は既知	1937夏までに数十～100数十kWe級を少数実用化・限定納入	大。用途既知だが出力重量比・起動性が新しい	5–12セット/年working。大型E4可搬0–3	CLOSED-DIRECTION	車体、出力帯、配備先を確定
陸軍・戦車	八九式中戦車乙型	量産後期/既存戦力	ディーゼル化済み。1930年代後半には旧式化開始	浅井は材料/QC/工具で補助。大改造しない	小	史実台数ほぼ維持	HOLD-HISTORICAL	過給retrofitを安易に入れない
陸軍・戦車	九四式軽装甲車 TK	1935–37に大量	史実で823両級、主に1935–37製造	工具・ゲージ・ディーゼル品質の間接恩恵。過給標準化はしない	小	史実に近い。むしろ量産ばらつき/故障率が少し改善し得る	HOLD-HISTORICAL	生産工場別QC影響
陸軍・戦車	九五式軽戦車 ハ号	低率量産	1936年31両、量産本格化は1938以後	120hp級NAディーゼル本流を維持。工具/QC/冷却改善のみ	小。最高速等は史実級	1937夏の台数を大幅前倒ししない	HOLD-HISTORICAL	1937実生産台数の確定
陸軍・戦車	九七式中戦車 チハ	試作/選定	第二次試作が1937年6月。量産景観は1938以後	三菱V12＋浅井低圧ターボ/吸気。180PS常用/200PS最大、約700Nm、39–40km/h	明確。史実170hp級に対し常用+約6%、最大+約18%。旧200/220設定はSUPERSEDED	1937夏は量産準備。現物が大量に前線にいるのは不可。1938から量産	CLOSED	1938の実生産立上げを別監査
陸軍・戦車	九七式軽装甲車 テケ	試作初期	改良試作が1937年11月、量産は1938	1937夏に浅井効果で完成品を前倒ししない	なし～小	夏時点0量産。1938量産時にディーゼルQC恩恵はあり得る	HOLD-HISTORICAL	1938以後の過給必要性
陸軍・火砲	九四式37mm速射砲	量産	1936頃から生産/配備	特殊鋼・工具・ゲージで量産歩留りと砲身/閉鎖機再現性に恩恵。1937には天然Uを主、W系を照合/backupとする高密度芯special APの限定戦備化が可能。	通常APの弾道は史実級。special APだけは短距離対装甲性能が明確に上がり得るが、具体貫徹mmは実射監査までOPEN	量産立上げが幾分滑らかでも制式時期は維持。高密度弾材の1937軍配賦はU 1.5–3t/年、W系0.5–1.5t-W eq/年の全体枠から供給。九四式37mmが最優先候補。	CLOSED-DIRECTION	砲内弾道・弾芯質量・距離/傾斜別の実射貫徹、1937戦備弾数を算定
陸軍・火砲	九六式十五糎榴弾砲	量産開始	1936採用・同年から大阪造兵廠で生産	計算、砲身材、熱処理、ゲージ、加工で工程安定	小。基本弾道は史実	1937夏には史実同様に新鋭重砲として少数～増加中。早期増産余地あり	LIKELY	1936–37年産数
陸軍・火砲	九六式二十四糎榴弾砲	試作/評価問題	1936注文後、散布界/射程不一致問題で少数に止まったとされる	浅井計算・計測・砲身加工・装薬品質管理が真正面から刺さる	未知だが潜在的に大。製造散布なら救済、設計起因なら早期中止	史実8門程度という枝を変え得るため要監査	HIGH-OPEN	散布界原因を設計/弾薬/加工/砲床に分解
陸軍・迫撃	九六式十五糎迫撃砲	採用直後	1936採用の重迫撃砲系列	工具・ゲージ・鋼材で製造安定	小	少量。大幅前倒し不要	AUDIT	正確な年産/後継九七式との関係
陸軍・迫撃	九七式81mm迫撃砲	制式化境界	1937式だが1937夏の量産状態は資料差	単純兵器なので浅井QCの量産効果は入り得る	小	複雑航空機より前倒ししやすい候補だが未確定	HIGH-OPEN	採用月/工廠/1937年産数
