file	primary_layer	secondary_layers	split_required	frontmatter_status	frontmatter_revision	bytes	sha256	legacy_source	rationale
00_常時コンテキスト_研究規約と正本索引.md	REFERENCE	CORE,TECH,PREWAR,WARTIME	True	active		72213	64e3f544a620016e6bd7c096cd4d80ae86f18f31b94c84c88c924601ae4fd490	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/00_常時コンテキスト_研究規約と正本索引.md	Cross-cutting rules/index; should be decomposed, not retained as monolithic runtime context.
100_資料庫_2026-08-14_連合海運・護衛波及監査_Efate前.md	WARTIME		False	active	2026-08-14-r1	3417	dbb06db568190ed79216e6fab9e36670605ff64fb565f195edd51792d354453d	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/100_資料庫_2026-08-14_連合海運・護衛波及監査_Efate前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
101_資料庫_2026-08-14_欧州日程波及再監査_Efate前.md	WARTIME		False	active	2026-08-14-r1	3201	264a850ff83163e187774a9b9bd2f12589b71f302b84b36a01e60bb38c99b30b	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/101_資料庫_2026-08-14_欧州日程波及再監査_Efate前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
102_資料庫_2026-08-14_Efate無力化作戦確定_第二次Midway再接続前.md	WARTIME		False	active	2026-08-14-r1	3216	d806ac5678d980a90c4d50bb63093b6764836fc5a838486280aa823b50e4a440	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/102_資料庫_2026-08-14_Efate無力化作戦確定_第二次Midway再接続前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
103_資料庫_2026-08-14_第二次Midway再計算確定_GALVANIC再監査前.md	WARTIME		False	active	2026-08-14-r1	3101	1f2a8e8dadfd968bf7a2f92041b70d800e1671ac0aee0a1133551b18d76e9afa	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/103_資料庫_2026-08-14_第二次Midway再計算確定_GALVANIC再監査前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
104_資料庫_2026-08-14_水上艦個艦再注入確定_GALVANIC再監査起点.md	WARTIME		False	active	2026-08-14-r1	2750	f380536f581e290be6052b5f45aeab4d7f2547e0dc612a5f090c8bca7bbe4a22	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/104_資料庫_2026-08-14_水上艦個艦再注入確定_GALVANIC再監査起点.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
105_資料庫_2026-08-14_GALVANIC水上艦・兵站再監査確定_Marshall再計算前.md	WARTIME		False	active		3130	7827d1234b6af9c99c96c99917a04c56c728cfc029c118819790212e0d318f11	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/105_資料庫_2026-08-14_GALVANIC水上艦・兵站再監査確定_Marshall再計算前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
106_資料庫_2026-08-14_現在地差分確認_Marshall再計算初期条件確定.md	WARTIME		False	active		1876	fa94dddad8c24569f5719bded7ac95672cb792471e6a6afbf861bb6873c18732	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/106_資料庫_2026-08-14_現在地差分確認_Marshall再計算初期条件確定.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
107_資料庫_2026-08-14_Marshall再監査確定_Truk再監査前.md	WARTIME		False	superseded		2388	e76530cc965a0444f3faf39d69070c0fc18486b50810db77cbd84f2349d91475	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/107_資料庫_2026-08-14_Marshall再監査確定_Truk再監査前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
108_資料庫_2026-08-14_Truk・Eniwetok確定_Palau再監査前.md	WARTIME		False	active		3239	257eaed4c6a651458cf6bf49a2e4a9fedb918460569b77b60136fe9bd507a121	99_LEGACY_UNTOUCHED/計算機異聞_1941開戦巻戻し_再生産_v004_2026-08-18/90_完全一式_原典スナップショット/計算機異聞_1941開戦巻戻し_完全一式_2026-08-16/03_検討資料_設定正本/108_資料庫_2026-08-14_Truk・Eniwetok確定_Palau再監査前.md	Post-opening history, campaign, wartime force ledger, or checkpoint/handoff.
