service	item	period_or_variant	identity_class	historical_anchor_retained	worldline_difference	historical_data_rule	cross_reference	confidence
NAVY	A7M (worldline Gaifu)	1940-41+	ID5	none: historical A7M code belongs to Reppu	A7M is worldline carrier turboprop fighter Gaifu	NEVER copy historical A7M1/A7M2 Reppu specs into worldline A7M	50; naming map	A
NAVY	historical A7M1/A7M2 Reppu -> worldline A9M	1942+ comparison/procurement	ID5;IDH	historical Reppu airframe/engine anchors	designation shifted to A9M if lineage is adopted	write historical A7M Reppu (worldline A9M); H-anchor only until local rebaseline	08;15;50	A
NAVY	A8N Sakufu	1940-41+	ID5	no direct historical same-aircraft hardware	worldline carrier jet fighter	do not inherit A8V1 or historical A7M data from numeric similarity	50; naming map	A
NAVY	J2N Hekireki	1941+	ID5	none	worldline twin-jet local fighter/interceptor	do not map to J2M Raiden; separate design/propulsion	50; naming map	A
NAVY	B6N Tenzan	1943+	ID0;ID4	historical Nakajima lineage retained	exhaust maturity can be earlier in worldline	old B6A Aichi Tenzan is superseded; use B6N variant state	49/49A;50	A
NAVY	B7A Ryusei	1942+	ID0;IDH	historical independent Aichi integrated attack design	Homare realization/QC and EX2->EX3 residual can differ	not a B6N derivative; historical production exhaust is near EX2	49/49A;50	B+
NAVY	A6M1 / 12-Shi	1939 prototype	ID1;ID2	basic mission/lineage	Z-900N path; 3-blade constant-speed from first flight; design-origin thrust exhaust; test integration	historical A6M1 full configuration/spec sheet not copyable	47;50	A
NAVY	A6M2	1940 production	ID1;ID2;ID3	basic Zero airframe/mission lineage	A0 propulsion/prop/exhaust/cooling/test/QC integration	use local Zero A0 rebaseline; historical speed is H anchor only	49/49A;50	A
NAVY	A5M4	late production/overhaul	ID4	basic historical fighter	selected EX2 new-build/overhaul plus QC	lot/date required; no blanket fleet retrofit	49A;50	B
NAVY	B5N2	1939-41	ID1;ID4	basic historical attack aircraft	historical working EX0 collector; progressive worldline EX2	old E1=0 superseded; lot/date required	49/49A;50	B+
NAVY	D3A1	1940+	ID1;ID4	basic historical dive bomber	progressive EX2 plus QC	early/late lot required; fixed-gear drag limits speed effect	49A;50	B
NAVY	G3M2	1939-40+	ID1;ID2;ID3;ID4	basic historical bomber	EX2 new build/major overhaul; matching/QC/serviceability	historical counts usable; configuration/ready rate not automatic	47;49A;50	B
NAVY	H6K4	legacy fleet	ID2;ID3	headline configuration mostly historical	QC/support; retrofit economics weak	do not blanket retrofit or copy historical ready rate	47;49A;50	B
NAVY	H6K5	engine-change variant	ID1;ID4	historical lineage	EX2 can enter at engine-installation change	variant/lot gate required	49A;50	B
NAVY	E13A	early production	ID1;ID4	historical float reconnaissance lineage	worldline EX2/EX3 can appear from early production vs historical later individual stacks	historical late EX2 is catch-up evidence not additive card	49A;50	B+
NAVY	F1M2	1940+	ID1;ID4	historical observation floatplane	later new-build EX2 possible; low priority	no blanket retrofit/speed card	49A;50	B-
NAVY	G4M1	1941 early production	ID1;ID2;ID3	historical airframe/mission lineage	worldline production EX2/EX3 plus installation/QC	match weight/state; historical late-EX2 speed cannot receive full card	49A;50	A-
NAVY	J1N1	1941+	ID1;ID2	historical early lineage	worldline EX2 then EX3 from new nacelle design	historical J1N1-S EX2 anchor gets residual only	49A;50	B+
NAVY	B6N1	prototype/early	ID1;ID4	historical variant	worldline can adopt EX2 before historical B6N2 transition	variant-specific; do not use B6N2 full data	49A;50	B+
NAVY	B6N2	production	ID2;IDH	historical EX2 multiple rearward stubs	EX3 residual/QC	full B6N1 collector-to-stack card prohibited	49A;50	A-
NAVY	P1Y1	production	ID1;ID2;IDH	historical production individual-stack lineage	worldline mature EX3 can arrive earlier; Homare/QC differs	production historical EX2 gets residual only	49A;50	B+
NAVY	J2M1	prototype	ID4	historical early prototype lineage	worldline mature exhaust comparison can occur earlier	full EX0->EX2 only versus J2M1-like anchor	49A;50	B+
NAVY	J2M2/3	production	ID2;IDH	historical EX2 thrust augmentation	EX3 residual plus Kasei installation/QC	historical speed already consumes full exhaust card	49A;50	A
NAVY	N1K1-J	production	ID2;IDH	historical individual stacks/airframe lineage	EX3 residual; Homare realization/QC major	no full collector card	49A;50	A-
NAVY	N1K2-J	production	ID2;IDH	mature historical EX2	EX3 residual; Homare/cooling/QC major	historical 595-class anchor does not get full exhaust card	49A;50	A
NAVY	H8K	production	ID2;IDH	historical separate stacks/manifolds near EX1/2	EX3 direction/backpressure/cooling/life	full collector-to-stack shadow prohibited	49A;50	B+
NAVY	D4Y	production	ID1;ID2;IDH	DB601/Atsuta-derived individual stacks near EX2	EX3 residual plus separate radiator/heat recovery	collector-to-stack card prohibited; Meredith separate	49A;50	A-
NAVY	A6M5	production	ID2;IDH	historical EX2	EX3 residual/QC	do not repeat A6M2 full exhaust card	49A;50	A
