item	old_or_superseded	current_rule	authority
E5/Ki-42 old OOB	Old V8/V9 had only tiny evaluation populations	Retro branch has large operational fleets from 1938-39; near-pure operational OOB addition vs OLD	72/...AIRPOWER-OPENING-RECONCILIATION-V1.md
Old Ki40 JF x2 Nomonhan recon	Old special-recon effect	REPLACED by persistent E5 system; do not stack	73/...05-11-06-30...V2.md
Post-Nomonhan E5/Ki-42 return wording	RETURN-CLOSEOUT-V1	Use REALLOCATION-CLOSEOUT-V2; China fleets already existed	74/...REALLOCATION-CLOSEOUT-V2.md
Ki-42 Changsha opening	implicitly backgrounded/omitted in bad handoff wording	Central China 20 assigned, ~15-17 ready at 1939-09-17	72/...FIRST-CHANGSHA-AIRPOWER-OOB-V1.md
E5 Changsha opening	implicitly backgrounded/omitted in bad handoff wording	Central Army 30 assigned ~23-25 ready; Navy East/Central 12 assigned ~9-10 ready	72/...FIRST-CHANGSHA-AIRPOWER-OOB-V1.md
1940-Q1 working closeout	working continuity draft based on stale small E5/Ki42 fleet volumes	NOT CURRENT; quarantined in provenance	90-PROVENANCE-SUPERSEDED-POST-V9/ASAI-1940-Q1-WORKING-CLOSEOUT.md
1940 combat clock	not advanced	Stop at 1939-12-31; weapon appearance ledger is planning only	76/...WEAPON-APPEARANCE-FIELDING-LEDGER-V1.md
Cross-theater ledger V1	uses RETURN flow label	V2 uses REALLOCATION and preserves pre-existing China E5/Ki42 fleets	74/...CROSS-THEATER-LEDGER-V2.tsv
V10 audit file-count semantics	DATAFIX1 base had all_files_pre_manifest mislabeled	DATAFIX1 base was 763 manifest targets / 765 final / 762 inventory rows; later technical revisions legitimately add files, so use current MACHINE-INTEGRITY-AUDIT-V10 for live counts	MACHINE-INTEGRITY-AUDIT-V10.json / MACHINE-INTEGRITY-AUDIT-V10.md
V8 package inventory finality	PACKAGE-INVENTORY-V8.tsv can be read as the final V8 inventory	Treat as an intermediate provenance snapshot: 7 late content entries are absent and 4 byte counts are stale; use the V8 SHA256 manifest as V8 snapshot authority	FULL-PACKAGE-MANIFEST-SHA256-V8.tsv / MACHINE-INTEGRITY-AUDIT-V10.md
V8 PACKAGE-STATE manifest drift	V8 manifest records PACKAGE-STATE-V8.tsv at 12311 bytes / a5ff1375...	Preserve later 12310-byte ca71d871... artifact; V9 and V10 manifests explicitly accept ca71d871..., so do not back-edit it to the older V8 snapshot hash	FULL-PACKAGE-MANIFEST-SHA256-V9.tsv / FULL-PACKAGE-MANIFEST-SHA256-V10.tsv
Historical CURRENT alias hashes	V8/V9 manifest hashes of 00-START-HERE-CURRENT.md treated as timeless	00-START-HERE-CURRENT.md is mutable by design; V8/V9 snapshot hashes are expected to fail after V10 advance; validate current alias with V10 manifest only	FULL-PACKAGE-MANIFEST-SHA256-V10.tsv
V7 retreat-interdiction provenance hash	V7 manifest records pre-STATEFIX1 hash of 40-RESEARCH-AND-OPEN-ISSUES/00-HARD-OPEN-RETREAT-AIR-INTERDICTION-V7.md	Preserve the later V8 STATEFIX1 version; its mutation is explicitly intentional and does not constitute V10 corruption	MACHINE-INTEGRITY-AUDIT-V8-STATEFIX1.json / MACHINE-INTEGRITY-AUDIT-V8-STATEFIX1.md
E6 Twin 1940 pilot-only procurement	E6REBASE1 used 36-60 accepted / center ~48 / JF 75-85%	Cost/capacity + E5 procurement precedent rebase to 144 firm-order class + 72 option; 120-156 accepted in 1940 center ~144; JF 85-90%; exact signing/monthly allocation remains replay-local	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-COST-PROCUREMENT-REBASELINE-1939-1940-V1.md
E6 Twin mission/armament open	E6COSTREBASE1 closed cost/procurement but left exact common mission architecture and high-speed release family open	E6MISSION1 closes two-seat common airframe, ~0.40t internal bay, 2x20mm+4x7.7mm-class nose envelope, HSR-50/100 integration and HSC-100F ~100kg harassment container; no 1939 combat backflow	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E6-TWIN-MISSION-ARMAMENT-HIGHSPEED-RELEASE-CLOSURE-1939-1940-V1.md
E5 post-10-May-1939 production omission	Later current files reused the 98-completed 10-May checkpoint as a physical reference without closing the remaining firm order	Residual 44 military airframes complete May-Jul 1939; cumulative 142 program =2 development+140 military accepted by 31 Jul; extra pool remains unallocated unless a dated gate moves it	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md
E5 1940 production open	1940 weapon ledger said separate rebaseline required	Opening military extant center 130; 1940 bridge accepted 30-42 center36; new starts end H1 / Q3 tail WIP only; planning attrition 12-18 center14; year-end stock center ~152	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-ACCUMULATION-CLOSEOUT-V1.md
E5/E6 transition capacity	E5 and E6 quantities could be read as additive independent production lines	Central 1940 shared-contractor acceptance stream holds ~14-17 twin aircraft/month while mix shifts from E5 to E6; E5 36 + E6 144 =180 central accepted	75-CURRENT-TECHNICAL-ADDENDA-V10/ASAI-E5-E6-1940-PRODUCTION-TRANSITION-FLEET-LEDGER-V1.tsv
E6 Single chronology/procurement	May10 checkpoint left aircraft unflown and later V10 kept research-only posture	E6SINGLE1 closes 1939-05-31 first flight, ~750km/h@6km service performance, 96+48 procurement posture and 84-108 1940 acceptance planning	75/...E6-SINGLE-PERFORMANCE-SERVICE-PROCUREMENT-CLOSEOUT-1939-1940-V1.md
