Metric	1937 closeout	1938 H1 CLOSED	Band	Notes
Direct employees	10000	11200	10,800-11,800	War mix + second turbine works + service network
Sales (million yen)	25.3	15.6	14.5-16.8	1938 value is H1; annual run-rate ~31-33m
Operating profit (million yen)	2.75	1.75	1.5-2.0	1938 value is H1
Net profit (million yen)	1.85	1.08	0.9-1.25	1938 value is H1
Capex (million yen)	3.6	2.45	2.2-2.8	1938 value is H1
Assets at period end (million yen)	23.0	27.8	26.5-29.5	June 30 stock
Paid-in capital (million yen)	9.0	10.5	10-11	June 30 stock
Equity ratio	0.61	0.58	0.55-0.61	Capex temporarily raises leverage
Turbo factory completions	1300	760	700-820	1938 is H1 completions
Independent GT cores completed	125	92	82-105	1938 is H1
Flight-grade E5 aviation cores	—	21	18-24	Subset of 92
Military fixed/mobile GT cores	~30-60/y	25	22-30	H1
Civil/industrial GT cores	remainder	46	40-55	H1
