file	bytes	sha256	status
00-NOT-CURRENT-READ-FIRST.md	806	a1115e7f7f263481a029d04d50577caa2395b31ad5bb3d40a4b3e6c48aff2070	NOT-CURRENT
01-SOURCE-ORIGIN.md	337	69774c64b3fe26f3b84b0d4b81985e0d95055e64e4faa97c3da2c5bbe24a1347	NOT-CURRENT
asai-works-jet-carrier-sakufu.md	10563	f7e0c9606b623dd906e6447c4b30642ddd10d1f194bf2110b0010531fe35a58e	NOT-CURRENT
asai-works-jet-hekireki-21.md	6950	2b4853871182b7875c47d05ff800dfa94fafcadada4387d3972c4c3cf18a4515	NOT-CURRENT
asai-works-jet-hekireki-kai.md	8294	126149b55011c9770eea3392147066f3d00ba5ac8142f6a1b2fdfc47d7044923	NOT-CURRENT
asai-works-jet-interceptor-airframe.md	8755	7ad7c77ed773ccfed48dd6ffde34c36ccda26975e8b8454554edd42a6d1c02ad	NOT-CURRENT
asai-works-jet-interceptor-program.md	9489	c3a9c9857f46ef7f8ce15848a292744b7ae314b381b1eb69004eb1035ff7808b	NOT-CURRENT
asai-works-jet-interceptor.md	10779	4a897be4db4119372bbe7de26600f7a4e5f1429ec76e0c1a5b676040e5006614	NOT-CURRENT
asai-works-jet-sakufu-prototype.md	9406	e84a7d5c4dcaf5c5349a7dc5206b6e79e3dd31e37a664452ee53df13bcb600f1	NOT-CURRENT
asai-works-kaifu-11-i0-feasibility.md	5815	12f353e2a442e7a1b9353ef5f7dd379f7c773867fa4210584a4cc5a5b640310b	NOT-CURRENT
asai-works-kaifu-11-requirement-reaudit.md	6671	7b8a09c8c288a71cc94cdf21ca39cb92efe6d32ecab9f251839fe63c017e0439	NOT-CURRENT
asai-works-turboprop-fighter.md	15779	2a7cc15e7ed7042b2c4775c1fccec49e6ca24154ca40d920f32c5e92ea30feb8	NOT-CURRENT
asai-works-turboprop-ki40.md	9177	b64a6981656700817227f1536109047d1678e10c7a8f3329da452e573949fbcc	NOT-CURRENT
