item	first flight / status	end-1937 working	ownership/customer	1937 combat / procurement status
E4 Single No.1	1932 Q2	110-150 flights; 100-140 h	Asai	test asset
E4 Single No.2	1933 Q2-Q3	90-120 flights; 80-110 h	Army-funded	military technical test
E4 Twin No.1	1932 Q4	190-230 flights; 230-280 h	Asai	general demo/test
E4 Twin No.2	1933 Q3	150-190 flights; 210-260 h	Army-funded	North China operational 1937; combat sortie ledger as recorded
E4 Twin No.3	1933 Q4-1934 Q1	125-160 flights; 170-220 h	Navy-funded	Shanghai/Hangchow/Nanking theater recon 1937
E4 Twin No.4-7	ordered 1937 Sep-Oct	manufacturing	Army2/Navy2	first completion late Nov-Dec; rest Dec-early1938
P1 fleet	1935 H2-1936 H1	3 aircraft; 300-450 fleet h	Asai/Army-gov/external	2 more eval aircraft planned
E5 Single No.1	1936 Q2-Q3	65-85 flights; 50-70 h	Army	Ki42 lineage
E5 Single No.2	1937 Q2	30-45 flights;25-35 h	Army	Ki42 fixes
Ki42 eval batch	1937 Q4 approved	4 aircraft in build/prep	Army	flight/service eval 1938
E5 Twin No.1 J	1937 Q2	70-90 flights;80-105 h	Navy primary + Army slots	Ki40/Ki41/J1As/R1As lineage
E5 Twin No.2 JF	1937 Q4	15-22 flights;15-25 h	development	aft-fan flight; endurance/fuel 1938
E5 Twin follow-on	contracted 1937	8 aircraft common-structure build	Army5/Navy3	no 1937 operational squadron
Kayaba E4-J tailless	1937 H2	10-25 h	Kayaba	independent client/collaboration
