topic	covered_by	status
current_clock	13-BRANCH-GUARD-AND-CURRENT-CLOCKS-V17.md	COVERED
China_Indochina_US_gate	02-CHINA-INDOCHINA-US-SANCTIONS-WORKING-CLOSEOUT-V1.md	COVERED
submarine_common	03-SUBMARINE-TECHNICAL-AND-PROCUREMENT-CONSOLIDATION-V1.md	COVERED
submarine_Type95_FCS	04-SUBMARINE-TORPEDO-FIRE-CONTROL-CLOSEOUT-V1.md	COVERED
aerial_Type91	05-AERIAL-TORPEDO-TYPE91-CONSOLIDATION-V1.md	COVERED
surface_Type93	06-SURFACE-TYPE93-EMPLOYMENT-AND-SHIP-INTEGRATION-CLOSEOUT-V1.md	COVERED
surface_fleet_architecture	07-SURFACE-FLEET-ARCHITECTURE-AND-SHADOW-CARRIER-AUDIT-V1.md	COVERED
shadow_carriers	07-SURFACE-FLEET-ARCHITECTURE-AND-SHADOW-CARRIER-AUDIT-V1.md	COVERED
auxiliary_repair_replenishment	08-AUXILIARY-FLEET-REPAIR-REPLENISHMENT-CLOSEOUT-V1.md	COVERED
marine_diesel	09-MARINE-DIESEL-CONSOLIDATION-V1.md	COVERED
CRP_common	10-CONTRA-ROTATING-PROPELLER-COMMON-TECHNOLOGY-CLOSEOUT-V1.md	COVERED
E15K_next_gate	11-E15K-SHIUN-NEXT-GATE-V1.md	COVERED
open_items	12-OPEN-ITEMS-AND-NEXT-GATES-V17.tsv	COVERED
branch_guard	13-BRANCH-GUARD-AND-CURRENT-CLOCKS-V17.md	COVERED
