date	event	matched-history anchor	Asai ruling	calendar status	operational note
1937-11-18	Kashing-Soochow-Changshu line stiffens; rain slows Japanese operations	Chinese reinforcements and two days of rain reported; ~220,000 Japanese engaged	Same weather/terrain delay; readiness advantage cannot remove rain	SAME	Chinese earlier withdrawal preservation partly offsets Japanese F/M/S lead
1937-11-19	Soochow captured	Japanese chronology	Same date; local entry/clearing can move by hours	SAME-DATE	No one-day shift
1937-11-20	Imperial General Headquarters established; Chinese government removal to Chungking underway	Japanese chronology	No Asai effect on political command decision	SAME-DATE	Long-war planning pressure begins rising
1937-11-25	Wusih captured	Japanese chronology	Same date; road/bridge/rain and retreat timing dominate	SAME-DATE	Minor hour-scale lead only
1937-11-30	Kwangteh captured	Japanese chronology	Same date	SAME-DATE	Pursuit remains supply-limited
1937-12-02	Kiangyin captured	Japanese chronology	Same date	SAME-DATE	River/fortification/logistics remain hard constraints
1937-12-08/09	Chinkiang occupied; Nanking encirclement essentially complete	FRUS 9 Dec reports Chinkiang occupied and Nanking surrounded	Same calendar; Japanese supported elements somewhat fresher	SAME-CALENDAR	Chinese survivors from Shanghai add personnel but not restored cohesion
1937-12-10	Wuhu area falls / Japanese close around Nanking	Japanese chronology / FRUS	Same date band	SAME	No clean date divergence
1937-12-13	Nanking occupied	FRUS and U.S. State Department later statement	Same date	SAME-DATE	Wall-assault phases may move by ~1-3 h; not enough for 12 Dec capture
1937-12-24	Hangchow occupied	Japanese chronology / missionary reporting	Same date	SAME-DATE	No calendar divergence before year end
