id	station	x_m	x_over_L	width_m	height_m	section_type	scope_note
P1	S00	0.000	0.000	0.158	0.222	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S01	0.732	0.080	0.726	0.858	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S02	1.647	0.180	1.122	1.302	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S03	2.745	0.300	1.320	1.480	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S04	4.392	0.480	1.320	1.450	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S05	5.856	0.640	1.214	1.332	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S06	7.137	0.780	0.898	1.006	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S07	8.235	0.900	0.462	0.592	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P1	S08	9.150	1.000	0.066	0.089	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S00	0.000	0.000	0.166	0.232	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S01	0.800	0.080	0.759	0.899	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S02	1.800	0.180	1.173	1.364	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S03	3.000	0.300	1.380	1.550	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S04	4.800	0.480	1.380	1.519	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S05	6.400	0.640	1.270	1.395	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S06	7.800	0.780	0.938	1.054	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S07	9.000	0.900	0.483	0.620	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
P2	S08	10.000	1.000	0.069	0.093	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S00	0.000	0.000	0.166	0.232	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S01	0.800	0.080	0.759	0.899	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S02	1.800	0.180	1.173	1.364	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S03	3.000	0.300	1.380	1.550	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S04	4.800	0.480	1.380	1.519	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S05	6.400	0.640	1.270	1.395	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S06	7.800	0.780	0.938	1.054	rounded-rect	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S07	9.000	0.900	0.483	0.620	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-1	S08	10.000	1.000	0.069	0.093	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S00	0.000	0.000	0.044	0.044	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S01	0.688	0.080	0.385	0.440	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S02	1.548	0.180	0.792	0.858	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S03	2.580	0.300	0.990	1.023	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S04	3.698	0.430	1.100	1.100	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S05	4.816	0.560	1.078	1.100	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S06	5.848	0.680	0.902	0.946	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S07	6.880	0.800	0.638	0.693	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S08	7.912	0.920	0.352	0.396	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Material-2	S09	8.600	1.000	0.088	0.099	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S00	0.000	0.000	0.041	0.047	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S01	0.700	0.080	0.357	0.472	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S02	1.575	0.180	0.734	0.920	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S03	2.625	0.300	0.918	1.097	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S04	3.762	0.430	1.020	1.180	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S05	4.900	0.560	1.000	1.180	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S06	5.950	0.680	0.836	1.015	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S07	7.000	0.800	0.592	0.743	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S08	8.050	0.920	0.326	0.425	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
E5-future	S09	8.750	1.000	0.082	0.106	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S00	0.000	0.000	0.042	0.048	round	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
Ki-42	S01	0.684	0.080	0.364	0.480	oval	main fuselage/cabin body only; canopy, inlet, nacelle, gear and fairings are separate features
