tier	system / weapon / practice	Asai channel	1938-06-30 state	actual effect by this date	already counted in battlefield model?	next branch / caution
S	Army heavy 6x4 trucks	low-pressure exhaust turbo + cooling/QC	wartime deliveries/repairs expanding; H1 ~210-280 turbo units across heavy-vehicle demand working	higher sustained load/hill/heat performance; fewer breakdown-driven dropouts	YES: M/S, serviceable-vehicle and casualty deltas	Do not add separate casualty bonus
S	Artillery tractors / towing vehicles	turbo diesel + tools/QC	priority recipient	more guns arrive/return ready; towing margin better	YES: immediately usable artillery + M/S	No date magic across destroyed bridges/flood
S	Recovery/workshop support packages	turbo trucks + small power + tools/gauges	~15-25 Asai-enhanced mobile workshop/recovery packages working across major theaters; based on existing vehicle types, not a new standardized model	faster field repair/recovery; preserves vehicles, guns and specialists	YES: M/S and readiness	Continuation newly created; exact vehicle crosswalk remains open
S	Special steels/carbide/gauges across arsenals	materials/tooling/QC	broad mature supply	lower reject rate, longer tool life, more repeatable parts	YES indirectly in multiple readiness/production deltas	Upstream cause; never sum again as a separate combat multiplier
A	Small mobile GT power sets	small GT/APU + power distribution	~15-25 cumulative trial/limited-service population working by June	stable field power for repair/HQ/airfield/pumps	YES partly in maintenance/logistics throughput	Not ubiquitous; concentrate at high-value sites
A	Flood-edge boat/communications repair package	epoxy sealing/potting + wiring + portable power + pumps	June emergency package created: ~30-60 sealing/electrical kits; ~15-30 craft/stations receive priority treatment; ~4-8 mobile power sets can be shifted to key flood-edge nodes	local mission-capable rate for affected small craft/electrical stations plausibly +5-10 percentage points	NOT YET separately; treat as local June/H2 modifier	Does not turn flooded plain into a road; no new mass boat fleet
A	Type 96 25 mm AA reliability package	special steel + heat treatment + machining/gauges	improved firing-pin geometry/heat-treatment entering priority new/replacement lots; fleet-wide retrofit incomplete	large reliability improvement on fitted guns; magazine/tracking/director limitations unchanged	Only marginally, not as a separate theater-wide bonus	Continue retrofit; exact adoption month/share remains open
A	Type 97 Chi-Ha	turbo intake + diesel/QC	1938 low-rate production; midyear working ~30-50 completed/accepted, full-year order around historical ~100-scale; no major China-front effect yet	~180 PS continuous / 200 PS max; better power margin/reliability than matched engine baseline	NO meaningful battlefield effect through June	Late-1938 unit formation gate; do not backfill into 1937 battles
A	Type 97 20 mm automatic cannon	tools/heat treatment + special AP potential	historical 50-gun 1938 trial lot preserved; working ~15-25 complete/issued for trials by midyear	manufacturing consistency better; design weight/recoil/handling tradeoffs remain	NO significant China-front effect	Complete 50-gun trial, December acceptance gate
A	Dense-core special AP (37/20 mm)	natural-U/W dense materials + precision machining	A3 limited reserve/proving; H1 U material use working ~1.5-2.5 t, W ~0.2-0.5 t-equivalent; priority Type94 37mm and Type97 20mm test	strong short-range anti-armor potential, but exact penetration still open	NO major China-front effect due scarce armored targets	Manchuria/Soviet-front value more important than China; no broad issue
A	Artillery survey/calibration/production consistency	computation + metrology + material/QC	selected heavy/artillery formations increasingly use better calibration, lot records and prepared-fire workflow	planned fires more repeatable; fewer maintenance/preparation delays	YES: F and immediately usable artillery	Do not claim modern fire-direction network
A	E5 aviation GT experimental line	turbine ecosystem	~18-24 flight-grade H1 cores; E5 twin/single flying research	creates credible alternate aviation-engine industrial path	NO current combat fleet effect	Still evaluation; no service series
B	Type 96 LMG	gauges + tooling + heat treatment	1938 production ramp smoother; working +5-10% accepted output vs matched ramp, roughly a few hundred additional/earlier accepted guns by midyear	lower reject/interchangeability problems; no ballistic change	Minor, partly embedded in P/readiness	No mass replacement of Type11 overnight
B	Type 97 81 mm mortar	tools/gauges/QC	production/initial issue in 1938; working dozens to low hundreds by midyear; exact count open	simple weapon ramps more cleanly; ballistic performance historical	Minor	Need exact arsenal/year production audit if numbers matter
B	Type 96 15 cm howitzer production	barrel/breech tools + heat treatment + gauges	normal production with smoother lot consistency	small readiness/production benefit; basic ballistics unchanged	YES partly in artillery readiness	No large quantity acceleration without arsenal-capacity audit
B	Historical piston aircraft (Ki-27/G3M/Ki-15 etc.)	U4 computation + engine QC	Ki-27 operational introduction occurs on historical 1938 timetable; other types broadly historical	fewer acceptance/failure-loop losses; several extra mission-capable aircraft on active days, not headline performance	YES: mission-capable aircraft delta	No blanket speed/power bonus
B	Aircraft exhaust turbosupercharger	turbo metallurgy/rotordynamics	A2 follow-on trial; cumulative trial inventory working ~12-20 units by midyear; no mass order	high-altitude potential, still not a decisive China requirement	NO material frontline effect	Remain trial through current gate
B	Submarine 2-cycle compound scavenging/turbo	turbo engineering	A3 limited sea/engine trials continue; no fleet-standard conversion	learning/reliability data only	NO China-front effect	Exact test-boat crosswalk still needed
B	E5 marine GT small-craft study	E5 core + marine installation	A2 comparative study active; no operational craft/series order	future propulsion data	NO	Do not merge with 1941 propulsion test ship
B	Hiei emergency E4 GT generator	E4 GT + ship electrical integration	engineering/procurement inside 1937-40 refit context; not yet a fleet-standard installed system by June	future emergency-power resilience	NO current China effect	Keep Hiei-only overlay
C/HOLD	Type 96 24 cm howitzer	metrology/computation	~6-8 limited/test stock; no broad series	Asai may identify failure path earlier; program remains held	NO	Stopping bad production is the continuation
C/HOLD	Type 97 57 mm tank gun dense-core use	dense AP + machining	testable but low muzzle velocity dominates	does not turn Chi-Ha into high-velocity AT tank	NO	Keep infantry-support role
