field	state_1939-04-26_2400	authority_note
current_revalidated_combat_checkpoint	1939-04-26 24:00	Replay1 Nanchang opening gate
combat_replay_status	ACTIVE_COMBAT_REPLAY	Apr20 audit hold already released
next_chronological_combat_gate	1939-04-27 Nanchang Japanese counteroffensive	Do not import later May outcome
nanchang_city_control	Japanese	No Chinese recapture in opening gate
nanchang_supply_connection	FUNCTIONING	Xiushui/Poyang route not operationally severed
chinese_southern_spearhead	outer Nanchang approaches; narrower frontage	~6-12 h later center than matched-history milestone
japanese_forward_posture	under pressure but coherent	Alert/pre-registration/fallback improve cohesion
106th_division_worldline_advantage	MOSTLY RETAINED	Apr20 +2200-2900 CEQ structural/cadre advantage not mechanically rewritten
japanese_air_serviceability_delta	+3-5 pp where basing/fuel/weather permit	Established conventional-aircraft worldline effect
japanese_effective_airground_pressure_delta	+8-15% in usable windows	Target-folder/communications effect; not equivalent to +8-15% sorties
chiha_nanchang_participation	NO	Type89/94 trained branch retained
nomonhan_future_labels	PROHIBITED	No dense-core/spall-liner FIELD VALIDATED back-propagation
