function	central_persons	share_percent	notes
Special steel / HSS / carbide / cutting tools	2200	22.0	Steelmaking, heat treatment, carbide/tool finishing.
Machine shops / exhaust turbo / gauges-jigs	1900	19.0	Turbocharger volume line plus precision machining and metrology hardware.
Independent GT / power products	1100	11.0	Core manufacture, assembly and product test; excludes central R&D.
Industrial / general machinery	900	9.0	Blowers, pumps, process machinery and residual general machinery.
Computation equipment / bureau / maintenance	600	6.0	Office-statistical machines, service bureau, field maintenance.
Resins / composites / specialty supplies	250	2.5	Small line.
Central R&D / test / scientific computation	900	9.0	High engineer intensity; E-series and common technology.
Independent inspection / metrology / quality	650	6.5	President-direct inspection concept and supplier QA.
Sales / field service / domestic+Manchuria branches	850	8.5	Includes roughly 400 persons allocated to Greater Manchurian network.
Administration / procurement / training / plant utilities	650	6.5	HQ and shared services.
TOTAL	10000	100.0	Central 1937 working structure.
