front,date,metric,japan_low,japan_center,japan_high,china_low,china_center,china_high,center_j_to_c,confidence,status
Shanghai,1937-08-29,personnel,25000,30000,35000,90000,100000,115000,0.30,HIGH_ANCHOR,WORKING_AUDIT
Shanghai,1937-08-29,land_artillery_75mm_plus,60,75,90,50,70,90,1.07,MED_LOW,WORKING_AUDIT
Shanghai,1937-08-29,effective_fire_support_index,2.0,2.4,3.0,1.0,1.0,1.0,2.40,MED_MODEL,WORKING_AUDIT
Shanghai,1937-08-29,operational_AFV,30,38,45,5,12,20,3.17,LOW_MED,WORKING_AUDIT
Shanghai,1937-08-29,daylight_air_pressure_index,90,100,110,15,20,25,5.00,MED,WORKING_AUDIT
Shanghai,1937-08-29,dedicated_military_motor_vehicles,400,550,700,100,200,300,2.75,LOW,WORKING_AUDIT
Shanghai,1937-08-29,logistics_fulfilment_hist,78,84,90,55,63,72,1.33,MODEL,WORKING_AUDIT
Shanghai,1937-08-29,logistics_fulfilment_asai,81,87,93,55,63,72,1.38,MODEL,WORKING_AUDIT
Nankou_direct_axis,1937-08-18_to_23,personnel,18000,24000,28000,45000,57500,70000,0.42,MED,WORKING_AUDIT
Nankou_direct_axis,1937-08-18_to_23,land_artillery_75mm_plus,45,55,65,35,48,60,1.15,LOW_MED,WORKING_AUDIT
Nankou_direct_axis,1937-08-18_to_23,operational_AFV,30,45,60,5,10,15,4.50,LOW,WORKING_AUDIT
Nankou_direct_axis,1937-08-18_to_23,daylight_air_pressure_index,70,85,100,10,20,30,4.25,MED_LOW,WORKING_AUDIT
Nankou_direct_axis,1937-08-18_to_23,logistics_fulfilment_hist,63,71,78,40,50,60,1.42,MODEL,WORKING_AUDIT
Nankou_direct_axis,1937-08-18_to_23,logistics_fulfilment_asai,66,74,82,40,50,60,1.48,MODEL,WORKING_AUDIT
Central_Hebei,1937-08-29,immediately_usable_personnel,60000,70000,80000,150000,185000,220000,0.38,MED_LOW,WORKING_AUDIT
Central_Hebei,1937-08-29,land_artillery_75mm_plus,100,120,140,80,115,150,1.04,LOW_MED,WORKING_AUDIT
Central_Hebei,1937-08-29,operational_AFV,20,30,40,3,6,10,5.00,LOW,WORKING_AUDIT
Central_Hebei,1937-08-29,daylight_air_pressure_index,70,85,100,10,20,30,4.25,MED_LOW,WORKING_AUDIT
Central_Hebei,1937-08-29,dedicated_military_motor_vehicles,700,850,1000,300,500,700,1.70,LOW,WORKING_AUDIT
Central_Hebei,1937-08-29,logistics_fulfilment_hist,65,73,80,45,54,62,1.35,MODEL,WORKING_AUDIT
Central_Hebei,1937-08-29,logistics_fulfilment_asai,68,76,83,45,54,62,1.41,MODEL,WORKING_AUDIT
