branch	research phase	progress band	1937-11-12 reading	next hard gate
E5 twin demonstrator	Basic flight / stability envelope	70-80%	Normal flight established; no longer proving merely that it flies	Expand high-speed/altitude envelope
E5 twin demonstrator	Engine/nacelle integration	65-75%	Twin installation and routine ground/flight handling established	TBO, restart, throttle and altitude thrust audit
E5 twin demonstrator	Single-engine handling / return	45-60%	Meaningful testing possible but not service-qualified	Repeatability and climb/return margins
E5 twin demonstrator	Mission systems - camera/radio/bay	45-60%	Representative equipment installation is part of test program	Realistic mission cycle and turnaround
E5 twin demonstrator	Armament/light-strike integration	10-25%	Mostly mock load / installation envelope, not combat qualification	Live firing/release only if military requirement appears
E5 twin demonstrator	Range/endurance / service reliability	30-45%	Fuel/TBO remain major blockers	Demonstrate useful sortie radius and repeat sorties
E5 single future-form	Aerodynamic/layout definition	85-95%	Architecture essentially fixed enough to build	Installed CG/intake/thermal validation
E5 single future-form	Airframe construction / systems integration	70-85%	One physical research airframe is the central working case	Complete ground runs and taxi tests
E5 single future-form	Flight envelope	0-15%	First-flight status not yet canonical; treat as near-flight, not mature	First flight late-1937/early-1938 gate
E5 single future-form	Military interceptor suitability	10-20%	Research lineage only	Wait for E6-class installed thrust before service prototype
Small TP / short-field	Basic practical flightworthiness	85-95%	Mature enough for outside evaluation / small-sale use	Accumulate customer hours
Small TP / short-field	Short-field handling	70-85%	Useful short-field behavior established but exact certified figures open	Repeat hot/high/heavy operations
Small TP / short-field	Partial composite structure	60-75%	Secondary/semi-structural use is practical	Inspection/repair/aging data
Small TP / short-field	Repeatable small-series production	40-55%	Aircraft can be repeated in ones/few, not an aircraft factory line	Partner/contract production process
Small helicopter	Free flight / basic control	65-80%	Free flight already achieved	Expand speed/height/weight envelope
Small helicopter	Asai 180-200 hp engine integration	45-60%	1937 engine trials active	Cooling, vibration and endurance
Small helicopter	Autorotation / emergency handling	40-55%	Research item, not operationally proven	Repeatable safe autorotation demonstrations
Small helicopter	Transmission / rotor-head durability	30-45%	Still a principal bottleneck	Long-duration cycle test
Small helicopter	Useful payload/endurance	20-35%	Technology demonstrator rather than useful military aircraft	Payload/range improvement before procurement discussion
Materials branch	Coupons / resin / honeycomb process	75-90%	Material process mature enough for secondary structures	Long-term moisture/aging and lot control
Materials branch	Full-scale substructure A/B tests	45-65%	Major panels/joints can be tested in 1937	Finish static/fatigue comparison
Materials branch	Dedicated material flight aircraft	0-10%	Design planning only in 1937	Material No.1 build during 1938
