priority	topic	status	next_action
1	Shantou Jun21-27 replay	OPEN	process next combat gate
2	104DIV Guangdong gap / Chinese reaction	OPEN	process alongside Shantou
3	Wutaishan phase4 Jun19-22 close	OPEN	close concurrently
4	G3M EX-state in Chongqing units	CLOSED-CONTROL	EX0-equivalent performance credit for Jun20 China replay; named lot evidence may locally override; see 11/11A
5	Nomonhan special-ammo production ledger	CLOSED-LOWER-BOUND-FLOW	formal minimum accepted/forwarded + campaign draw ledger built; exact plant monthly output not asserted; see 12/12A
6	Nomonhan aviation continuous stock-flow	CLOSED-CAMPAIGN-SUFFICIENT	named-unit anchors + Aug19-22 operational bridge normalized; future exact sentai/day accounting is local only; see 13/13A
7	Nomonhan postwar procurement allocations	OPEN	resolve Sep-Oct actual equipment assignments, not just demands
8	23DIV/7DIV replacement stock-flow	WORKING	refine when Sep timeline reached
9	Uranium national/empire balance sheet	CLOSED-SCENARIO-MACRO	Aug31 Asai-linked/scenario strategic system balance 55-65 t-U center62 formalized; geography/non-Asai holdings local; see 14/14A
10	RIKEN isotope research ledger	CLOSED-THROUGH-AUG1939	dated 1935-Aug1939 research ledger formalized; reopen only at future scale/funding/apparatus gate; see 15/15A
11	Soviet Japan threat estimate 1939-41	DEFERRED	rebuild at European-war/1941 force-transfer gate
12	Retained specialist human capital compound	DEFERRED	end-1941 audit; do not compound now
