event_id	time	event	historical_baseline	branch_delta	status	asai_relevance	next_gate
E-19370718-01	1937-07-18 13:00	Soong Che-yuan visits Katsuki at Tientsin, expresses regret; Japanese side treats it as apology while Chinese presentation treats it as courtesy/regret	historical Tientsin compliance step	same	CLOSED-SAME	no Asai causal path in bargaining/semantics	1937-07-21/22 withdrawal and transport
E-19370718-02	1937-07-18 daytime	Japanese military aircraft reconnoitering northbound troop train(s) on Peiping-Hankow line are fired on and return fire; casualties/public outrage follow	historical aerial reconnaissance/train firing incident	same; exact aircraft type remains OPEN	CLOSED-EVENT	Asai piston reliability does not erase a completed sortie; do not auto-assign Ki-15	1937-07-21/22 withdrawal and transport
E-19370719-01	1937-07-19 05:00	firing near Ichimonjiyama wounds one Japanese soldier	continued local firing despite settlement process	same	CLOSED-SAME	no material Asai trigger identified	1937-07-21/22 withdrawal and transport
E-19370719-02	1937-07-19 09:40	Soong returns to Peiping and consults senior 29th Army/Hopei-Chahar leaders	historical command/political consultation	same	CLOSED-SAME	no Asai causal path	1937-07-21/22 withdrawal and transport
E-19370719-03	1937-07-19 20:00	Matsui warns that renewed unlawful firing after noon 20 July will trigger Japanese free action	historical ultimatum/warning	same	CLOSED-SAME	readiness does not change the stated warning	1937-07-21/22 withdrawal and transport
E-19370719-04	1937-07-19 23:00	Hashimoto and 29th Army representatives sign detailed implementation terms for July 11 agreement	historical detailed anti-Communist/anti-Japanese suppression terms and separate 37th Division withdrawal understanding	same	CLOSED-SAME	no Asai causal path in settlement content	1937-07-21/22 withdrawal and transport
E-19370720-01	1937-07-20 morning-afternoon	Soong orders 37th Division concentration/relocation preparations and proposes replacement by 132nd Division	historical renewed implementation effort	same	CLOSED-SAME	vehicle readiness not decision-limiting	1937-07-21/22 withdrawal and transport
E-19370720-02	1937-07-20 14:30	renewed firing near Marco Polo Bridge; Japanese side returns fire and initiates artillery response	historical renewed clash after free-action deadline	same	CLOSED-SAME	no Asai performance delta removes trigger; artillery already available	1937-07-21/22 withdrawal and transport
E-19370720-03	1937-07-20 15:00-17:00	artillery exchange around west bank/Ichimonjiyama causes casualties; temporary stop about 17:00	historical artillery exchange	same; exact casualties report-dependent	CLOSED-SAME	artillery computation/survey/firing-table maturity gives a real consistency margin, but this limited warning/punitive exchange is not a sustained fire-for-effect gate; no large damage delta	1937-07-21/22 withdrawal and transport
E-19370720-04	1937-07-20 ~19:30-21:00	Changhsintien-side fire hits Wulitian; Japanese punitive shelling damages Wanping watchtower/gate and causes casualties	historical evening escalation/punitive shelling	same	CLOSED-SAME	punitive objective and limited fire mission dominate; improved computation/QC may make fire more consistent, but dense-core ammo is irrelevant and no major destruction/casualty escalation is assumed	1937-07-21/22 withdrawal and transport
E-ASAI-19370720-01	1937-07-20	Asai readiness delta during first sustained artillery gate	historical artillery and support echelons already in theater	slightly higher operational fraction plus moderately better artillery computation/survey consistency; no event/timing or major effect change	CLOSED-DIRECTION	first artillery gate where accumulated calculation/QC/logistics delta is physically present, but mission intent caps realized effect	1937-07-21/22 withdrawal and transport
