account	working_band	center	counts_as_current_China_force?	counts_as_human-capital preservation?	interpretation
Cumulative battle casualties avoided by 1938-03-14	3,800-4,700	4,200	NO, not directly	YES	Historical-flow measure: KIA/MIA + wounded events that did not occur
Avoided KIA/MIA	~850-1,300	~1,050	YES before replacement response	YES, fully	Long-term irreversible manpower preservation; keep separate from current-strength accounting
Avoided wounded	~2,900-3,500	~3,150	Only if matched-history soldier would still be absent	PARTLY	Many historical wounded would have returned by Mar 1938, especially July-Nov cases
Matched-history wounded still absent on 1938-03-14	~1,200-2,000	~1,575	YES before replacement response	temporary	Weighted by age of wounds; recent Shandong/Nanking wounds matter more
Raw China-theater available-manpower gap before replacement response	~2,000-3,350	~2,625	YES	mixed	Avoided KIA/MIA + wounded who would still be absent
Absorbed by fewer replacement drafts sent to affected formations	~1,100-1,650	~1,450	NO: these men stay in home/depot pool instead	NO death saving, but reserve preserved	Replacement system reacts with lag; unit replacement drafts shrink, while whole-division reinforcements mostly do not
Net Japanese headcount increase physically in China	~800-1,850	~1,200	YES	partly	Best rounded answer to 'is there a pure troop increase?'
Net additional combat-effective personnel in line/support units	~700-1,500	~1,000	YES	partly	Some headcount sits in HQ/rear/rotation; preserved veterans make quality effect larger than raw number
Replacement/training-pool manpower not shipped to China	~1,100-1,650	~1,450	NO	strategic reserve benefit	Not lost manpower: available for later drafts, new units, training, or simply later shipment
Prewar/initial-cadre deaths plausibly avoided	~600-850	~700	not necessarily all in China at snapshot	YES, especially valuable	Subset estimate only; early Shanghai/North-China avoided deaths are veteran-heavy
Permanent-disablement avoided among wounded (rough)	~100-250	~175	long-term only	YES	Very rough; kept outside current-theater headcount
