item	value/status	note
architecture	high-wing four-TP nonpressurized rear-ramp heavy transport	technical shadow
engines	4 x E6-M-T	no new engine invented
power takeoff	~2050-2100 shp each	current E6-M shaft capability coordinate
power continuous	~1850-1870 shp each	transport/long-duration center
normal MTOW	52-55 t	technical target
short overload	58-60 t	conditional structural/short-range
operating empty	28-30 t	target; material gain measured later
standard cargo	13-15 t	practical mission center
short cargo	17-18 t	conditional
wing area	235-245 m2 center 240	wing loading ~229kg/m2 at55t
cargo box	~13.2 x 3.25 x 3.0 m	large indivisible freight
cruise	330-360 km/h	technical target
max-speed neighborhood	390-415 km/h	working installation shadow
15t range	2000-2300 km	technical target
10-12t range	2800-3200 km	candidate
runway class	1000-1200 m prepared/compacted	NOT extreme STOL
first-generation primary structure	metal main load paths + bonded/sandwich/composite secondary	no all-CFRP requirement
1939-04-20 hardware	0 flight airframes; problem/trade studies only	formal Material No3 concept target 1939H2
late-1942 first flight	conditional technical shadow	NOT achieved history
