Category	1938-06-30 CLOSED baseline	Band / sensitivity	Status	Use from July 1938 onward
Clock	1938-06-30 24:00	—	CLOSED	Resume Wuhan buildup from here
Japanese cumulative battle casualties avoided	+5,300	+4,900 to +5,700	CLOSED-WORKING	Historical-flow ledger; not current headcount
Japanese current China-theater headcount	+1,300	+900 to +1,700	CLOSED-WORKING	After replacement-draft absorption
Chinese effective military manpower delta	-100	-900 to +600	CLOSED-WORKING	Essentially matched history by mid-1938
Chinese preserved experienced-cadre delta	+240	+150 to +350	CLOSED-WORKING	Quality effect remains mildly positive
Serviceable Japanese army vehicles	+150	+120 to +190	CLOSED-WORKING	Already included in M/S; do not double count
Mission-capable Japanese aircraft	+19	+15 to +23	CLOSED-WORKING	Same inventory logic; serviceability/turnaround
Immediately usable Japanese artillery	+40	+32 to +48	CLOSED-WORKING	Readiness/towing/preparation, not extra guns
Exposed logistics/maintenance throughput	+3.5%	+3 to +4.5%	CLOSED-WORKING	Strategic rail/road/ship capacity still separate
Huayuankou flood	Same breach site/date; June 9	0-8 h local sensitivity only	CLOSED	Small-craft/local movement possible; heavy corridor remains broken
