stage	1939_ruling	distance	status	what_is_closed	what_is_not_inferred	authority
computation_machine_ecosystem	relay/card systems plus early vacuum-tube/relay/drum experimental machinery; central and distributed rooms	CD1 Asai / CD2-CD3 customer use	CLOSED-TECH	calculation hardware/method capability envelope	specific installed customer count or modern stored-program machine	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-machines-centers.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/39-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-CANON-V8.md
cipher_machine_engineering	special printing/switching/electromechanical naval work; contact/power/printing synchronization/shipboard durability and secured maintenance	CD3 Navy	CLOSED-TECH	ability to build/support improved cipher-related electromechanics	specific algorithm/key or service-wide machine inventory	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md;01-BASE-V6/01-BASE-V5/01-BASE-V4/01-CURRENT-BRANCH/08-MILITARY-DELIVERY-LEDGER-1937-SUMMER.md
own_key_management	card-assisted key generation/check/distribution bookkeeping can reduce administrative burden	CD3 Navy	CLOSED-TECH	workflow capability	specific key policy, compromise rate or invulnerability	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md
cryptanalytic_mechanization	card classification, frequency/comparison/coincidence counting and candidate search machinery	CD3 Navy	CLOSED-TECH	machine-supported analytic workflow	solution of a named enemy cipher	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md
red_team_own_ciphers	opportunistic own-system attack practice may exist by mid-1930s as technical habit	CD3 Navy	CLOSED-TECH	red-team capability/practice is permissible	guaranteed doctrinal reform or perfect own cipher security	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md
intercept_collection	network/site/service dependent	CD3 Navy	EVENT-GATED	none globally	collection volume/coverage from machine capability	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md
traffic_analysis	requires intercept metadata, continuity and analyst organization	CD3 Navy	EVENT-GATED	method compatible with computation/card support	network reconstruction success without event-specific data	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md
key_or_system_break	target/date/key-material/crib/weakness dependent	CD3 Navy	EVENT-GATED	1939 institution has machine-assisted cryptanalytic support; target solution is not global technical state	enemy decrypt success from aggregate computation capability	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md
decrypt_throughput_translation	depends on solved system, machine workflow, language staff and traffic volume	CD3 Navy	EVENT-GATED	machine throughput can help after a solution exists	usable intelligence volume without local ledger	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md
intel_fusion_dissemination_exploitation	command/process/security/timeliness dependent	CD3 Navy	EVENT-GATED	none globally	operational advantage from successful decrypt alone	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md
magnetic_memory	1938-40 drum working memory; small dedicated magnetic state-holding later; full X-Y core RAM not prewar current	technology ladder; distance n/a	CLOSED-GUARD	memory technology ladder	modern random-access core memory in 1939	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md
