date	event	historical anchor	Asai ruling	status
1938-03-14	Seya Detachment advances south; Sakamoto attacks Linyi	JM178: Seya departs south of Tsouhsien; Sakamoto fails to take Linyi	Same opening; Japanese support readiness modestly higher	CLOSED-SAME
1938-03-17	Lincheng occupied	JM178	Same date; local clearance perhaps hours earlier	CLOSED-SAME-DATE
1938-03-18	Tengxian occupied	JM178	Same date; artillery/vehicle readiness helps but urban defense prevents a clean date shift	CLOSED-SAME-DATE
1938-03-19	Hanchuang / Ihsien pursuit positions reached	JM178	Same date	CLOSED-SAME
1938-03-23	Seya sends element toward Taierzhuang while dispatching force toward Linyi support	JM178	Same decision; prior Shanghai lesson slightly increases confidence in continued pressure	CLOSED-SAME / PERCEPTION-DELTA
1938-03-25	Linyi-support detachment encircled near Kuolichi	JM178	Same event; superior Chinese concentration and geometry dominate	CLOSED-SAME
1938-03-27	Japanese element occupies one corner of Taierzhuang	JM178	Same calendar; 0-8 h local acceleration possible	CLOSED-SAME-CALENDAR
1938-03-30	Seya commits full strength against Taierzhuang	JM178	Same date; readiness allows somewhat denser support but also encourages deeper commitment	CLOSED-SAME-DATE
1938-04-02	Sakamoto reaches Puwang east of Taierzhuang and is surrounded	JM178	Same date; better mobility brings no strategic benefit because Chinese counter-concentration reacts	CLOSED-SAME
1938-04-05	Taierzhuang still not captured; Sakamoto initially considers withdrawal	JM178	Same strategic failure; Japanese leading elements are slightly deeper/more sustained	CLOSED-SAME
1938-04-06	Seya Detachment withdraws from Taierzhuang area	JM178: withdrawal triggered by coordination/communication failure	Same date; improved electrical reliability gives somewhat cleaner withdrawal, but does not solve command separation	CLOSED-SAME-DATE
1938-04-07	Sakamoto Detachment withdraws	JM178	Same date	CLOSED-SAME-DATE
1938-04-08	Chinese coordinated counteroffensive drives Japanese northward toward Yihsien	FRUS foreign military observers; JM178 regrouping	Chinese victory remains clear; Japanese retreat somewhat less disordered in equipment handling	CLOSED-SAME-OUTCOME
1938-04-09	Japanese detachments regroup north/east of Taierzhuang	JM178	Same date band	CLOSED-SAME
