id,class,opening_state,audit_group,rerun_handling,review_gate,trigger_or_rule,note
A-NATURAL-RETURN,METHOD,ON,A_RETROACTIVE_METHOD,1941-11-15/12-07から常時適用,再走査全期間,track survivor cohorts and natural personnel movement from opening day,
IJA-AIR-BASE-MOBILITY,SERVICE_CAPABILITY,OPERATIONAL_PARTIAL,B_OPENING_CAPABILITY,開戦時能力として存在、制約付き,各作戦で能力値・ボトルネック更新,,
IJN-AIR-GROUND-SEPARATION,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"base_transfer_delay, support_transport_mass, tool_parts_mismatch, unit_immobilization",
JOINT-BASE-STANDARDIZATION,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"cross_unit_tool_mismatch, fuel_ammo_incompatibility, repair_handoff_delay, receiving_base_activation_time",
A-SKILL-LEVELING,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"unit_skill_variance, formation_failure_by_unit, available_veteran_nuclei, replacement_low_skill_share",
A-DELIBERATE-VETERAN-NUCLEUS-REALLOCATION,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"new_unit_failure_rate, leader_navigation_gap, veteran_surplus_in_transfer_pool, frontline_availability",natural experienced nuclei exist at opening; deliberate cross-unit redistribution is the later switch
A-DEDICATED-FERRY,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"combat_pilot_ferry_hours, ferry_accidents, delivery_delay, base_mobility_maturity",
A-CARRIER-TACTICAL-RETRAINING,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"carrier_battle_lessons, surviving_staff, training_fuel, weeks_available_before_next_operation",
C-POST-BATTLE-CARRIER-BUILD,POLICY,OPEN,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,after first major carrier-loss event,
C-EMERGENCY-CONVERSIONS,POLICY,OPEN,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,carrier_shortage review,
C-UNRYU-DAMAGE-CONTROL-LESSONS,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"carrier_fire_events, fuel_system_cascade_events, hangar_ordnance_events, test_program_results",
SF-WARTIME-DD,POLICY,OPEN,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,destroyer/escort pressure review,
SS-SENTAKA-LOT3,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"first_boat_launch, land_electrical_endurance, construction_defect_rate, submarine_demand",
SS-GUADALCANAL-TRANSPORT-BIND,POLICY,OPEN,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,if isolated garrison supply crisis develops,do not assume submarine days are freed because old branch lacked Guadalcanal-type transport
ASW-LOCAL-COMMAND,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"submarine_contacts, shipping_losses, escort_reallocation_cost, route_density",
ASW-NATIONAL-COMMAND,SOFT_TRIGGER,LATENT,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"multi_theater_shipping_loss, command_conflict, escort_shortage, national_shipping_pressure",
TECH-RADAR-FLEET-TRIAL,HARD_CLOCK,PRECURSOR,B_PHYSICAL_CLOCK,物理研究・試験時計を保持,各fielding/量産ゲートで数量のみ再判定,1941-12_to_1942-01,
TECH-THRUST-EXHAUST,HARD_CLOCK,TEST,B_PHYSICAL_CLOCK,物理研究・試験時計を保持,各fielding/量産ゲートで数量のみ再判定,1942H1 comparison; 1942H2 new-build/major-refit standardization,do not restore withdrawn 1941 mass-standardization line
TECH-TOKAI,HARD_CLOCK,PRELIMINARY_REQUIREMENT,B_PHYSICAL_CLOCK,物理研究・試験時計を保持,各fielding/量産ゲートで数量のみ再判定,1942 summer-autumn first flight,
ENEMY-MARK14-FIX,SOFT_TRIGGER,HISTORICAL_BASELINE_PROCESS,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,"US_torpedo_failure_samples, combat_opportunities, test_pressure",
A-PRECOMBAT-CONCENTRATION-STATE,METHOD,METHOD_ON,A_RETROACTIVE_METHOD,1941-11-15/12-07から常時適用,再走査全期間,"campaign state begins at mobilization/concentration, not first combat; track transit loss, forced landing, late arrival, leader loss and replacement arrival before D-day",
A-REPLACEMENT-QUALITY-TRACKING,METHOD,ON,A_RETROACTIVE_METHOD,1941-11-15/12-07から常時適用,再走査全期間,replacement aircraft and replacement personnel are separate cohorts; never restore nominal strength by assuming equal skill/maintenance state,
IJA-AIR-GROUND-LIAISON,SERVICE_CAPABILITY,PRESENT_LIMITED,B_OPENING_CAPABILITY,開戦時能力として存在、制約付き,各作戦で能力値・ボトルネック更新,,
IJA-AIR-MISSION-PRIORITY,OPERATIONAL_DOCTRINE,COUNTERAIR_FIRST,B_OPENING_DOCTRINE,開戦時教義/任務集合として保持,観測と司令部要求で配分更新,,do not optimize automatically; command doctrine and observed results constrain reallocations
LOG-WARTIME-STANDARD-SHIP-I,HARD_CLOCK,DESIGN_FROZEN_PRODUCTION_TRANSITION,B_PHYSICAL_CLOCK,物理研究・試験時計を保持,各fielding/量産ゲートで数量のみ再判定,secret preparation from 1940; type fixed mid-late 1941; main completions spring-summer 1942,opening Dec 1941 shipping does not receive the later completed-tonnage gain; only existing-ship loading/turnaround improvements apply
LOG-WARTIME-STANDARD-SHIP-II,POLICY,OPEN,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,after first-generation operating data and wartime shipping/repair pressure are observed,later second-generation form is not automatically selected on the old calendar
COMSEC-CENTRAL-STATISTICAL-AUDIT,SERVICE_CAPABILITY,OPERATIONAL_PARTIAL,B_OPENING_CAPABILITY,開戦時能力として存在、制約付き,各作戦で能力値・ボトルネック更新,,"capability is retained; actual enemy usable intelligence is an outcome, not fixed here"
COMSEC-1942-HIGH-GRADE-OUTCOME,OUTCOME_GATE,OPEN,D_RECOMPUTE_OUTCOME,旧枝の結果を入力禁止,該当イベントで再計算,evaluate continuously by cipher system and operation; especially before MO/MI and shipping/submarine operations,withdraws later blanket statement that 1942 Japanese high-grade traffic is automatically unusable to US cryptanalysis in strategic time
ASW-ESCORT-STAFF,SERVICE_CAPABILITY,PRESENT_LIMITED,B_OPENING_CAPABILITY,開戦時能力として存在、制約付き,各作戦で能力値・ボトルネック更新,,do not confuse with later local escort command or national escort command
TECH-TYPE2-DEPTH-CHARGE,HARD_CLOCK,PRE_ADOPTION,B_PHYSICAL_CLOCK,物理研究・試験時計を保持,各fielding/量産ゲートで数量のみ再判定,historical adoption during 1942; no year-scale pre-invention,
ASW-DEDICATED-ESCORT-PRIORITY,POLICY,OPEN,C_RECALCULATE_TRIGGER,旧カレンダー日付を解除,trigger/gate成立時のみ遷移,review when submarine pressure and fleet-destroyer escort bind become observable,later Kaibokan/simple escort build priority must be regenerated from the rerun
SUB-GERMANY-LIAISON-VOYAGE-OUTCOME,OUTCOME_GATE,OPEN,D_RECOMPUTE_OUTCOME,旧枝の結果を入力禁止,該当イベントで再計算,evaluate each voyage at its historical/alternate departure time,resolves cross-document conflict: submarine technology canon says individual voyage success belongs to historical analysis; later crypto text must not fix cargo arrival in advance
RERUN-START-STATE,METHOD,METHOD_ON,A_RETROACTIVE_METHOD,1941-11-15/12-07から常時適用,再走査全期間,"rerun state begins with mobilization/concentration before opening combat; for Malaya use 1941-11-15 concentration, while global synchronization reaches 1941-12-07/08 opening","does not require micro-dogfight recalculation before opening; it requires state, readiness, personnel and logistics propagation"
A-SOFT-HUMAN-STATE-DIVERGENCE,METHOD,ON,A_RETROACTIVE_METHOD,1941-11-15/12-07から常時適用,再走査全期間,"survivor, fatigue, injury, noncombat loss, veteran-core, base-transfer friction and replacement-quality states may diverge from concentration/opening onward; later institutions rem",
A-POSTOPENING-FIELDING-QUANTITY,METHOD,ON,A_RETROACTIVE_METHOD,1941-11-15/12-07から常時適用,再走査全期間,"post-opening aircraft/engine/equipment fielding quantities are outputs of production, attrition, repair, engine allocation, spares and deployment; retain physical development clock",
SUB-OPENING-MISSION-ALLOCATION,OPERATIONAL_DOCTRINE,MULTI_MISSION,B_OPENING_DOCTRINE,開戦時教義/任務集合として保持,観測と司令部要求で配分更新,"allocate individual boats among fleet interception, reconnaissance, minelaying, midget support, commerce raiding and invasion screening; allocation is a scenario state, not a fixed",
SUB-INDIVIDUAL-AVAILABILITY,METHOD,ON,A_RETROACTIVE_METHOD,1941-11-15/12-07から常時適用,再走査全期間,"nominal roster never equals operational strength; track repair, modernization, mechanical failure, patrol transit, on-station and next-ready times by hull",
