ship,historical_window,historical_machinery,baseline_shp,baseline_speed_kt,GT_config,GT_TIT_C,GT_added_propeller_shp,total_shp,cube_law_speed_kt,speed_gain_kt,GT_scale_gate,historical_source,status
Kaga_after_1935_refit,1934-06-25 to 1935-06-25,4-shaft steam; machinery replaced during refit,127400,28.34,4xE6-large-A,780,16233.2,143633.2,29.5,1.16,marine gate 1939-40 conditional,https://rikukaigun.org/Nishida/e/stc0203.html,COMPARISON-ONLY
Kaga_after_1935_refit,1934-06-25 to 1935-06-25,4-shaft steam; machinery replaced during refit,127400,28.34,4xE6-large-A,870,20277.2,147677.2,29.77,1.43,marine gate 1939-40 conditional,https://rikukaigun.org/Nishida/e/stc0203.html,COMPARISON-ONLY
Kaga_after_1935_refit,1934-06-25 to 1935-06-25,4-shaft steam; machinery replaced during refit,127400,28.34,2xE6-large-B,780,14429.4,141829.4,29.37,1.03,marine gate 1940-41 conditional,https://rikukaigun.org/Nishida/e/stc0203.html,COMPARISON-ONLY
Kaga_after_1935_refit,1934-06-25 to 1935-06-25,4-shaft steam; machinery replaced during refit,127400,28.34,2xE6-large-B,870,18024.2,145424.2,29.62,1.28,marine gate 1940-41 conditional,https://rikukaigun.org/Nishida/e/stc0203.html,COMPARISON-ONLY
Akagi_after_1938_refit,1935-10-24 to 1938-08-31,"4-shaft steam; machinery largely retained, boilers modernized",133000,31.2,4xE6-large-A,780,16233.2,149233.2,32.42,1.22,marine gate 1939-40 conditional,https://www.combinedfleet.com/Akagi.htm,COMPARISON-ONLY
Akagi_after_1938_refit,1935-10-24 to 1938-08-31,"4-shaft steam; machinery largely retained, boilers modernized",133000,31.2,4xE6-large-A,870,20277.2,153277.2,32.71,1.51,marine gate 1939-40 conditional,https://www.combinedfleet.com/Akagi.htm,COMPARISON-ONLY
Akagi_after_1938_refit,1935-10-24 to 1938-08-31,"4-shaft steam; machinery largely retained, boilers modernized",133000,31.2,2xE6-large-B,780,14429.4,147429.4,32.29,1.09,marine gate 1940-41 conditional,https://www.combinedfleet.com/Akagi.htm,COMPARISON-ONLY
Akagi_after_1938_refit,1935-10-24 to 1938-08-31,"4-shaft steam; machinery largely retained, boilers modernized",133000,31.2,2xE6-large-B,870,18024.2,151024.2,32.55,1.35,marine gate 1940-41 conditional,https://www.combinedfleet.com/Akagi.htm,COMPARISON-ONLY
Soryu,1934-11-20 to 1937-12-29,4-shaft steam,152000,34.0,4xE6-large-A,780,16233.2,168233.2,35.17,1.17,marine gate 1939-40 conditional,https://rikukaigun.org/JeffD/_warships1.html,COMPARISON-ONLY
Soryu,1934-11-20 to 1937-12-29,4-shaft steam,152000,34.0,4xE6-large-A,870,20277.2,172277.2,35.45,1.45,marine gate 1939-40 conditional,https://rikukaigun.org/JeffD/_warships1.html,COMPARISON-ONLY
Soryu,1934-11-20 to 1937-12-29,4-shaft steam,152000,34.0,2xE6-large-B,780,14429.4,166429.4,35.04,1.04,marine gate 1940-41 conditional,https://rikukaigun.org/JeffD/_warships1.html,COMPARISON-ONLY
Soryu,1934-11-20 to 1937-12-29,4-shaft steam,152000,34.0,2xE6-large-B,870,18024.2,170024.2,35.29,1.29,marine gate 1940-41 conditional,https://rikukaigun.org/JeffD/_warships1.html,COMPARISON-ONLY
Hiryu,1936-07-08 to 1939-07-05,4-shaft steam,153000,34.3,4xE6-large-A,780,16233.2,169233.2,35.47,1.17,marine gate 1939-40 conditional,https://www.navypedia.org/ships/japan/jap_cv_hiryu.htm,COMPARISON-ONLY
Hiryu,1936-07-08 to 1939-07-05,4-shaft steam,153000,34.3,4xE6-large-A,870,20277.2,173277.2,35.75,1.45,marine gate 1939-40 conditional,https://www.navypedia.org/ships/japan/jap_cv_hiryu.htm,COMPARISON-ONLY
Hiryu,1936-07-08 to 1939-07-05,4-shaft steam,153000,34.3,2xE6-large-B,780,14429.4,167429.4,35.35,1.05,marine gate 1940-41 conditional,https://www.navypedia.org/ships/japan/jap_cv_hiryu.htm,COMPARISON-ONLY
Hiryu,1936-07-08 to 1939-07-05,4-shaft steam,153000,34.3,2xE6-large-B,870,18024.2,171024.2,35.6,1.3,marine gate 1940-41 conditional,https://www.navypedia.org/ships/japan/jap_cv_hiryu.htm,COMPARISON-ONLY
Taiyo_Kasuga_Maru,1941-05-01 to 1941-09-05,2-shaft steam,25200,21.0,4xE6-large-A,780,16233.2,41433.2,24.79,3.79,marine gate 1939-40 conditional,https://www.niehorster.org/014_japan/navy-commanders/cv.html,COMPARISON-ONLY
Taiyo_Kasuga_Maru,1941-05-01 to 1941-09-05,2-shaft steam,25200,21.0,4xE6-large-A,870,20277.2,45477.2,25.57,4.57,marine gate 1939-40 conditional,https://www.niehorster.org/014_japan/navy-commanders/cv.html,COMPARISON-ONLY
Taiyo_Kasuga_Maru,1941-05-01 to 1941-09-05,2-shaft steam,25200,21.0,2xE6-large-B,780,14429.4,39629.4,24.42,3.42,marine gate 1940-41 conditional,https://www.niehorster.org/014_japan/navy-commanders/cv.html,COMPARISON-ONLY
Taiyo_Kasuga_Maru,1941-05-01 to 1941-09-05,2-shaft steam,25200,21.0,2xE6-large-B,870,18024.2,43224.2,25.14,4.14,marine gate 1940-41 conditional,https://www.niehorster.org/014_japan/navy-commanders/cv.html,COMPARISON-ONLY
Unryu,1941 urgent-program design/order window,4-shaft steam,152000,34.0,4xE6-large-A,780,16233.2,168233.2,35.17,1.17,marine gate 1939-40 conditional,https://www.usni.org/magazines/proceedings/1955/september/japans-wartime-carrier-construction-and-pictorial-section,COMPARISON-ONLY
Unryu,1941 urgent-program design/order window,4-shaft steam,152000,34.0,4xE6-large-A,870,20277.2,172277.2,35.45,1.45,marine gate 1939-40 conditional,https://www.usni.org/magazines/proceedings/1955/september/japans-wartime-carrier-construction-and-pictorial-section,COMPARISON-ONLY
Unryu,1941 urgent-program design/order window,4-shaft steam,152000,34.0,2xE6-large-B,780,14429.4,166429.4,35.04,1.04,marine gate 1940-41 conditional,https://www.usni.org/magazines/proceedings/1955/september/japans-wartime-carrier-construction-and-pictorial-section,COMPARISON-ONLY
Unryu,1941 urgent-program design/order window,4-shaft steam,152000,34.0,2xE6-large-B,870,18024.2,170024.2,35.29,1.29,marine gate 1940-41 conditional,https://www.usni.org/magazines/proceedings/1955/september/japans-wartime-carrier-construction-and-pictorial-section,COMPARISON-ONLY
