item	1937/early-1938 last known state	new 1938-06-30 continuation	status after patch	why this continuation is chosen
Heavy-vehicle exhaust turbo	1937 ~290-400 military units/y working + wartime emergency pull	H1-1938 Army demand/delivery ~210-280 units working; focus new heavy vehicles, tractors, replacement/repair	WORKING-CONTINUED	Fits factory capacity and already-modeled readiness advantage
Recovery/workshop vehicles	1937 exact vehicle crosswalk OPEN-HOLE	Do not invent a new standard vehicle; create ~15-25 enhanced workshop/recovery packages using historical trucks + turbo + power + tools	CLOSED-DIRECTION / OPEN CROSSWALK	Explains maintenance effect without creating phantom vehicle type
Small mobile GT power	A3 limited trial by Nov 1937	~8-12 more H1-1938; cumulative ~15-25 field/trial population	WORKING-CONTINUED	War makes rear-area power valuable but production remains tiny
Flood operations support	No prior dedicated branch	June 1938 emergency waterproof/electrical/boat-repair kit using existing epoxy, potting, pumps, tools and mobile power	NEW WORKING BRANCH	Direct continuation of already-existing products; no new miraculous boat technology
Type 96 LMG	late-1937 smoother ramp +10-20% at low rate	1938 mass ramp: +5-10% accepted output vs matched production; no date shift	WORKING-CONTINUED	Asai helps factory process, not weapon design
Type 96 25mm	component reliability modification accelerated	Improved pin/heat-treatment parts enter priority new/replacement lots in H1; fleet-wide retrofit incomplete	CLOSED-DIRECTION	Historical weak-pin problem is exactly where Asai process control can matter
Type 97 Chi-Ha	1937 production preparation, no frontline series	1938 low-rate series starts; midyear few-dozen scale working; historical ~100-scale full-year remains anchor	WORKING-CONTINUED	No early mass deployment; Asai benefit is engine/power/QC
1938 GT tank prototype	1938 prototype branch exists, ordinary replacement rejected	One experimental chassis/engine integration program active by June; road trials targeted H2	WORKING-CONTINUED	Preserves closed 1938 prototype without prematurely fielding it
Type 97 20mm automatic cannon	1938 ~50 operational-trial lot next step	50-gun lot in manufacture; ~15-25 trial guns working by midyear; no mass order	WORKING-CONTINUED	Matches historical 1938 operational-trial path
Type 97 81mm mortar	historical adoption/ramp, exact annual count open	1938 initial production/issue; dozens-to-low-hundreds working by midyear	WORKING-CONTINUED	Simple weapon can absorb Asai QC without large calendar shift
Type 96 24cm howitzer	A3-HOLD, ~6-8 limited/test guns	No series expansion through H1-1938; only corrective/diagnostic tests	CLOSED-CONTINUATION	Avoids assuming every Asai improvement produces more weapons
Dense-core AP	A3 limited reserve, 1937 U 1.5-3 t/y allocation	1938 annual U allocation target 4-6 t only if qualification good; H1 actual working ~1.5-2.5 t, mostly proving/reserve; W kept backup	WORKING-CONTINUED	China lacks enough armored targets for broad combat issue; Manchuria is the likely next value gate
Aircraft exhaust turbo	A2 follow-on test, no mass order	Cumulative trial stock ~12-20 by midyear; remain A2	WORKING-CONTINUED	No decisive high-altitude operational demand yet
E5 aviation cores	24-core H1 evaluation lot authorized	~18-24 completed/delivered by June; no operational series	WORKING-CONTINUED	Enough for parallel research and failure analysis, not squadrons
E5 twin No.2	25-40% structure in Mar	~60-80% complete by June; H2 first-flight target	WORKING-CONTINUED	Keeps No.1 flying while alternate installation work proceeds
E5 single demonstrator	25-40 flight h in Mar	~55-80 h cumulative; basic architecture envelope ~70-80%; still not service interceptor	WORKING-CONTINUED	E6 remains first credible operational gate
Small TP field evaluation	2-aircraft technical field trial begins Q1	2-aircraft trial ongoing; total practical fleet ~3-4; no adoption	WORKING-CONTINUED	Useful product/maintenance learning without reviving old STOL canon
Small helicopter	2 development airframes, no procurement	durability/autorotation/engine work continues; no military order	CLOSED-TECH / CONTINUE TEST	Technology progresses, adoption does not
Material No.1	20-35% build in Mar	~50-70% airframe build working by June; no flight yet	WORKING-CONTINUED	1938 test-aircraft schedule remains plausible
Submarine 2-cycle turbo	A3 limited trials	Continue same limited trial; no fleet-standard order	CLOSED-NO-SERIES	China war does not create reason to standardize
E5 marine GT small craft	1938 comparative test-craft planning only	engineering study/candidate hull work only; no operational craft	WORKING-CONTINUED	Avoids premature naval GT adoption
Propulsion test ship	1938 requirement / 1939 design	Formal requirement/technical brief can exist by mid-1938; design and procurement remain 1939	CLOSED-DIRECTION	Keeps existing 1938-41 schedule
Hiei emergency GT	Hiei-only 1937-40 refit overlay	integration/procurement planning in H1-1938; no fleet spread	CLOSED-OVERLAY-CONTINUED	Preserves narrow scope
