aircraft_or_branch	development_status_1941YE	designation_status	first_flight_or_gate	crew	powerplant	normal_loaded_kg	wing_m2	length_m	span_m	vmax	climb	range_or_radius	approach_or_low_speed	payload_armament	authority_status	notes
P1	technical parent	internal/working	1935H2-1936H1 band		E5-S-T family precursor									CURRENT-INHERITED	do not backfill P2 final geometry into P1
P2 STOL	limited product / technical school	P2 product identity	P2 spec freeze 1938H2; 9 P1/P2 by 1939-04-20		E5-S-T ~952-1000 hp	2750-2850 MTOW	~27			360-380 km/h		1200-1400 km	118-123 km/h approach	utility/liaison/survey/training/medical	CURRENT-INHERITED	mass military derivative need not retain turbine
E5 Twin J	operational / predecessor	E5 Twin service families	1937Q1-Q2 band	2	2x E5-J	3500-4000 class				545-555 km/h clean		mission-specific		multi-role	CURRENT-INHERITED	exact old branch geometry not imported
E5 Twin JF	operational / predecessor	E5 Twin service families	1937Q4	2	2x E5-JF	J + ~170 kg propulsion delta				Vmax point OPEN		~10-13% mission-range direction vs J same-condition		multi-role	CURRENT-INHERITED	static thrust ~+20%; TSFC ~-15-18% same-condition direction
Ki-42 / E5 Single	operational predecessor	current E5 Single identity; exact old code history guarded	exact first flight OPEN; operational 1938-39	1	1x E5-J ~445-460 kgf	2000-2080				570-580 km/h @6km	5km 8.5-9 min			fighter/recon as current ledgers	CURRENT-INHERITED	do not invent dimensions to close a drawing gap
E6 Single	serial 1940+	service-production identity current	1939-05-31	1	E6-M-J ~850 kgf normal / 900 selected short	2750-2950; center 2850	17-18; center 17.5			645 SL; 750@6km; 772@8; 783@10	6km 5.6-6.0 min	400-500 km internal mission radius; 550-700 external mission-dependent	stall 137-145 km/h	interceptor/high-cover armament per current closeout	CURRENT-CLOSED	dimensions not hard-closed here
E6 Twin J	serial/common 1940+	common two-seat mission architecture	1939-04-29	2	2x E6-M-J ~850 kgf	~4100	18.5-20; center 19		derived span ~10.9 at AR6.25, not drawing authority	800 SL; 830@6km		300-380 km mission radius		~0.40t mission bay / service fits	CURRENT-CLOSED	pure-J high-speed block
E6 Twin JF	serial/common 1940+	common two-seat mission architecture	JF development on E6 common architecture	2	2x E6-M-JF ~984 kgf center	~4400	18.5-20; center 19		derived span ~10.9 at AR6.25, not drawing authority	744 SL; 793@6-8.5km		400-480 km internal radius; 650-800 with D320F	stall ~163 km/h	~0.40t mission bay / recon/attack fits	CURRENT-CLOSED	JF main service-production block
E6-B fast-heavy twin	prototype/service-development; adoption gate	no official code forced	working first-flight center 1940Q3	3	2x E6-M-JF ~984 kgf	6500-6900; center 6700	27-29; center 28	11.4-11.8	13.3-13.7	680-710 km/h @5-7km	6km 7.0-8.5 min	550-700 km normal strike radius; 700-850 long-strike; 1800-2200 ferry	160-170 km/h working approach	1.0-1.2t internal normal; ~1.5t overload	CURRENT-OUTLOOK + V11-WORKING-GEOMETRY	separate airframe from common E6 Twin
Military STOL / Ki-76 lineage candidate	prototype -> limited service possible	Ki-76 role/slot allowed only after gate	working first-flight center 1940Q3	2	310-350 hp piston mass-service choice	1500-1650	29-30	9.5-9.8	14.5-15.2	180-195 km/h		750-900 km	70-80 km/h class	liaison/observation/command	V11-WORKING	inherits P2 school, not P2 turbine requirement
X-TP fighter	research/X only	no A7M retroactive code	1938-40 test series	1	E5-S-T ~1000 shp	~3000-3800 exploration	~variable			470-520 km/h natural band				reducer/prop/carrier/high-altitude test	QUARANTINE-RETEST / V11-RESEARCH-RESTORED	E5 mass carrier fighter rejected
A7M Gaifu E6 working prototype	prototype/service evaluation	A7M=Gaifu identity protected; designation starts at formal gate	working first-flight center 1941Q2	1	E6-S-T 1300 hp normal / 1400 short	3500-3700; center 3600	24.5-25.5; center 25	9.5-9.8	11.8-12.2	575-600 normal; 595-615 short-rating class	6km 6.0-6.8 min; short 5.5-6.2	1600-2000 km internal; 500-650 km practical fighter/escort radius	118-125 km/h	20mmx2 + 7.7mmx2 center; 20mmx4 growth	V11-WORKING	no 1941 mass-service/OOB pre-recorded
A8N Sakufu E6-M-JF working prototype	dedicated prototype / carrier qualification pending	A8N=Sakufu identity protected; designation at formal gate	working first-flight center 1941Q3	1	2x E6-M-JF ~984 kgf	4800-5100; center 4950	30-32; center 31	11.2-11.7	13.0-13.5	670-710 km/h	6km 4.8-5.5 min class	1000-1300 km internal; 350-450 km combat radius; 1600-1900 ferry	125-132 prototype; 120-130 target after tuning	20mmx4 service target; prototype may use ballast/partial armament	V11-WORKING	1942+ carrier service gate; STOL+JF lineage
TP high-altitude recon	service test / limited service possible	Ki-40 candidate only; gate required	working first-flight center 1940Q4	2 pressurized	E6-S-N-T 1500 hp normal / 1600 short	3900-4100	27-29; center 28	10.2-10.7	14.8-15.3	490-520 SL; 555-595@6km; 625-650@8km; 640-660 short shadow	exact climb time OPEN	3000-3600 km practical internal	138-145 km/h working	unarmed/minimal; photo/comm equipment	LATE-OLD-BRANCH H->A + V11-WORKING-GEOMETRY	~11km working ceiling; code collision guarded
J2N Hekireki dedicated twin	requirement / preliminary design only by default	J2N=Hekireki identity protected if formalized	1941 requirement gate; prototype earliest 1942Q1-Q2 if approved		E6/E7 re-selection at formal program					NOT CLOSED				heavy/night/all-weather/radar/firepower requirement only	V11-GATE	old 14m2/old-thrust performance forbidden
E7 retrofit E6 Single	limited flight-development only	inherits E6 airframe identity	earliest 1941H2	1	E7 inherited backend candidate	existing airframe				785-800@6km; 800-815@8km candidate	6km 4.8-5.3 min candidate				CURRENT-OUTLOOK	no mass 1941 OOB
E7 retrofit E6 Twin	limited flight-development only	inherits E6 airframe identity	earliest 1941H2	2	E7-JF candidate	existing or 5.4-5.6t growth				805-825 km/h candidate					CURRENT-OUTLOOK	no dedicated new E7 airframe before 1942Q1-Q2 target
HS-1	research	same physical airframe as E4 Single No.2													CURRENT/RESEARCH	double-count forbidden
HS-2	research	research airframe only			E6-S-J ~475-505 kgf										CURRENT/RESEARCH	not E6 Single
HS-3	paper/flight-development research	research only	1939 paper; 1940-41 reheat flight-development								Mach/high-speed research only				CURRENT/RESEARCH	no combat OOB
Material No.3 / AT-3	formal design by 1941H1; no 1941 flight	technical shadow only	1939H2 concept -> 1941H1 formal design		4x E6-M-T initial concept	52000-55000 class				NOT FLYING 1941					CURRENT/RESEARCH	late-1942+ first-flight shadow only
L5Si technical reference	technical reference only	old 1941 service claim not restored				~5t class									V11-GUARD	requires independent procurement/design closeout before service claim
small piston helicopter	development airframes	rotorcraft branch	2 development airframes by 1939		piston										CURRENT/ROTORCRAFT-NEXT	next audit topic
small turboshaft helicopter	flight-test / mission-test candidate 1940-41	rotorcraft branch			E5-S-S ~330/360 shp	~1350									CURRENT-SUPPORT / NEXT-AUDIT	no 1941 mass service pre-recorded
