old / ambiguous item	V7 ruling	status
V6 current clock 1939-09-01	preserved downstream baseline; current replay clock is 1938-01-17	REPLAY-HOLD
E5 single first flight late1937	E5 Single No.1 first flight1936 Q2-Q3; No.2 1937 Q2	SUPERSEDED
E5 Twin as mostly 1937 company research demonstrator	E5 Twin No.1 1937 Q2 military-requirement technical prototype; No.2 JF Q4	SUPERSEDED
1937 no service/development procurement after E4 success	E4 extra4 and E5 Twin eval8 / Ki42 eval4 are in procurement/build pipeline	SUPERSEDED
T-1 first starts 1936-38	T1A/B already operating; T1C is the expansion under construction	SUPERSEDED
1937 independent GT ~125 total	~125 is T0 normal-family; total new independent GT ~180 center	SUPERSEDED
low vibration removes motion blur	forward motion blur remains; low vibration enables shutter/focal-length/repeatability advantages	SUPERSEDED
Asai makes photo system wholesale	specialist optics/photo firms make cameras/film/etc; Asai integrates platform/interface/info workflow	SUPERSEDED
punch holes directly in negative as main metadata system	optical frame-margin data + punched-card index is preferred period-plausible design	SUPERSEDED
repeated -2 to -5% Chinese heavy equipment at every retreat	use stock-flow; early warning may save heavy guns	SUPERSEDED
Japanese equipment delta equals casualty delta	separate inventory/readiness/crew/support/performance/recovery	SUPERSEDED
Nanking capture moves to12 Dec	official fall remains13 Dec; operational collapse/entry hours earlier	CLOSED
Panay prevented by better radio	first attack/sinking remains; follow-on attack may shorten	CLOSED
Nanking atrocities materially fixed by better logistics	only marginal low-single-digit possible; structural causes remain	CLOSED-NO-LEVER
late-1937 retreat air interdiction effect	not yet closed	HARD-OPEN
