scope	date_band	distance_level	ownership	paid_transfer_channel	retained_capability	cheat_channel_allowed	forbidden_inference	status
Asai personal design review	all	CD0	Asai	explicit participation	strong idea/search-order selection plus physical testing	personal foreknowledge only for recorded problem	unknown coefficients/endurance/industrial execution appear for free	CLOSED-RULE
Asai core R&D / central technical calculation	1930s	CD1	Asai	institutional inheritance	standards; calculation forms; tests; QC; failure taxonomy; internal data	organization convergence; CD0 only on explicit Asai intervention	every engineer is a reincarnator	CLOSED-BASELINE
major external engineering customer safe room	1935-39	CD2	customer	machines; generic forms; training; maintenance; contract method transfer	customer-local computation and verification without exporting secrets	transferred methods and customer local expertise	purchase date transfers Asai latest hidden internal methods	CLOSED-BASELINE
Naval design / shipbuilding calculation organizations	1936-39	CD3	Navy/yard	earlier machine sales; secure rooms; training; local redevelopment; accident-driven expansion	autonomous weight/stability/structure/shafting/test-reduction computation	local naval expertise plus institutionalized tools	Asai personally optimizes each ship or prevents wrong design criteria automatically	CLOSED-BASELINE
Naval gunnery / ordnance / FCS technical organizations	1936-39	CD3	Navy	machines; electromechanics; calculation methods; joint/vendor support	autonomous FCS calculation/calibration/integration work	local gunnery specialists use transferred tools	future FCS answer cloned from Asai without Navy development/refit	CLOSED-BASELINE
Naval cipher / cryptanalytic central organizations	late-1930s	CD3	Navy	special electromechanical supply; secure calculation rooms; cards/relay workflow; maintenance	autonomous cipher administration and machine-assisted cryptanalysis	local cryptologists choose attacks/models; Asai supplies engineering/workflow	Asai computation implies named enemy cipher break	CLOSED-BASELINE
Asai maintenance personnel inside Navy secure area	1930s	CD2 interface	customer retains data/keys	sanitized maintenance; dummy diagnostics; keys removed	equipment serviceability without routine access to secret key material	hardware diagnosis only	vendor sees keys/traffic by default	CLOSED-GUARD
fleet ship / operational FCS crew	1939	CD4	Navy unit	installed equipment; doctrine; training; spares	use and maintain fitted FCS	none beyond trained operation	design-office optimization appears onboard	CLOSED-BASELINE
intercept station / fleet cryptographic operator	1939	CD4	Navy unit	issued machine; procedure; keys; training	operate assigned collection/cipher/decrypt workflow	none beyond trained operation	field operator receives Asai personal analytic shortcut	CLOSED-BASELINE
Army/other service technical bureau using Asai-origin machinery	1930s	CD3 when independently absorbed	service/arsenal	procurement; training; local redevelopment	domain-specific autonomous computation after absorption	local specialists	all Asai internal methods or later answers transfer automatically	CLOSED-BASELINE
