formation/item	date	physical	serviceable	HOT/usable	role/location	status
3rd Tank Regiment	1939-08-19	31	30	29	inner 6th Army reserve;15-25km working depth	CLOSED
3rd Type89	1939-08-19	19	19	18	inner reserve	CLOSED
3rd Chi-Ha	1939-08-19	4	4	4	local faster sub-reserve;200/220hp	CLOSED
3rd Te-Ke	1939-08-19	2	2	2	inner reserve	CLOSED
3rd Type94 tankette	1939-08-19	6	5	5	inner reserve	CLOSED
4th Tank Regiment	1939-08-19	37	36	34	outer 6th Army reserve;25-40km working depth	CLOSED
4th Ha-Go	1939-08-19	29	28	27	outer mobile reserve	CLOSED
4th Type89	1939-08-19	6	6	5	outer reserve slower element	CLOSED
4th Type94 tankette	1939-08-19	2	2	2	outer reserve	CLOSED
AT-37	1939-08-19	576 rounds	576	192 front +144 mobile +240 army reserve	separate infantry AT-gun round	CLOSED
TANK-37	1939-08-19	192 rounds	192	16 Ha-Go x12	separate tank-gun round	CLOSED
64th Sentai	1939-08-17	historical transfer	forward	combat patrol active	fresh fighter reinforcement	CLOSED historical anchor
7th Division battalion-group	1939-08-19	in transit	in transit	0 at front	earlier warning movement;Hailar Aug20-21 center	CLOSED working
