period	overall_state	fuel_combustion	bearing_crank	lubrication	induction_supercharger	vibration_reduction	production_qc	availability
1939Q4	concept architecture	premium/standard/emergency maps required in program	bearing technology shelf identified	oil classes and total-system test plan specified	corrected-map/worst-cylinder methods specified	torsional measurement plan specified	CTQ/production-engineering participation required	EA-D NO; EA-Q NO; EA-S NO
1940Q1	formal design	F-P/F-S/F-E/F-N design branches opened	finish/roundness/clearance critical dimensions declared	suction/aeration/pressure-loss tests planned	mechanical supercharger + distribution design	instrumentation designed in	intake/core geometry marked CTQ	EA-D NO; EA-Q NO; EA-S NO
1940Q2	component-rig convergence	knock/ADI/spark-plug tests	misalignment/edge-load bearing rigs	pump suction/aeration/temperature rigs	compressor/inlet maps	component inertia/reduction prep	master gauges and process plan development	EA-D NO; EA-Q NO; EA-S NO
1940Q3	prototype manufacture	full-engine map test articles prepared	candidate overlay/material narrowed	pressure pickups and flow targets frozen	production-intent intake castings compared	prototype vibration instrumentation prepared	core gauges; sample section/flow checks; lot identity	EA-D NO; EA-Q NO; EA-S NO
1940Q4	first-engine assembly preparation	premium + standard rig maps exist	final spec awaits engine endurance	L-P/L-Q comparison active	full 18-cylinder distribution still open	bench/prop-inertia preparations	second-set production-intent parts required	EA-D NO; EA-Q NO; EA-S NO
1941Q1	first full-engine running	~1800 hp development point; cylinder scatter mapped	edge-loading/deflection allowed to appear	whole-engine return/pressure behavior mapped	mixture/CHT scatter becomes Homare-specific data	RPM/load vibration bands measured	prototype vs production-intent part comparison	bench only; EA-D not yet routine
1941Q2	300-h first endurance / 2000-hp branch	premium rating demonstrated; F-S full-engine qualification continues	finish + end-relief + overlay revision converges	wear/pressure/aeration correlated by configuration	worst-cylinder and inlet revisions	prop-inertia/reduction map deepens	production revisions fed back before release	EA-D selected late Q2/Q3; EA-Q NO broad; EA-S NO
1941Q3	alternate-condition qualification	92-class+ADI becomes deliberate service branch; lower-grade boost stops	bearing revision frozen after L-Q hot-load test	altitude suction/aeration hazard tested	ADI distribution + carb-to-supercharger route + plug heat tuned	continued map closure	production drawings updated	EA-D YES selected; EA-Q installation-dependent
1941Q4	flight/installation closure	fuel-grade schedules prepared	production bearing geometry/finish frozen	flight altitude oil anomalies diagnosed by subsystem	port/inlet/distributor geometry locked	aircraft prop/cowl modes checked	CTQ revisions stabilized	EA-D YES; EA-Q emerging; EA-S NO
1942Q1	pilot/pre-series	service maps by fuel class	lot bearing records	engine acceptance oil traces	malformed intake lot intended to be caught by gauges/flow	balance acceptance	serial/lot traceability; corrected dyno acceptance	10/12 EA-D YES; EA-Q emerging; EA-S pilot only
1942Q2	development-aircraft routine	~1780-1825 hp good-lot takeoff class; ~1500-1560 near 6 km	known tribology solution under good supply	L-Q qualified schedules	production geometry increasingly repeatable	installation-specific check remains	pilot series stabilized	10/12 EA-D routine; EA-Q specific YES; EA-S limited
1942Q3	formal series release window	operating maps issued with engine	lot failures traceable	service restrictions by oil class	power-deficit castings quarantined/reworked	balance/vibration acceptance routine	formal main production center Aug-Sep; variance control primary	10/12 EA-S YES; 20/21 EA-D selected
1942Q4	early-series stabilization / 2k qualification	20/21 ~1900-2000 takeoff development/qualification range	series bearing process known	oil map stable under intact supply	intake/supercharger realization near drawing intent	airframe-specific vibration remains	field-return-to-lot loop active	10/12 series mature; 20/21 EA-D/EA-Q selected
1943Q1	branch-neutral technical maturity	20/21 good engine ~1950-2000 takeoff; ~1600-1680 near 6.1 km, center ~1640-1650	engine-side bearing solution mature	L-P/L-Q service maps mature; TBO not canon	mechanical supercharger/induction production-reproducible	installation map still aircraft-specific	correctly equipped plant can reproduce good engine; national yield open	20/21 qualified good engines available; fleet quantity/field reliability branch-dependent
