class_group	1939_or_design_state	distance	general_R	selected_function_R	fcs_interpretation	adoption_status	forbidden_inference	provenance_note
Kaga	in service after 1934-35 modernization	CD4 ship / CD3 design authority	R1	R2 selected AA	historical/earlier high-angle hardware plus improved calibration/transmission; FCS2 ceiling only if local chain supports	CLOSED-CLASS-BASELINE	no radar; no generic FCS3; no speed/capacity bonus	prior naval handoff: Kaga O1->O2; earlier AA branch
Akagi	in service after 1935-38 modernization	CD4 / CD3	R1	R2 AA and target-allocation selected	FCS2-centered; later electrical/switchboard practice may be deeper than Kaga	CLOSED-CLASS-BASELINE	no radar; no future computer	prior naval handoff: Akagi O2->O3; later AA branch
Soryu	in service	CD4 / CD3	R1	R2 fitted-AA chain	type/date hardware anchor; contemporary integration	CLOSED-CLASS-BASELINE	new build does not imply FCS3/radar	prior naval handoff: Soryu O2
Hiryu	in service	CD4 / CD3	R1	R2 selected; coordination more mature than Soryu	FCS2-centered with later fitting-cycle execution	CLOSED-CLASS-BASELINE	no radar/FCS3 automatic	prior naval handoff: Hiryu O2->O3
Hosho	in service	CD4 / CD3	R0	R1 selected	calibration/wiring improvements only where refit pays	CLOSED-CLASS-BASELINE	no broad R2 due age/space/topweight	identity guard small-carrier constraints
Ryujo	in service	CD4 / CD3	R1 selected	none blanket	calibration/transmission improvements; equipment remains local	CLOSED-CLASS-BASELINE	no broad R2/radar/topweight-free fit	identity guard small-carrier constraints
Shokaku/Zuikaku	1939 design/build; not operational current ship	CD3 design/build	R3 infrastructure	contemporary FCS equipment still type/date gated	foundations/routes/power/space/interfaces can be designed in	CLOSED-DESIGN-BASELINE	R3 does not mean radar or FCS3 fitted	prior naval handoff: Shokaku/Zuikaku O3
Hiei	1937-40 modernization/testbed	CD3 design; CD4 when operational	R3 infrastructure	R2 selected FCS/AA/electrical chains	main battery FCS1/FCS2 residual; selected AA FCS2-class integration	CLOSED-CLASS-BASELINE	do not copy R3 to all Kongo class; no radar	prior naval handoff: Hiei O3; FCS/power/DC/comms allocation
Kongo/Haruna/Kirishima	post-modernization 1930s	CD4 / CD3	R1	R2 selected	historical main-FCS anchor plus selected transmission/director integration	CLOSED-CLASS-BASELINE	no Hiei R3 fleet-wide	prior naval handoff modernization sequence
Nagato	post-modernization/test role	CD4 / CD3	R1	R2 selected fire-control/test chain	FCS1/FCS2 residual	CLOSED-CLASS-BASELINE	no blanket future equipment	prior naval handoff: Nagato lead test/FCS
Mutsu	post-modernization	CD4 / CD3	R1	none blanket	FCS1/FCS2 residual	CLOSED-CLASS-BASELINE	do not mirror all Nagato test features	prior naval handoff: Mutsu partial D
Yamato/A-140	1937-39 design/build	CD3 design/build	R3 infrastructure	equipment fit remains type/date gated	contemporary director/FCS interface reserve; no operational 1939 claim	CLOSED-DESIGN-BASELINE	no radar; no future combat system; no GT propulsion inference	large-ship parent + prior naval handoff
Mogami/Mikuma	1939 after correction/refit	CD4 / CD3	R1	none blanket	current fitted FCS plus calibration/transmission improvement	CLOSED-CLASS-BASELINE	computation does not erase structural/welding history	prior naval handoff: O1->O2 family
Suzuya/Kumano	1939	CD4 / CD3	R1	R2 only where actual equipment fitted	cleaner integration/calibration than earlier sisters	CLOSED-CLASS-BASELINE	no invented director solely from later design cycle	prior naval handoff: O2 family
Tone	1939	CD4 / CD3	R1	none blanket	current fitted FCS; improved calibration/wiring	CLOSED-CLASS-BASELINE	no generic R2/radar	prior naval handoff
Chikuma	1939	CD4 / CD3	R1	none blanket; mature execution within R1	same hardware class may have better calibration/synchronization execution	CLOSED-CLASS-BASELINE	execution maturity is not new director	prior naval handoff: one-step calibration/wiring maturity
Asashio/Kagero-era new destroyers	1939	CD4 / CD3	R1	R2 only selected equipment/event	contemporary data-transmission/wiring/torpedo-FC integration	CLOSED-CLASS-BASELINE	no fleet-wide R2/radar	current institutional baseline
older destroyers	1939	CD4 / CD3	R0/R1	event-specific	historical hardware plus refit-specific calibration/wiring	CLOSED-RULE	no generic modernization jump	current institutional baseline
