issue_id	family	question	prior_problem	status_current	V9_ruling	authority	remaining_gate	priority
TECH-001	COMPUTATION_CORE	What is the calculation-machine/center capability ladder?	Current package had organization state but machine-performance parent was buried under support.	CLOSED	Promote machines/centers parent; 1938-40 front is relay/card plus early tube/relay/drum experimental machinery. Capability envelope is not installed count.	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-machines-centers.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/39-1939-04-20-ASAI-COMPANY-MASTER-ROSTER-CANON-V8.md	Customer/site-specific installed inventory if needed	P0
TECH-002	COMPUTATION_BUSINESS	How does computation diffuse into firms and military customers?	Origin/business parent was support-only.	CLOSED	Use staged customer absorption plus CD0-CD4. Mature customer/military rooms retain machines and transferred methods without inheriting Asai personal foreknowledge.	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-origin-business.md	site/customer inventory only when materially needed	P0
TECH-003	COMPUTATION_ROUTING	Which index routes a technical question to current authority?	Old computation master was stale and nested; V9 lacked a semantic technical router.	CLOSED	Use 01-TECHNICAL-DISCUSSION-INDEX-V9.tsv. Old computation master remains provenance only.	71-CURRENT-TECHNICAL-CONTROL-V9/01-TECHNICAL-DISCUSSION-INDEX-V9.tsv	Add new family rows when new technology is opened	P0
TECH-004	COMPUTATION_METHOD	Does more computation give a generic performance bonus?	Older discussion could be misread as a scalar advantage.	CLOSED-METHOD	No scalar bonus. Record both causal channel and CD0-CD4 transfer path; external institutions retain paid tools/methods but not the reincarnator answer-selection shortcut.	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/03-COMPUTATION-CRYPTO-TECHNICAL-CLOSURE-V9.md	Local numeric effect must come from subsystem authority	P0
TECH-005	NAVAL_DESIGN_COMPUTATION	How does computation change basic ship design/rework?	Naval computation material existed mostly in old working/provisional layers.	CLOSED-METHOD	By 1936-39 routine naval design computation is CD3 autonomous institutional infrastructure for weight/trim/stability/shafting/structure/test reduction. It accelerates redesign but cannot repair wrong criteria/model inputs automatically.	71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/04-NAVAL-COMPUTATION-FCS-INTEGRATION-CLOSURE-V9.md	Ship/class-specific redesign delta if a chronological event requires it	P0
TECH-006	CRYPTO_PARENT	Current cipher/ferrite/memory parent missing from live layer	Current origin-business referenced a parent that existed only inside quarantined nested ZIP.	CLOSED-DATA	Promote the retained parent verbatim into current technical control.	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md	None for parent availability	P0
TECH-007	CRYPTO_ENGINEERING	Does Asai have cipher-machine engineering capability by the 1930s?	Capability was implicit but not V9-routed.	CLOSED-TECH	Yes. Asai is the CD2 engineering/vendor interface; the Navy owns machines/keys and may operate them autonomously at CD3. No Asai access to secret method/key is implied.	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/05-CHEAT-DISTANCE-AND-TRANSFER-GUARD-V9.md	exact equipment type/quantity only if scenario-relevant	P0
TECH-008	CRYPTANALYSIS	Does mechanized cryptanalysis capability exist?	Was buried with cipher parent.	CLOSED-TECH	Yes. By late 1930s selected Navy central organizations may institutionalize machine-assisted classification/counting/candidate workflows at CD3. Target-specific insight remains Navy domain work.	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/06A-CRYPTO-SIGINT-INSTITUTIONAL-LEDGER-V9.tsv	Target-system-specific exploit, key recovery and throughput	P0
TECH-009	CRYPTO_OPERATIONAL	Can machine capability be converted directly into overall codebreaking strength or enemy decrypt success?	No explicit V9 stop line.	CLOSED-BASELINE / EVENT-GATED	The 1939 institutional cryptologic baseline is closed: Navy CD3 organizations possess stronger mechanized middle-chain capacity and key-admin support. Named enemy-system breaks, coverage, latency and exploitation are target/date operational events, not global technical opens.	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md;71-CURRENT-TECHNICAL-CONTROL-V9/06A-CRYPTO-SIGINT-INSTITUTIONAL-LEDGER-V9.tsv	named target/network/date operational ledger when reached	P0
TECH-010	KEY_MANAGEMENT	Can computation/cards improve own key-management workflow?	Not visible in V9 control plane.	CLOSED-INSTITUTIONAL	Card-assisted key generation/check/distribution is a Navy-owned CD3 institutional capability; it lowers administrative cost but does not imply invulnerability.	71-CURRENT-TECHNICAL-CONTROL-V9/06-CRYPTO-SIGINT-INSTITUTIONAL-CLOSEOUT-V9.md	actual key policy or compromise event only	P1
TECH-011	MEMORY_TECH	Does early ferrite imply prewar core RAM?	Potential backflow risk.	CLOSED-GUARD	No. Route is HF cores -> magnetic switches/state interest -> magnetic recording/drum -> small dedicated state holding; full X-Y core RAM remains later/postwar-oriented.	71-CURRENT-TECHNICAL-CONTROL-V9/90-RETAINED-PARENTS/asai-works-computation-ferrite-cipher-memory.md	Later-war hardware if explicitly opened	P1
TECH-012	NAVAL_FCS_TECH	What technical FCS maturity axis applies to ships?	FCS0-FCS4 existed but naval routing was generic.	CLOSED	Retain FCS0-FCS4 from 51/51A for chain maturity.	50-CURRENT-1939-1941-AIRPOWER-AUDIT/51-FIRE-CONTROL-SIGHTING-BOMBING-INTEGRATION-CANON-V8.md;50-CURRENT-1939-1941-AIRPOWER-AUDIT/51A-FIRE-CONTROL-SIGHTING-APPLICATION-LEDGER-V8.tsv	Ship/type adoption	P0
