section	item	v10_design_basis	evidence_class	closure_or_stop_rule
reference hull	external geometry	First-Type family control: 18.3 m x 4.3 m wooden V-bottom; enlargement is not presumed	HISTORICAL-ANCHOR + WORKING-ENGINEERING	Use as drawing control only. Any length/beam change must follow actual clearance, structure, CG or trial evidence.
propulsion architecture	outer shafts	retain inherited twin piston propulsion, ~1,800 hp total, for cruise/astern/safe return	HISTORICAL-ANCHOR / WORKING-ENGINEERING	Exact piston machinery details are inherited-platform inputs; no GT claim depends on improving them.
propulsion architecture	center GT	E5-S common 1,000 hp product with free power turbine; Ni high-end hardware may buy test margin/life, not headline power	FIXED + WORKING-ENGINEERING	No legacy 1,300 hp E5-S marine rating.
centerline arrangement	machinery bay	aft-centerline removable test bay around current E5 envelope; engine/test hardware centroid remains ~6.17 m from transom for selected V7 takeoff	DERIVED / WORKING-ENGINEERING	Exact frame spacing, hatch and vertical CG wait for shop drawing and baseline hull structure.
centerline arrangement	shaft	70 mm solid-steel trial coordinate; 3.0-3.5 m arrangement band; bare mass ~91-106 kg	DERIVED TRIAL COORDINATE	Fatigue, keyway/coupling, corrosion allowance, exact length and thrust bearing are drawing/test gates.
centerline arrangement	center-shaft speed	2.0-2.4 krpm test band	WORKING-ENGINEERING TEST BAND	Chosen to exercise reducer/shaft/prop tractably; not a fleet-product shaft speed.
centerline arrangement	reduction	single reduction ratio 6.25:1-9.0:1 across 15-18 krpm PT and 2.0-2.4 krpm center shaft	DERIVED BAND	Gear efficiency/tooth geometry are not inherited from later craft.
centerline arrangement	freewheel	high-speed-side overrunning/freewheel at ~0.40-0.48 kN m input torque	WORKING-ENGINEERING	Qualify engagement, heat, lubrication, coastdown and windmilling drag; no hidden drag benefit.
intake	separator/plenum	two removable cells, total clear area 0.36-0.40 m2, nominal sea-level face velocity ~15.5-17.2 m/s	DERIVED GEOMETRY + TEST REQUIREMENT	Pressure loss and salt capture are measured; geometry is not credited with an efficiency bonus.
exhaust	route	short aft/up route with direct pressure/temperature instrumentation	WORKING-ENGINEERING	Diameter, insulation thickness and deck-heat treatment remain measured/design outputs.
test loading	GT/test hardware dry addition	1.001-1.421 t, central 1.199 t; centroid ~6.17 m from transom	DERIVED WORKING BAND	This is new hardware only, not craft displacement.
test loading	fuel	108 kg for 20 min / 162 kg for 30 min at 1,000 hp and 0.435 kg/kWh	DERIVED	Fuel is separate from dry takeoff.
test loading	ballast states	schedule 20.5/21.0/21.5/22.0/22.5 t and LCG 0.35-0.42 L as controlled trial states	DERIVED TEST PLAN	Ballast explores response; none of these is declared combat/full-load design displacement.
instrumentation	measurement set	intake salt/loss; GG P/T/rpm/fuel; hot-section temperature/damage; PT/reducer loss and temperatures; shaft torque/vibration; speed/trim; start/freewheel; synchronized reduction	FIXED-WORKING TEST PHILOSOPHY	Computation advantage is denser, faster evidence reduction, not a numerical performance multiplier.
structure	engine beds/local frames	two longitudinal beds + cross-members + local frame/deck/hatch reinforcement are required around the ~0.39-0.46 t engine assembly	WORKING-ENGINEERING REQUIREMENT	Existing V7 mass allowance 110-165 kg is a takeoff band, not a scantling thickness authority.
structure	longitudinal/vertical loads	size for measured/required shaft thrust, engine/PT torque reaction, rotating imbalance, hull slam/inertial loads and lifting/removal cases	DESIGN GATE	No generic dynamic factor is imported. Exact scantlings remain OPEN until hull structural inputs and load cases are defined.
mass properties	dry craft mass	OPEN	STOP LINE	Baseline lightship/structural breakdown and deleted combat-equipment masses are absent; do not force 20.5-22.5 t into a dry/full-load identity.
mass properties	LCG	new-hardware longitudinal centroid ~6.17 m is known; whole-craft LCG OPEN	PARTIAL DERIVED	Close by baseline-hull weight moment + deletion ledger + new takeoff, then weigh/incline if built.
mass properties	KG	OPEN	STOP LINE	No baseline vertical moments or selected component z-coordinates. Do not invent KG from a later PT boat.
propeller/hull	prop matrix	swappable ~0.68-0.78 m exploratory diameter band; pitch/blade area/shaft angle/immersion remain empirical	WORKING-ENGINEERING TEST MATRIX	Tank/sea evidence earns thrust, ventilation, cavitation, trim and actual Crouch behavior.
history	execution status	technical dossier only	SCENARIO STOP LINE	No build, launch, trial, achieved speed or qualification event is asserted.
