claim_id	domain	entity	current_status	current_claim	legacy_or_superseded_form	guard_rule	source_pointer
B-0012	aviation	turboprop development	CLOSED-TECH	1931地上bench、1933懸架原型、1934八八式偵察機改造TP飛行試験へ進む技術開発史	旧航空採用史	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	main/asai-works-timeline-1930s.md; 07-SESSION-DELTA-2026-08-30.md
B-0016	aviation	plant-composite small TP aircraft	WORKING	1937夏までに植物FRP部分構造を使う実用寄り小型TP機系列が外部評価/少量販売域へ来ている枝を救済	pre-v48 STOL/材一号 adoption	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	07-SESSION-DELTA-2026-08-30.md; archive-previous-overlay/CURRENT-HANDOFF-NOTES-2026-08-29-pre-naval-integration.md
B-0017	rotorcraft	Asai helicopter program	CLOSED-TECH	1932予備、1933正式着手、1935拘束浮揚/hop、1936自由飛行、1937夏までに浅井180–200hp機関搭載試験	pre-v48 Kayaba fixed division	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	07-SESSION-DELTA-2026-08-30.md
B-0018	rotorcraft	post-1937 large helicopter	OPEN	E5/E6 1000–1500hp級単発/双発輸送・軍用化	old rotorcraft adoption	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	07-SESSION-DELTA-2026-08-30.md
B-0019	aviation	1937 summer historical aircraft effect	CLOSED-METHOD	A5M/G3M/Ki-15/Ki-27等は原則史実機のまま。主差は発動機・計算・試験・failure loopの成熟	old uniform performance bonuses	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	07-SESSION-DELTA-2026-08-30.md; main/asai-works-aviation-reconstruction-framework-v48.md
B-0020	ground	Type 97 ordinary tank	CLOSED	Type 97まで普通戦車線を閉鎖。Chi-Haは三菱V12＋浅井低圧turbo/intake、約180PS normal/200PS max、peak torque約700Nm、39–40km/h	older tank canon	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md
B-0021	ground	1938 GT tank	CLOSED-TECH	約15t、300/340hp prototype。技術成功、通常主力代替はfuel/dustで否定。特殊冬季枝	older GT tank expansion	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md
B-0022	ground-marine	landing craft propulsion	CLOSED	SR-III、小発/大発/特大発はNA diesel本流。河川装甲艇は重量増で400–450hp turbo-dieselが自然。通常GT推進不利	older GT landing-craft branches	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md
B-0023	marine	E5 small marine GT	CLOSED	旧E5 1300hp舶用設定を廃棄しstandard E5-Sは約1000hp級	old 1300hp E5-S	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md; main/asai-works-e4-e5-product-massflow-size-rebaseline-1931-37.md
B-0024	marine	carrier GT boost before 1941-12-08	CLOSED	中央線で実搭載なし	older carrier GT adoption	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	CURRENT-HANDOFF-NOTES-2026-08-29-FULL-V3.md
B-0026	marine	propulsion test ship classification	CLOSED	横須賀海軍工廠所属雑役船（雑種船）、用途呼称機関実験船、固有名なし、公称番号船	8/29 name/class OPEN	CURRENT CLAIM CONTROLS; legacy/source wording is provenance only unless explicitly re-promoted	07-SESSION-DELTA-2026-08-30.md
