claim_id	domain	entity	claim	status	authority_layer	effective_branch	source_pointer	supersedes	notes
B-0001	company	origin	1893生の浅井巌は、1903に名古屋圏の小織機・一般機械メーカーの一席を浅井織機製作所として置換する家業側から出発する	CLOSED	semantic-v48-main	v48+	main/asai-works-business-origin-diversification-1903-30.md		最初からGT会社ではない
B-0002	materials	AH special steel	1914研究着手、1917–18輸入良品級、1919特殊鋼が独立現金源	CLOSED	semantic-v48-main	v48+	main/asai-works-business-origin-diversification-1903-30.md		熱処理・疲労・破壊記録・精密加工文化を先払い
B-0003	production	gears/machine tools	祖業の歯車・軸・刃物内製から工作機械へ伸び、1928工作機械部。歯切盤の本格成熟は1940–42であり1930年代前半に万能gear工場とはしない	CLOSED	semantic-v48-main	v48+	main/asai-works-company-structure.md; main/asai-works-product-availability-ledger-1903-41.md		減速機は長く律速
B-0004	gas-turbine	E1	1921に独立GTの正味出力実証。商品ではない	CLOSED	semantic-v48-main	v48+	main/asai-works-engine-capability-core-e1-e9.md		長い学習時計の開始
B-0005	turbo-boost	diesel exhaust turbo	1923–24試作、1925実用商品化、1926以後商船・大型dieselへ系列展開	CLOSED	semantic-v48-main	v48+	main/asai-works-product-availability-ledger-1903-41.md		商売上はGTより先に成功
B-0006	computation	calculation room	1923–24小規模科学計算室、1925–27計算型、1926–28事務統計機外販、1928–29技術計算外販	CLOSED	semantic-v48-main	v48+	main/asai-works-computation-origin-business.md		計算を設計・試験へ返す組織が本体
B-0007	production-qc	quality culture	1924頃から管理図・品質データを早期慣行化	CLOSED	semantic-v48-main	v48+	main/asai-works-timeline-1920s.md		後の接着・回転体量産の前提
B-0008	business	company reorganization	1928浅井精機工業へ改組。織機/一般機械、特殊鋼/工具/工作機械、排気ターボ、計算事務機、GT研究所を抱える	CLOSED	semantic-v48-main	v48+	main/asai-works-business-origin-diversification-1903-30.md		
B-0009	gas-turbine	E3	1928–29に独立GTの将来性実証。まだ売れる主機ではない	CLOSED	semantic-v48-main	v48+	main/asai-works-engine-capability-core-e1-e9.md		
B-0010	gas-turbine	E4	1931–33世代、6.7kg/s、約500kW級。1932定置非常電源初納入、1933売れる独立GT商品	CLOSED	semantic-v48-main	v48+	main/asai-works-engine-capability-core-e1-e9.md; main/asai-works-product-availability-ledger-1903-41.md		初期industrial dry mass約0.80–0.90t
B-0011	materials	epoxy	1931–33社内合成、30年代半ばに接着・注型・含浸等の少量商品へ	CLOSED	semantic-v48-main	v48+	main/asai-works-materials-resin.md		組成・工程はノウハウ秘匿
B-0012	aviation	turboprop development	1931地上bench、1933懸架原型、1934八八式偵察機改造TP飛行試験へ進む技術開発史	CLOSED-TECH	semantic-v48-base + current-session	2026-08-30	main/asai-works-timeline-1930s.md; 07-SESSION-DELTA-2026-08-30.md	旧航空採用史	個別軍採用は別
