date	event	worldline result	status
1939-06-29	IGHQ air restriction	long-range enemy-base raids stop;ground op continues	CLOSED
1939-06-30	4th Tank Regiment first operation	43 forward center;fog delay trimmed only20-30min	CLOSED
1939-06-30	TANK-37 first combat	8 fired;3 clear hits;2 immediate effects;partial pass	CLOSED
1939-07-02/03	false retreat report	retreat not confirmed;attack coordination delay ~1h before commitment	CLOSED
1939-07-03	TANK-37 validation	26 fired;8 clear armor hits;5 strong pen/disable;validated	CLOSED
1939-07-03	AT-37 validation	24 fired;7 clear effective hits;4 armor disable/destroy;validated	CLOSED
1939-07-03	Chi-Ha individual outcome	4 commit;1 irreversible;1 recovered temporary;2 self-return;file52 geometry rule	CLOSED-center
1939-07-05	west-bank withdrawal	operation failure retained;organized withdrawal improved	CLOSED
1939-07-09	Yasuoka Detachment	dissolved;tank regiments withdraw for repair/reorganization	CLOSED
1939-07-14	Ki40 forward evaluation	2 JF aircraft Hailar area;1 rear	CLOSED
1939-07-23/25	artillery offensive	better target allocation/counterbattery but strategic/tactical objective not achieved;stopped Jul25	CLOSED
1939-08-08	First Tank Group reactivation	6th Army mobile reserve;not restored assault detachment	CLOSED
1939-08-16	tank group readiness	HOT two-depth reserve	CLOSED
1939-08-17	64th Sentai	historical reinforcement combat patrol active	CLOSED anchor
1939-08-19	Ki40 warning	major Soviet offensive likely24-48h;both flanks warned	CLOSED
1939-08-19	4th Tank Regiment HOT-1	outer reserve moves10-15km release shift;3rd remains inner reserve	CLOSED
