rank	layer	path	rule
1	V18 technical/session	86-CURRENT-2026-09-13-WATER-SEAPLANE-SUBMARINE-SEIRAN-V18/	Highest only for explicitly closed/reopened V18 subjects
2	V17 technical/naval	85-CURRENT-2026-09-12-NAVAL-CRP-CONSOLIDATION-V17/	Retained where V18 silent; Type91/93/95/FCS/auxiliary/marine guards remain
3	V16 replay/session	84-CURRENT-2026-09-11-THREAD-CONSOLIDATION-V16/	Highest replay-state authority; clock 1940-07-31 24:00
4	V15 visual geometry	83-CURRENT-2026-09-09-AIRCRAFT-VISUAL-GEOMETRY-CLOSE/	Retained where later layers silent
5	V14 naval/marine/ground	81-CURRENT-2026-09-09-GROUND-VEHICLE-CLOSE/ ; 82-CURRENT-2026-09-09-NAVAL-MARINE-CLOSE/	Retained except explicit later overrides/reopens
6	V13 rotorcraft	80-CURRENT-2026-09-08-HELICOPTER-CLOSE/	Retained
7	V12 fixed-wing procurement	79-CURRENT-2026-09-08-FIXED-WING-PROCUREMENT-CLOSE/	Retained
8	V11 aircraft development	78-CURRENT-2026-09-08-AIRCRAFT-DEVELOPMENT-CLOSE/	Retained
9	V10 technical/replay	72-77 CURRENT trees	Retained where not overridden
10	V9 technical control	71-CURRENT-TECHNICAL-CONTROL-V9/	Mandatory fallback control
100	provenance/quarantine	90-94 provenance trees	Never override current automatically
