date	event	historical anchor	Asai/worldline ruling	status
1938-04-07	IGHQ orders a new Xuzhou/Tungshan offensive to crush concentrated Chinese forces	Japanese Monograph 178	Same date. Taierzhuang political shock remains large; Asai-worldline failure reinforces 'use enough force and close escape routes' logic	CLOSED-SAME
1938-04-12	North China Area Army orders Second Army first-phase containment	JM178	Same date	CLOSED-SAME
1938-04-18	Second Army resumes offensive	JM178	Same date; Japanese F/M/S advantage returns after regrouping	CLOSED-SAME
1938-04-19	Linyi occupied	JM178	Same date; local hour-scale advantage only	CLOSED-SAME-DATE
1938-04-24	Tancheng occupied	JM178	Same date	CLOSED-SAME-DATE
1938-04-26 onward	Second Army attacks make little progress despite vigorous effort	JM178	Preserved: Chinese concentration/terrain prevents mechanical margin becoming breakthrough	CLOSED-SAME
1938-05-05	Central China Expeditionary Army offensive window opens	JM178 plan	Same broad start window	CLOSED-SAME-BAND
1938-05-09	16th Division advances from Jining area	JM178	Same date	CLOSED-SAME
1938-05-10/11	IGHQ sends two Kwantung mixed brigades; they are attached to Second Army	JM178	Same reinforcement decision: operational enemy concentration, not replacement deficit, drives it	CLOSED-SAME
1938-05-12	14th Division crosses Yellow River before dawn	JM178	Same date; Asai cannot shift river-crossing preparation enough for calendar change	CLOSED-SAME-DATE
1938-05-14/15	Japanese flanking columns cut/approach Longhai routes; Chinese high command recognizes encirclement danger	JM178 / Chinese histories	Same date band; Japanese blocking groups locally a few hours more ready	CLOSED-SAME-BAND
1938-05-15	Chinese high command decides to evacuate Xuzhou area / breakout begins	Chinese campaign histories	Same date. Prior Shanghai lesson makes timely withdrawal institutionally easier, while Taierzhuang prestige pushes against it; effects roughly cancel	CLOSED-SAME-DATE
1938-05-16	Fifth War Zone issues/disseminates breakout orders in multiple columns	Chinese histories	Same date	CLOSED-SAME
1938-05-18	Sandstorm/fog masks Chinese movement; Xiao County sector suffers heavily	Campaign histories	Weather preserved exactly as external contingency; Japanese readiness cannot cancel concealment	CLOSED-SAME-EVENT
1938-05-19	Japanese forces occupy Xuzhou	Chinese/Japanese chronology	Same date; city-taking not shifted	CLOSED-SAME-DATE
1938-05-21	Most Chinese breakout completed	Campaign histories	Majority still escapes. Japanese closes some routes slightly better, causing modest extra stragglers/captures, not a successful annihilation	CLOSED-SAME-OUTCOME
