section	coordinate	piston_B6N	E6_ST_test	E7_M_LF_TP	status	note
airframe	length_m	~10.865	~10.865	~10.865	HISTORICAL ANCHOR	carrier elevator limit; do not enlarge by default
airframe	span_m	~14.894	~14.894	~14.894	HISTORICAL ANCHOR	folding outer panels retained
airframe	wing_area_m2	~37.2	~37.2	~37.2	HISTORICAL ANCHOR	Fowler flap school retained
engine	normal_power_shp	~1750-1850 class	1300	1750-1850	CURRENT/H->A	E7 lower-medium flat-rated product point
engine	short_power_shp	~1850 class	1400	1900-2000	CURRENT/H->A	local prop/reducer/TBO qualification required
engine	dry_mass_kg	~750-900	~450-520 screen	560-640 center ~600	HISTORICAL/H->A	E7 TP package includes PT/reducer/accessories
engine	cowling_max_diameter_m	~1.34-1.38	~0.85-0.95 screen	~0.95-1.05	HISTORICAL/H->A	aircraft aerodynamic cowling not bare core OD
engine	propeller	4-blade ~3.4m class	4-blade ~3.4-3.5m	4-blade 3.5-3.6m	H->A	existing 1.8-2.2khp propeller school
mass	empty_equipped_t	~2.95-3.05	~2.75-2.85	~2.80-2.92	H->A	TP relief partly reinvested in fuel/equipment
mass	ordinary_attack_gross_t	~5.15-5.25	~4.95-5.10	~5.05-5.22	H->A	800kg-class weapon
mass	MTOW_t	~5.60-5.65	~5.5-5.6	~5.60-5.70 target	HISTORICAL/H->A	carrier gear/brake/hook gate
performance	max_speed_4_5km_kmh	485-492	475-490	520-535 normal; 530-545 short	H->A	historical B6N2 482 km/h anchor
performance	high_cruise_kmh	325-345	325-345	350-370	H->A	economic cruise can be lower
performance	time_to_5km_min	9.5-10.5	9.5-11	7.5-8.5	H->A	measured altitude map still required
performance	service_ceiling_km	9-9.5	8.5-9.5	9.5-10.5	H->A	screening only
mission	torpedo_radius_km	600-750	550-700	650-800	H->A	includes reserve/search/attack; not ferry range
mission	light_ferry_range_km	3000-3300	2800-3200	3100-3500	H->A	screening
weapon	Type91_release_kmh	400-430 design interface	400-430 design interface	400-430 design-origin	CLOSED INTERFACE	Mod2 normal 1941 year-end qualified band
carrier	landing_speed_effect	B6N-like	B6N-like	B6N-like	CLOSED LOGIC	same wing loading; TP does not erase landing speed
carrier	waveoff_acceleration	good	weaker than desired	best of three	H->A	major E7 TP advantage
schedule	earliest_E7_flight_release	-	-	1941Q4-1942Q1	H->A OUTLOOK	after 1941H2 core/ground close
procurement	verdict	A- schedule hedge	C test/fallback	A- main candidate conditional	CURRENT OUTLOOK	do not pre-record service production
replacement	opportunity	historical-like ramp hedge	test data only	~6-12 months earlier effective replacement opportunity if gates pass	H->A OUTLOOK	B5N remains bridge until useful scale
