System	1938-06-30 CLOSED state	Asai delta	Quantity / effect	Adoption / battlefield status	Source / anchor
Type 96 LMG	Use matched-history inventory; absolute 1938 production not used	+6% accepted-output center in Asai-influenced lots	+4-8%; field availability +1-2 pp where already issued	No calendar shift; no separate casualty bonus	Historical production series conflict; operational delta closed instead
Type 96 25 mm AA	Improved firing-pin package in roll-out	Pin breakage largely removed on fitted guns	New production ~50% fitted; existing stock ~20%; high-use sites ~30%	Magazine/tracking/director limits unchanged	https://www.navweaps.com/Weapons/WNJAP_25mm-60_mg.php
Type 97 Chi-Ha	Low-rate 1938 production; no H1 China combat issue	Engine/QC benefit only	1938 full-year 118 center; accepted by Jun 30 = 36 center	Training/depot; H2 operational-unit gate	https://en.wikipedia.org/wiki/Type_97_Chi-Ha_medium_tank
Type 97 20 mm automatic cannon	1938 50-gun operational-trial path	Manufacturing consistency improved	18 accepted/trial-ready by Jun 30 center	No broad China issue	Current-branch 50-gun trial path
Type 97 81 mm mortar	Historical adoption/ramp	Lot acceptance/interchangeability only	No OOB uplift; +2-4% availability in supported lots	Use matched-history OOB	No absolute count needed
Type 96 24 cm howitzer	HOLD	Earlier diagnosis, not more guns	~6-8 limited/test stock	No broad series through 1938	Current branch
Type 94 37 mm dense-core AP	A3-S limited war-reserve PASSED	Moderate anti-armor uplift	~2,400 finished rounds; ~50-55 mm/500 m and ~40-45 mm/1,000 m normal acceptance bands	Primarily Manchuria reserve/proving	https://en.wikipedia.org/wiki/Type_94_37_mm_anti-tank_gun
Type 97 20 mm dense-core AP	Proof-only	Moderate uplift	~550 trial rounds; ~34-38 mm/250 m normal proof band	No general acceptance	https://modernfirearms.net/en/anti-tank-rifles/japan-anti-tank-rifles/tip-97-eng/
Aircraft exhaust turbo	A2 follow-on trial	High-altitude potential	Cumulative trial stock ~16 center	No mass order	Current branch
Submarine 2-cycle turbo	A3 limited trial	Learning only	One Navy trial installation + shore/full-size engine rig	No fleet standard	Hull identity non-blocking
