period/gate	old/historical anchor	V7 causal delta	V7 ruling	calendar	carryover / guard
1937-07-27/28 Nanyuan	Known barracks/airfield; old branch minor aviation delta	E4 No.2 current photo map + mature radio/air-artillery loop	suppression/withdrawal recognition tens of minutes earlier; Japan +50-120 CEQ	SAME strategic date	132nd local group collapses; division survives
Tientsin 29-30 Jul	night surprise succeeds	post-alarm air/HQ coordination improved	organized resistance ends ~6-12 h earlier	SAME day band	38th Div survives; local attack group D/C
Nankou 8-12 Aug	89th withdraws 12 Aug	better target photos/fire loop	Japan phase loss 5-10% lower vs old; +60-120 CEQ	SAME 12 Aug	do not delete 89th
Nankou 13-17 Aug	1390 high ground 17 Aug	reposition/supply/road work + Chinese earlier reinforcement feedback	+100-200 CEQ; 1390 high ground ~6-10 h early	SAME 17 Aug	enemy feedback partly cancels
Nankou 18-23 Aug	breakthrough 23 Aug	effective air-ground pressure 92-96 equiv; logistics 76-77%	+250-450 usable CEQ	SAME 23 Aug; 4-10 h early	no new units
Chahar 24-29 Aug	Zhangjiakou 27 Aug	pursuit clock + recon/radio	forward 3-8 h; main 2-5 h	SAME dates	0.5-1 battalion extra rear-guard loss max; no named ghost
Shanghai 13-18 Aug	SNLF crisis	naval radio/EMI + fire-loop integration	support 20-60 min faster; +120-220 CEQ	SAME	weather/AA remain
Shanghai 20-29 Aug	23 Aug landing / 29 Aug stalemate	E4 No.3 + photo target tables + naval radio	29 Aug effective air support 110-115 vs100; Japan +350-650 CEQ	SAME	No.3 8-11 sorties by 29 Aug
Shanghai Sep	11 Sep attack; first-line withdrawal mid-Sep	photo+radio+fire integration; reserves react early	end-Sep Japan +750-1400; China -900 to -1850 CEQ vs old	SAME	still operational stalemate
North China 14 Sep	14th Div old main advance ~12:00	air recon confirms withdrawal earlier	main advance ~09-10; 6th Div ~13-14	SAME date	operational-clock delta
Paoting 23-24 Sep	artillery delayed until evening / city 24	heavy support + observation + ready	support ~2-4 h earlier; city ~1.5-3 h early	SAME 24 Sep	physical artillery/bridge limits
Shanghai 3-10 Oct	Liuhang falls 3/4; Da-chang approach	better target/fire system	10 Oct Japan +1050-2000; China -1200 to -2550 CEQ	SAME	wet terrain caps
Shanghai 21-23 Oct counterattack	major Chinese night counteroffensive	preparation recognized but exact hour unknown	penetration 10-20% smaller; attacked Japanese loss -5-9%; stop 3-6 h earlier	SAME stop date	Chinese later reserves partly saved
Da-chang 25-26 Oct	Da-chang falls 26	defense becomes untenable earlier	withdrawal 4-8 h early; physical occupation 26 early	SAME	early retreat saves rear elements
Chapei/Kiangwan 26-31 Oct	main withdrawal 26/27; Soochow Creek 31	Chinese rear movement early + Japan clears faster	Chinese recovers +300-650 CEQ; crossing ~3-6 h early	SAME	Sihang 30 Oct remains
Hangchow Bay 5-8 Nov	5 Nov landing; Shanghai withdrawal 8	photo road knowledge + ready + radio	landing inland tempo +1-3 h net; withdrawal decision +4-8 h early	SAME	no mass encirclement
Retreat 9-12 Nov	12 Nov pursuit	early withdrawal saves people; air/pursuit recaptures part	net +600-800 CEQ Chinese old-branch advantage from timing at this stage	SAME	equipment handled by stock-flow
Baimaokou 13 Nov	landing advanced historically from 16 to13	E4 photo prep	inland deployment +1-3 h	SAME 13	cannot move to12: shipping hard clock
Changshu-Soochow-Kashing 19 Nov	line reached 19; main Chinese force escapes	all axes hours faster but Chinese left earlier	1-5 h local lead	SAME	no large encirclement
Wusih 25 Nov	falls 25	higher ready / pursuit	4-7 h earlier within day	SAME	ordered defense fights
Changchow/Kwangteh 29-30 Nov	29 / 29-night-30 band	ready and movement	4-8 h earlier within day	SAME	avoid false date shift
Nanking 1-7 Dec	attack order1; prep line7	orders preworked 6-12 h; fire/recon/ready	positions mostly converge but readiness higher	SAME	prep line absorbs positional lead
Nanking 8-10 Dec	demand9; assault10	outer positions/handoff react; Japanese better prepared	breach/pioneer ~30-60 min early; no permanent entry	SAME	Kwanghuamen remains hard geometry
Nanking 11-13 Dec	withdrawal decision12 ~17; fall13	Yuhuatai/Purple Mountain fall hours early	withdrawal decision ~14:30-16; main gates 2-3 h early	SAME 13 Dec	extra escape +900-1800 people
Hangchow 21-24 Dec	falls24	pursuit ready but Chinese withdraws earlier	2-6 h within-day lead	SAME	no major encirclement
